"","genesysId","instCode","acceNumb","genus","BasalTillerNumber","FirstFloretDay","InflorescenceExertLen","PanicleLen","PlantHgt"
"1",8327,"USA016","PI 585334","Sorghum",0,58,15,28,163
"2",8328,"USA016","PI 585367","Sorghum",0,67,18,26,138
"3",8329,"USA016","PI 585402","Sorghum",0,56,20,40,240
"4",8331,"USA016","PI 585538","Sorghum",0,81,30,24,326
"5",8332,"USA016","PI 585547","Sorghum",0,74,10,30,270
"6",8333,"USA016","PI 585596","Sorghum",0,63,0,33,260
"7",8334,"USA016","PI 585620","Sorghum",0,61,8,15,212
"8",8335,"USA016","PI 585660","Sorghum",1,58,31,39,150
"9",8336,"USA016","PI 585744","Sorghum",0,58,24,43,200
"10",8338,"USA016","PI 585809","Sorghum",0,51,30,36,210
"11",8339,"USA016","PI 585819","Sorghum",0,62,19,30,255
"12",8340,"USA016","PI 585827","Sorghum",2,53,24,36,172
"13",8341,"USA016","PI 585996","Sorghum",0,64,6,33,240
"14",8342,"USA016","PI 585998","Sorghum",1,64,20,37,220
"15",8343,"USA016","PI 586018","Sorghum",1,62,10,38,294
"16",8344,"USA016","PI 586026","Sorghum",0,69,0,32,235
"17",8345,"USA016","PI 586040","Sorghum",0,73,12,15,233
"18",8347,"USA016","PI 586056","Sorghum",0,55,9,24,127
"19",8348,"USA016","PI 586087","Sorghum",0,55,12,24,110
"20",8349,"USA016","PI 586101","Sorghum",0,55,0,35,85
"21",8350,"USA016","PI 586126","Sorghum",1,51,33,32,190
"22",8351,"USA016","PI 586163","Sorghum",0,55,17,23,200
"23",8352,"USA016","PI 586187","Sorghum",0,55,20,33,220
"24",8353,"USA016","PI 586216","Sorghum",1,43,29,35,166
"25",8354,"USA016","PI 586354","Sorghum",1,49,27,29,228
"26",8355,"USA016","PI 586400","Sorghum",0,49,8,22,192
"27",8356,"USA016","PI 586433","Sorghum",1,50,15,18,145
"28",8357,"USA016","PI 586528","Sorghum",0,56,5,22,163
"29",24169,"USA016","PI 585315","Sorghum",1,42,22,27,178
"30",24170,"USA016","PI 585332","Sorghum",0,53,8,33,92
"31",24172,"USA016","PI 585363","Sorghum",0,49,19,28,63
"32",24174,"USA016","PI 585424","Sorghum",0,63,7,36,245
"33",24175,"USA016","PI 585535","Sorghum",0,74,0,45,295
"34",24176,"USA016","PI 585551","Sorghum",0,73,8,38,294
"35",24177,"USA016","PI 585577","Sorghum",0,72,16,41,348
"36",24178,"USA016","PI 585607","Sorghum",0,67,0,29,285
"37",24179,"USA016","PI 585643","Sorghum",0,49,25,40,195
"38",24180,"USA016","PI 585659","Sorghum",1,53,16,30,204
"39",24181,"USA016","PI 585663","Sorghum",0,49,28,28,192
"40",24182,"USA016","PI 585689","Sorghum",0,61,31,43,266
"41",24183,"USA016","PI 585760","Sorghum",0,61,16,48,270
"42",24185,"USA016","PI 585783","Sorghum",2,56,36,44,200
"43",24186,"USA016","PI 585889","Sorghum",1,62,29,25,166
"44",24187,"USA016","PI 585902","Sorghum",1,56,23,44,210
"45",24188,"USA016","PI 585909","Sorghum",0,56,34,36,240
"46",24189,"USA016","PI 585939","Sorghum",1,87,14,42,316
"47",24190,"USA016","PI 585957","Sorghum",1,83,30,40,290
"48",24191,"USA016","PI 585990","Sorghum",2,62,13,47,250
"49",24192,"USA016","PI 586027","Sorghum",0,77,5,23,240
"50",24193,"USA016","PI 586060","Sorghum",0,66,11,28,201
"51",24196,"USA016","PI 586131","Sorghum",1,47,37,41,210
"52",24198,"USA016","PI 586236","Sorghum",2,49,26,37,194
"53",24200,"USA016","PI 586262","Sorghum",0,56,29,29,196
"54",24201,"USA016","PI 586289","Sorghum",0,56,21,41,263
"55",24202,"USA016","PI 586347","Sorghum",0,50,23,31,210
"56",24203,"USA016","PI 586378","Sorghum",1,49,14,14,156
"57",24204,"USA016","PI 586399","Sorghum",1,49,9,26,226
"58",24205,"USA016","PI 586458","Sorghum",0,56,25,25,68
"59",24206,"USA016","PI 586508","Sorghum",0,56,9,26,175
"60",40251,"USA016","PI 585417","Sorghum",1,63,9,43,280
"61",40252,"USA016","PI 585453","Sorghum",0,56,16,23,254
"62",40253,"USA016","PI 585455","Sorghum",0,72,0,30,280
"63",40254,"USA016","PI 585464","Sorghum",1,65,6,35,237
"64",40255,"USA016","PI 585473","Sorghum",0,61,12,33,250
"65",40256,"USA016","PI 585515","Sorghum",0,70,10,28,262
"66",40259,"USA016","PI 585579","Sorghum",0,85,0,26,284
"67",40260,"USA016","PI 585605","Sorghum",0,72,0,25,325
"68",40261,"USA016","PI 585675","Sorghum",2,42,22,38,170
"69",40262,"USA016","PI 585684","Sorghum",0,65,27,38,175
"70",40264,"USA016","PI 585697","Sorghum",2,63,26,38,204
"71",40265,"USA016","PI 585738","Sorghum",2,51,17,26,157
"72",40266,"USA016","PI 585758","Sorghum",0,61,24,43,186
"73",40267,"USA016","PI 585821","Sorghum",0,49,28,35,182
"74",40269,"USA016","PI 585919","Sorghum",1,62,6,40,254
"75",40270,"USA016","PI 585956","Sorghum",1,71,25,40,325
"76",40271,"USA016","PI 585966","Sorghum",1,79,5,40,395
"77",40272,"USA016","PI 586031","Sorghum",0,69,4,22,250
