"","adf","crudeprot","fat","hrivdmd12","menergy","negain","nelact","nemaint","phosphorou","starch","tdn"
"adf",1,0.385,0.022,-0.648,-0.918,-0.994,-0.991,-0.995,0.186,-0.608,-0.995
"crudeprot",0.385,1,0.328,-0.129,-0.352,-0.381,-0.37,-0.384,0.688,-0.731,-0.386
"fat",0.022,0.328,1,-0.21,0.051,-0.034,-0.058,-0.024,0.449,-0.476,-0.027
"hrivdmd12",-0.648,-0.129,-0.21,1,0.714,0.667,0.667,0.652,-0.102,0.37,0.657
"menergy",-0.918,-0.352,0.051,0.714,1,0.919,0.915,0.918,-0.131,0.471,0.919
"negain",-0.994,-0.381,-0.034,0.667,0.919,1,0.997,0.999,-0.175,0.632,0.999
"nelact",-0.991,-0.37,-0.058,0.667,0.915,0.997,1,0.996,-0.172,0.642,0.996
"nemaint",-0.995,-0.384,-0.024,0.652,0.918,0.999,0.996,1,-0.185,0.623,1
"phosphorou",0.186,0.688,0.449,-0.102,-0.131,-0.175,-0.172,-0.185,1,-0.566,-0.183
"starch",-0.608,-0.731,-0.476,0.37,0.471,0.632,0.642,0.623,-0.566,1,0.623
"tdn",-0.995,-0.386,-0.027,0.657,0.919,0.999,0.996,1,-0.183,0.623,1
