"","genesysId","instCode","acceNumb","genus","12hr_DryMtrDigest","Fat","Fiber","Mtblzble_Enrgy","NetEnGain","NetEnLact","NetEnMaint","Phosphorus","Protein","Starch","TotalNutrients"
"1",8236,"USA016","Grif 617","Sorghum",0.243,5.74,4.86,164.11,64.31,89.18,94.57,0.39,12.55,69.03,84.75
"2",8327,"USA016","PI 585334","Sorghum",0.149,4.49,7.55,150.51,59.54,88.5,89.02,0.42,13.17,69.91,80.63
"3",8347,"USA016","PI 586056","Sorghum",0.234,3.24,6.04,156.72,62.25,88.95,92.13,0.38,10.27,72.95,82.94
"4",8356,"USA016","PI 586433","Sorghum",0.199,4.01,6.65,152.56,61.1,88.77,90.8,0.45,12.92,69.93,81.97
"5",8357,"USA016","PI 586528","Sorghum",0.212,4.79,6.79,152.12,60.89,88.75,90.54,0.51,14.2,69.34,81.79
"6",8865,"USA016","PI 179053","Sorghum",0.251,5.3,5.69,160.58,62.88,89.01,92.91,0.47,15.22,66.55,83.51
"7",8938,"USA016","PI 196586","Sorghum",0.17,4.04,7.47,154.28,59.64,88.56,89.16,0.42,13.18,69.03,80.72
"8",8975,"USA016","PI 214346","Sorghum",0.195,3.99,8.71,148.6,57.43,88.29,86.51,0.54,16.12,66.3,78.83
"9",9079,"USA016","PI 266953","Sorghum",0.217,4.97,4.95,164.99,64.14,89.21,94.4,0.38,11.34,70.84,84.6
"10",9080,"USA016","PI 266960","Sorghum",0.236,5,5.02,164.24,64.02,89.17,94.22,0.38,12.24,71.55,84.49
"11",9081,"USA016","PI 267108","Sorghum",0.267,4.64,5.33,162.91,63.62,89.09,93.63,0.42,13.77,69.42,84.05
"12",9083,"USA016","PI 267379","Sorghum",0.275,3.64,5.32,162.87,63.55,89.14,93.6,0.39,13.49,69.94,84.04
"13",9147,"USA016","PI 284992","Sorghum",0.276,4.02,5.6,160.41,63.13,89.06,93.09,0.44,12.36,70.02,83.68
"14",9176,"USA016","PI 291378","Sorghum",0.223,5.41,6.12,157.47,62.08,88.93,91.95,0.54,14.41,67.61,82.82
"15",9177,"USA016","PI 291382","Sorghum",0.173,5.32,9.27,145.16,56.13,88.1,85.32,0.53,17.1,62.73,77.94
"16",9194,"USA016","PI 302257","Sorghum",0.151,6.33,9.18,143.73,56.33,88.05,85.57,0.56,15.87,62.21,78.14
"17",9220,"USA016","PI 308215","Sorghum",0.23,3.93,6.8,156.33,60.95,88.78,90.52,0.4,11.89,70.73,81.79
"18",9226,"USA016","PI 308436","Sorghum",0.272,3.71,6.86,156.68,60.9,88.77,90.39,0.43,13.41,69.61,81.69
"19",9228,"USA016","PI 308486","Sorghum",0.269,3.33,6.04,160.9,62.28,88.95,92.03,0.4,10.81,72.02,82.92
"20",9399,"USA016","PI 391654","Sorghum",0.262,4.55,5.44,160.73,63.26,89.1,93.27,0.44,12.63,70.59,83.79
"21",9423,"USA016","PI 420931","Sorghum",0.139,5.48,9.88,142.84,55.01,87.89,84.04,0.54,15.59,62.41,77
"22",9718,"USA016","PI 475053","Sorghum",0.28,4.91,5.5,161.86,63.03,89.05,93.19,0.43,14.21,68.43,83.67
"23",9720,"USA016","PI 475157","Sorghum",0.274,5.01,5.61,160.99,62.97,89.05,92.97,0.41,14.14,68.8,83.54
"24",9721,"USA016","PI 475163","Sorghum",0.273,4.53,5.46,161.88,63.19,89.11,93.21,0.38,13.33,69.49,83.75
"25",9724,"USA016","PI 475317","Sorghum",0.277,4.92,5.1,164.65,63.74,89.17,93.94,0.4,13.11,69.05,84.25
"26",9726,"USA016","PI 475393","Sorghum",0.275,4.69,5.1,163.02,63.75,89.18,93.97,0.43,14.04,68.6,84.24
"27",9727,"USA016","PI 475429","Sorghum",0.302,4.68,6.07,158.53,62.14,88.88,91.98,0.42,14.22,68.32,82.81
"28",9756,"USA016","PI 482938","Sorghum",0.266,3.87,5.64,161.24,63.05,89.06,92.88,0.41,10.95,71.38,83.55
"29",9808,"USA016","PI 499328","Sorghum",0.267,4.52,6.05,159.02,62.31,88.96,92.09,0.46,13.84,68.96,82.92
"30",9861,"USA016","PI 511011","Sorghum",0.259,4.35,4.52,163.78,64.81,89.29,95.22,0.41,12.13,70.74,85.15
"31",9862,"USA016","PI 511014","Sorghum",0.287,3.89,4.73,163.32,64.7,89.3,94.8,0.45,12.36,71.06,84.99
"32",9877,"USA016","PI 511792","Sorghum",0.283,3.16,5.79,160.04,62.72,89.02,92.56,0.48,14.07,68.06,83.31
"33",9878,"USA016","PI 511795","Sorghum",0.272,3.4,5.79,160.16,62.51,88.99,92.52,0.42,13.55,69.01,83.21
"34",9879,"USA016","PI 511834","Sorghum",0.227,4.38,5.98,158.96,62.23,88.96,92.22,0.44,12.51,69.05,82.97
"35",9899,"USA016","PI 513645","Sorghum",0.227,3.89,8.85,146.79,57.28,88.29,86.07,0.65,18.61,64.22,78.59
"36",10006,"USA016","PI 526622","Sorghum",0.247,3.85,5.12,163.24,63.92,89.21,93.98,0.47,13.7,68.97,84.34
"37",10008,"USA016","PI 526644","Sorghum",0.263,3.68,5.82,160.28,62.67,89,92.52,0.38,10.34,71.97,83.27
"38",10012,"USA016","PI 526681","Sorghum",0.264,3.29,5.9,160.56,62.64,89.01,92.43,0.39,10.5,71.2,83.26
"39",10013,"USA016","PI 526780","Sorghum",0.273,3.65,5.58,161.28,63.22,89.08,93.15,0.43,11.53,70.71,83.73
"40",10022,"USA016","PI 527126","Sorghum",0.25,4.31,6.6,157.37,61.37,88.8,90.95,0.41,11.47,70.29,82.12
"41",10026,"USA016","PI 527429","Sorghum",0.172,5.81,8.75,144.38,57.09,88.16,86.45,0.59,17.4,61.15,78.84
"42",10103,"USA016","PI 533616","Sorghum",0.288,4.25,4.92,164.62,64.35,89.23,94.5,0.35,11.75,70.6,84.72
"43",10104,"USA016","PI 533785","Sorghum",0.278,4.24,4.83,164.64,64.44,89.23,94.66,0.38,11.41,70.06,84.85
"44",10108,"USA016","PI 533917","Sorghum",0.26,3.94,5.38,162.94,63.53,89.11,93.55,0.42,12.99,68.88,84
"45",10112,"USA016","PI 534042","Sorghum",0.268,3.84,7.78,153.38,59.02,88.47,88.37,0.41,13.37,68.73,80.24
"46",10113,"USA016","PI 534049","Sorghum",0.268,3.46,6.58,157.24,61.23,88.78,90.89,0.44,13,69.82,82.06
"47",10115,"USA016","PI 534146","Sorghum",0.27,4.09,5.42,163.29,63.34,89.06,93.39,0.36,12.59,69.48,83.86
"48",10116,"USA016","PI 534160","Sorghum",0.294,3.7,4.96,164.94,64.35,89.23,94.41,0.45,12.52,70.21,84.68
"49",10119,"USA016","PI 535776","Sorghum",0.2,4.8,12.18,139.5,50.76,87.25,79.15,0.4,14.35,59.08,73.53
"50",10155,"USA016","PI 540513","Sorghum",0.282,3.91,6.19,159.71,62.08,88.89,91.78,0.48,13.84,68.36,82.73
"51",10156,"USA016","PI 540800","Sorghum",0.298,3.69,5.82,160.59,62.41,88.99,92.4,0.45,13.51,68.08,83.15
"52",10160,"USA016","PI 542717","Sorghum",0.223,5.01,6.92,156.3,60.61,88.72,90.25,0.51,14.4,67.98,81.54
"53",10174,"USA016","PI 547914","Sorghum",0.253,6.28,6.14,158.4,62.14,88.85,91.91,0.49,13.73,67.66,82.87
"54",10175,"USA016","PI 547943","Sorghum",0.242,5.55,5.96,160.13,62.45,88.92,92.28,0.45,12.27,69.18,83.07
"55",10176,"USA016","PI 547955","Sorghum",0.249,5.31,5.8,160.22,62.7,88.96,92.61,0.43,12.37,69.22,83.32
"56",10177,"USA016","PI 547963","Sorghum",0.25,5.44,5.08,162.58,63.89,89.16,94.01,0.42,11.25,70.45,84.31
"57",10178,"USA016","PI 547966","Sorghum",0.229,4.61,6.99,155.14,60.59,88.72,90.11,0.48,13.26,68.83,81.47
"58",10179,"USA016","PI 547967","Sorghum",0.252,6.55,5.5,160.62,63.25,89.01,93.22,0.46,12.45,68.07,83.79
"59",10180,"USA016","PI 548044","Sorghum",0.239,5.9,5.7,159.27,62.74,88.97,92.75,0.5,12.85,67.77,83.39
"60",10184,"USA016","PI 550805","Sorghum",0.268,3.63,4.45,165.58,64.72,89.27,95.21,0.44,11.38,70.72,85.11
"61",10185,"USA016","PI 550830","Sorghum",0.278,4.1,4.79,164.06,64.32,89.23,94.47,0.5,12.74,68.79,84.71
"62",10186,"USA016","PI 550865","Sorghum",0.262,4.22,4.8,162.3,64.03,89.22,94.4,0.52,13.32,68.14,84.51
"63",10197,"USA016","PI 555680","Sorghum",0.28,4.25,6.23,157.92,61.95,88.85,91.69,0.51,14.43,67.48,82.63
"64",10216,"USA016","PI 560421","Sorghum",0.258,3.83,5.19,157.76,63.72,89.13,93.85,0.42,13,71.07,84.18
"65",10217,"USA016","PI 560434","Sorghum",0.177,4.11,6.89,152.32,60.84,88.73,90.34,0.47,12.72,69.99,81.69
"66",10219,"USA016","PI 560499","Sorghum",0.26,3.19,5.67,157.91,62.98,89.06,92.88,0.39,11.61,72.24,83.55
"67",10241,"USA016","PI 562769","Sorghum",0.243,4.89,6.51,152.07,61.39,88.85,91.15,0.52,16.52,66.68,82.23
"68",10242,"USA016","PI 562771","Sorghum",0.272,3.85,4.94,159.01,64.23,89.21,94.44,0.4,11.37,72.83,84.64
"69",10251,"USA016","PI 563097","Sorghum",0.238,3.25,5.85,157.21,62.62,89.04,92.51,0.38,12.23,72.59,83.23
"70",10258,"USA016","PI 563401","Sorghum",0.264,3.72,5.45,157.43,63.41,89.07,93.43,0.38,11.67,71.61,83.91
"71",10262,"USA016","PI 563582","Sorghum",0.257,4.73,4.13,161.37,65.46,89.39,96.03,0.36,10.17,71.5,85.82
"72",10263,"USA016","PI 563605","Sorghum",0.251,3.56,3.83,164.72,66.17,89.51,96.76,0.37,10.68,72.51,86.35
"73",10265,"USA016","PI 563745","Sorghum",0.268,4.09,4.11,161.73,65.5,89.39,96.08,0.38,10.73,72.1,85.83
"74",10267,"USA016","PI 563820","Sorghum",0.194,3.85,6.11,156.46,62.08,88.92,92.02,0.36,10.9,72.12,82.85
"75",10274,"USA016","PI 567810","Sorghum",0.188,4.78,5.64,156.86,62.84,89.04,92.93,0.42,12.19,72.14,83.5
"76",10276,"USA016","PI 567963","Sorghum",0.214,5.32,6.09,154.23,62.01,88.88,91.96,0.41,12.55,71.35,82.77
"77",10549,"USA016","PI 599692","Sorghum",0.233,3.7,5.85,155.85,62.61,89,92.49,0.37,12.93,70.48,83.24
"78",10550,"USA016","PI 599708","Sorghum",0.225,3.96,6.64,152.26,61.1,88.78,90.88,0.42,14.12,68.92,81.98
"79",10551,"USA016","PI 599716","Sorghum",0.226,5.11,5.29,157.54,63.59,89.14,93.65,0.53,15.15,67.41,84.07
"80",10552,"USA016","PI 599724","Sorghum",0.212,3.58,6.98,150.84,60.45,88.71,90.1,0.38,12.47,70.88,81.5
"81",10565,"USA016","PI 599733","Sorghum",0.213,3.77,6.02,153.85,62.03,88.89,92.13,0.41,14.26,68.56,82.87
"82",10569,"USA016","PI 599820","Sorghum",0.249,3.65,6.71,153.19,61.11,88.77,90.79,0.36,12.04,70.5,81.98
