"","genesysId","instCode","acceNumb","genus","anthesis1","anthrac","awns","basaltillr","branchangl","endosprmco","endosprmtx","endosprmty","exsertion","glumecolor","glumepubsc","heightunif","jdmidrib","kercolor","kercover","kerplump","kershape","mesocarp","midribcol","nodaltillr","paniclecom","paniclelgt","paniclerec","panicleshp","pericarpco","plantcol","planthgt","rust","seedtype"
"1",8327,"USA016","PI 585334","Sorghum",58,"Resistant","None",0,"Erect","White","Almost starchy","Non-waxy",15,"Black","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Oval","Thin","Colorless","Yes","Semi-loose",28,"Erect","Elliptical","Red","Purple-red",163," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"2",8328,"USA016","PI 585367","Sorghum",67,"Resistant","None",0,"Erect","Yellow","Partly corneous","Non-waxy",18,"Tan","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Yellow","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-compact",26,"Erect","Elliptical","Lemon yellow","Red-purple",138," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"3",8329,"USA016","PI 585402","Sorghum",56,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",20,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Round","Thin","Colorless","Yes","Loose",40,"Erect","Lax","Red","Red",240," (2.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"4",8331,"USA016","PI 585538","Sorghum",81,"Resistant","Long",0,"Erect","White","Partly corneous","Non-waxy",30,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Round","Thin","Colorless","Yes","Loose",24,"Erect","Elliptical","Red","Purple-red",326," (2.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"5",8332,"USA016","PI 585547","Sorghum",74,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",10,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","75% kernel covered","Plump","Oval","Thin","Colorless","Yes","Loose",30,"Erect","Elliptical","Red","Red-purple",270," (2.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"6",8333,"USA016","PI 585596","Sorghum",63,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-compact",33,"Erect","Oval","Red","Purple-red",260," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"7",8334,"USA016","PI 585620","Sorghum",61,"Resistant","None",0,"Erect","White","Completely starchy","Non-waxy",8,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","50% kernel covered","Plump","Round","Thin","Colorless","Yes","Semi-loose",15,"Erect","Elliptical","Red","Purple-red",212," (2.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"8",8335,"USA016","PI 585660","Sorghum",58,"Resistant","None",1,"Erect","White","Partly corneous","Non-waxy",31,"Black","Intermediate"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","75% kernel covered","Plump","Round","Thick","Colorless","Yes","Semi-loose",39,"Erect","Elliptical","White","Purple-red",150," (1.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"9",8336,"USA016","PI 585744","Sorghum",58,"Resistant","Long",0,"Drooping","White","Almost corneous","Non-waxy",24,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Round","Thick","Colorless","Yes","Loose",43,"Erect","Lax","White","Red-purple",200," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"10",8338,"USA016","PI 585809","Sorghum",51,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",30,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Purple","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",36,"Erect","Lax","White","Purple-red",210," (3.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"11",8339,"USA016","PI 585819","Sorghum",62,"Resistant","Long",0,"Drooping","White","Partly corneous","Non-waxy",19,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","Yes","Loose",30,"Erect","Lax","White","Purple-red",255," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"12",8340,"USA016","PI 585827","Sorghum",53,"Resistant","Long",2,"Drooping","White","Almost corneous","Non-waxy",24,"Red","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","White","Involuted","Plump","Oval","Thin","Colorless","No","Loose",36,"Erect","Lax","White","Red-purple",172," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"13",8341,"USA016","PI 585996","Sorghum",64,"Resistant","None",0,"Drooping","White","Partly corneous","Non-waxy",6,"Black","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Round","Thick","Colorless","Yes","Loose",33,"Erect","Lax","Red","Purple-red",240," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"14",8342,"USA016","PI 585998","Sorghum",64,"Resistant","Short",1,"Drooping","White","Partly corneous","Non-waxy",20,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thick","Colorless","No","Loose",37,"Erect","Lax","Red","Red",220," (4.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"15",8343,"USA016","PI 586018","Sorghum",62,"Resistant","Short",1,"Drooping","White","Partly corneous","Non-waxy",10,"Straw","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Red","Involuted","Plump","Oval","Thick","Colorless","Yes","Loose",38,"Erect","Lax","Red","Red",294," (4.5) (1.0 = Resistant, 5.0 = Susceptible)","Single"
"16",8344,"USA016","PI 586026","Sorghum",69,"Resistant","None",0,"Erect","White","Partly corneous","Non-waxy",0,"Purple","No"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)","Dry","Brown","25% kernel covered","Plump","Oval","Thick","Colorless","Yes","Semi-compact",32,"Erect","Oval","Red","Purple-red",235," (2.0) (1.0 = Resistant, 5.0 = Susceptible)","Single"
