"genesysId","datasetId","value"
"486414","1018","0.114"
"136826","1018","0.128"
"265481","1018","0.131"
"391228","1018","0.147"
"391226","1018","0.148"
"137910","1018","0.150"
"136027","1018","0.153"
"486634","1018","0.166"
"265646","1018","0.168"
"392374","1018","0.169"
"265619","1018","0.172"
"263891","1018","0.173"
"263395","1018","0.176"
"136898","1018","0.180"
"487916","1018","0.180"
"265643","1018","0.181"
"487825","1018","0.183"
"265314","1018","0.186"
"488225","1018","0.186"
"392323","1018","0.187"
"137987","1018","0.187"
"486726","1018","0.188"
"486625","1018","0.189"
"485850","1018","0.190"
"392378","1018","0.190"
"392692","1018","0.190"
"265312","1018","0.194"
"487938","1018","0.197"
"263892","1018","0.199"
"136785","1018","0.201"
"486772","1018","0.201"
"138005","1018","0.201"
"265632","1018","0.201"
"136576","1018","0.203"
"486764","1018","0.203"
"265332","1018","0.204"
"487923","1018","0.207"
"392244","1018","0.208"
"392289","1018","0.208"
"487924","1018","0.208"
"265642","1018","0.212"
"487738","1018","0.213"
"137838","1018","0.213"
"137982","1018","0.213"
"392369","1018","0.214"
"265633","1018","0.214"
"488084","1018","0.215"
"138296","1018","0.215"
"390379","1018","0.216"
"392684","1018","0.216"
"135991","1018","0.217"
"487939","1018","0.217"
"265251","1018","0.218"
"265254","1018","0.218"
"487941","1018","0.218"
"265331","1018","0.219"
"265294","1018","0.220"
"138297","1018","0.220"
"263722","1018","0.221"
"135992","1018","0.222"
"263897","1018","0.222"
"486743","1018","0.222"
"487897","1018","0.222"
"392330","1018","0.223"
"392696","1018","0.223"
"392661","1018","0.224"
"487885","1018","0.225"
"488211","1018","0.225"
"392682","1018","0.225"
"264062","1018","0.226"
"265625","1018","0.226"
"265626","1018","0.226"
"138306","1018","0.226"
"488212","1018","0.227"
"265255","1018","0.228"
"137936","1018","0.228"
"137971","1018","0.228"
"392685","1018","0.229"
"265078","1018","0.230"
"392241","1018","0.230"
"392242","1018","0.230"
"265623","1018","0.230"
"488226","1018","0.230"
"487725","1018","0.231"
"137904","1018","0.231"
"265249","1018","0.231"
"488227","1018","0.231"
"487729","1018","0.232"
"392368","1018","0.232"
"488208","1018","0.232"
"392677","1018","0.232"
"265232","1018","0.233"
"265234","1018","0.233"
"392673","1018","0.233"
"488210","1018","0.233"
"390615","1018","0.234"
"487562","1018","0.234"
"392245","1018","0.234"
"487867","1018","0.234"
"265631","1018","0.234"
"392230","1018","0.235"
"487828","1018","0.235"
"392676","1018","0.235"
"138307","1018","0.235"
"486668","1018","0.236"
"487613","1018","0.236"
"265286","1018","0.236"
"488223","1018","0.236"
"135892","1018","0.237"
"136018","1018","0.237"
"390366","1018","0.237"
"392158","1018","0.237"
"487732","1018","0.237"
"265253","1018","0.237"
"392354","1018","0.237"
"138159","1018","0.237"
"264920","1018","0.238"
"137993","1018","0.238"
"137588","1018","0.239"
"487733","1018","0.239"
"137906","1018","0.239"
"487821","1018","0.239"
"138002","1018","0.239"
"488190","1018","0.239"
"265606","1018","0.239"
"265644","1018","0.239"
"137832","1018","0.240"
"138305","1018","0.240"
"265624","1018","0.241"
"392683","1018","0.241"
"392697","1018","0.241"
"487818","1018","0.242"
"265313","1018","0.242"
"137985","1018","0.242"
"265622","1018","0.242"
"138315","1018","0.242"
"485821","1018","0.243"
"392048","1018","0.243"
"392240","1018","0.243"
"487823","1018","0.244"
"392674","1018","0.244"
"392370","1018","0.246"
"488207","1018","0.246"
"265647","1018","0.246"
"392239","1018","0.247"
"487824","1018","0.247"
"137912","1018","0.247"
"265648","1018","0.247"
"487934","1018","0.248"
"392693","1018","0.248"
"391823","1018","0.249"
"392334","1018","0.249"
"137986","1018","0.249"
"488222","1018","0.249"
"265988","1018","0.249"
"391125","1018","0.250"
"265011","1018","0.250"
"137989","1018","0.250"
"265320","1018","0.250"
"265366","1018","0.250"
"488206","1018","0.250"
"392672","1018","0.250"
"138304","1018","0.250"
"136028","1018","0.251"
"136756","1018","0.251"
"137905","1018","0.251"
"392339","1018","0.251"
"392352","1018","0.251"
"392436","1018","0.251"
"392695","1018","0.251"
"392161","1018","0.252"
"392288","1018","0.252"
"392342","1018","0.252"
"392350","1018","0.252"
"392694","1018","0.252"
"136909","1018","0.253"
"265181","1018","0.253"
"137887","1018","0.253"
"265235","1018","0.253"
"392249","1018","0.253"
"265327","1018","0.253"
"487933","1018","0.253"
"487935","1018","0.253"
"392356","1018","0.254"
"138316","1018","0.254"
"390323","1018","0.255"
"264918","1018","0.255"
"392351","1018","0.255"
"264665","1018","0.256"
"487850","1018","0.256"
"392344","1018","0.256"
"137980","1018","0.256"
"392355","1018","0.256"
"487734","1018","0.257"
"265319","1018","0.257"
"392058","1018","0.258"
"487827","1018","0.258"
"487901","1018","0.258"
"137911","1018","0.259"
"137977","1018","0.259"
"137978","1018","0.259"
"391187","1018","0.260"
"264179","1018","0.260"
"487286","1018","0.260"
"391126","1018","0.261"
"137453","1018","0.261"
"487896","1018","0.261"
"263351","1018","0.262"
"391124","1018","0.262"
"487919","1018","0.262"
"137983","1018","0.262"
"392353","1018","0.262"
"138313","1018","0.262"
"265175","1018","0.263"
"392256","1018","0.263"
"265303","1018","0.263"
"138314","1018","0.263"
"486731","1018","0.264"
"137592","1018","0.264"
"487622","1018","0.264"
"487829","1018","0.264"
"487904","1018","0.264"
"392341","1018","0.264"
"137991","1018","0.264"
"137415","1018","0.265"
"137827","1018","0.265"
"487831","1018","0.265"
"265645","1018","0.265"
"485729","1018","0.266"
"390888","1018","0.266"
"264202","1018","0.266"
"487637","1018","0.266"
"487735","1018","0.266"
"265095","1018","0.267"
"392155","1018","0.267"
"488224","1018","0.267"
"488236","1018","0.267"
"391261","1018","0.268"
"264415","1018","0.268"
"391730","1018","0.268"
"392286","1018","0.268"
"136541","1018","0.269"
"392054","1018","0.269"
"137992","1018","0.269"
"136946","1018","0.270"
"137590","1018","0.270"
"487492","1018","0.270"
"265091","1018","0.270"
"265177","1018","0.270"
"137815","1018","0.270"
"138317","1018","0.270"
"264174","1018","0.271"
"487628","1018","0.271"
"392251","1018","0.271"
"487914","1018","0.271"
"487295","1018","0.272"
"487615","1018","0.272"
"487917","1018","0.272"
"390357","1018","0.273"
"136810","1018","0.273"
"487412","1018","0.273"
"137593","1018","0.273"
"265104","1018","0.273"
"485862","1018","0.274"
"264756","1018","0.274"
"391890","1018","0.274"
"137826","1018","0.274"
"392164","1018","0.274"
"392250","1018","0.274"
"487902","1018","0.274"
"390230","1018","0.275"
"392248","1018","0.275"
"487913","1018","0.275"
"136878","1018","0.276"
"137465","1018","0.276"
"392257","1018","0.276"
"487387","1018","0.277"
"137727","1018","0.277"
"265106","1018","0.277"
"487727","1018","0.277"
"392231","1018","0.277"
"136870","1018","0.278"
"487384","1018","0.278"
"264921","1018","0.278"
"137824","1018","0.278"
"137913","1018","0.278"
"486774","1018","0.279"
"264905","1018","0.279"
"392349","1018","0.279"
"486766","1018","0.280"
"137417","1018","0.280"
"137424","1018","0.280"
"391900","1018","0.280"
"392229","1018","0.280"
"265258","1018","0.280"
"391019","1018","0.281"
"264117","1018","0.281"
"137813","1018","0.281"
"137831","1018","0.281"
"263905","1018","0.282"
"487291","1018","0.282"
"264767","1018","0.283"
"487333","1018","0.283"
"392222","1018","0.283"
"264859","1018","0.284"
"264909","1018","0.284"
"265188","1018","0.284"
"265257","1018","0.284"
"138145","1018","0.284"
"391061","1018","0.285"
"391777","1018","0.285"
"487721","1018","0.285"
"487787","1018","0.285"
"136713","1018","0.286"
"487292","1018","0.286"
"137425","1018","0.286"
"391824","1018","0.286"
"137591","1018","0.286"
"137421","1018","0.287"
"391268","1018","0.288"
"137464","1018","0.288"
"137882","1018","0.288"
"391891","1018","0.290"
"392253","1018","0.290"
"392166","1018","0.291"
"137583","1018","0.292"
"392153","1018","0.292"
"137892","1018","0.292"
"487300","1018","0.293"
"392154","1018","0.293"
"487723","1018","0.293"
"265176","1018","0.294"
"136724","1018","0.295"
"265182","1018","0.296"
"265187","1018","0.297"
"392169","1018","0.297"
"137896","1018","0.297"
"263855","1018","0.298"
"487724","1018","0.298"
"391739","1018","0.303"
"152642","1018","0.092"
"406870","1018","0.113"
"279890","1018","0.115"
"152810","1018","0.134"
"406349","1018","0.135"
"408673","1018","0.138"
"279902","1018","0.148"
"407224","1018","0.148"
"25996","1018","0.149"
"24769","1018","0.153"
