"genesysId","datasetId","value"
"487914","1018","2.64"
"487913","1018","2.83"
"138305","1018","2.87"
"392685","1018","2.91"
"392683","1018","2.92"
"488207","1018","2.93"
"138306","1018","2.94"
"392436","1018","2.98"
"265633","1018","3.03"
"392676","1018","3.04"
"265642","1018","3.10"
"392352","1018","3.11"
"487827","1018","3.12"
"392672","1018","3.12"
"265647","1018","3.12"
"488211","1018","3.13"
"138297","1018","3.13"
"265631","1018","3.13"
"265181","1018","3.16"
"265623","1018","3.16"
"264918","1018","3.19"
"487917","1018","3.20"
"265625","1018","3.22"
"487725","1018","3.23"
"138314","1018","3.23"
"137936","1018","3.24"
"392677","1018","3.24"
"488225","1018","3.24"
"265176","1018","3.25"
"390230","1018","3.27"
"265187","1018","3.27"
"265624","1018","3.27"
"392344","1018","3.28"
"392661","1018","3.29"
"392354","1018","3.30"
"137832","1018","3.32"
"392289","1018","3.32"
"487934","1018","3.32"
"391019","1018","3.33"
"392692","1018","3.33"
"265303","1018","3.34"
"392673","1018","3.34"
"392342","1018","3.36"
"265327","1018","3.36"
"488226","1018","3.36"
"392694","1018","3.37"
"138317","1018","3.38"
"264909","1018","3.39"
"137826","1018","3.39"
"265286","1018","3.39"
"137978","1018","3.39"
"265626","1018","3.39"
"487622","1018","3.40"
"488227","1018","3.40"
"264920","1018","3.41"
"392356","1018","3.41"
"137827","1018","3.42"
"487732","1018","3.42"
"487916","1018","3.42"
"392674","1018","3.42"
"487729","1018","3.43"
"265632","1018","3.43"
"392369","1018","3.45"
"265622","1018","3.45"
"488206","1018","3.46"
"487615","1018","3.48"
"265177","1018","3.48"
"138313","1018","3.48"
"264179","1018","3.51"
"392161","1018","3.51"
"487902","1018","3.52"
"392368","1018","3.52"
"137911","1018","3.53"
"488084","1018","3.53"
"392158","1018","3.54"
"485729","1018","3.55"
"392350","1018","3.55"
"137727","1018","3.56"
"487733","1018","3.58"
"137986","1018","3.58"
"138296","1018","3.58"
"138304","1018","3.58"
"265011","1018","3.59"
"137971","1018","3.59"
"392249","1018","3.60"
"138145","1018","3.60"
"488236","1018","3.60"
"264202","1018","3.61"
"392334","1018","3.62"
"391187","1018","3.63"
"136878","1018","3.63"
"265646","1018","3.63"
"391124","1018","3.64"
"265091","1018","3.64"
"487828","1018","3.64"
"137882","1018","3.65"
"137980","1018","3.65"
"486743","1018","3.66"
"265188","1018","3.66"
"488224","1018","3.66"
"136028","1018","3.67"
"264117","1018","3.67"
"487787","1018","3.67"
"265319","1018","3.67"
"391261","1018","3.68"
"264921","1018","3.68"
"392341","1018","3.68"
"136724","1018","3.69"
"391268","1018","3.69"
"487935","1018","3.69"
"488210","1018","3.69"
"137912","1018","3.70"
"488212","1018","3.70"
"486668","1018","3.71"
"392229","1018","3.71"
"487896","1018","3.71"
"265643","1018","3.71"
"392349","1018","3.72"
"136018","1018","3.73"
"265645","1018","3.73"
"392054","1018","3.74"
"392154","1018","3.75"
"488208","1018","3.75"
"138316","1018","3.75"
"136810","1018","3.77"
"487867","1018","3.77"
"392695","1018","3.77"
"487735","1018","3.78"
"265648","1018","3.78"
"137453","1018","3.79"
"265095","1018","3.80"
"265182","1018","3.80"
"487897","1018","3.80"
"485850","1018","3.81"
"487628","1018","3.81"
"265258","1018","3.81"
"137583","1018","3.82"
"487723","1018","3.82"
"265294","1018","3.82"
"487904","1018","3.83"
"488222","1018","3.83"
"488223","1018","3.83"
"391125","1018","3.84"
"486766","1018","3.87"
"392288","1018","3.87"
"136713","1018","3.88"
"138159","1018","3.88"
"265104","1018","3.91"
"392164","1018","3.91"
"392222","1018","3.91"
"138002","1018","3.92"
"487637","1018","3.93"
"137913","1018","3.93"
"487919","1018","3.93"
"391126","1018","3.94"
"392153","1018","3.95"
"487823","1018","3.95"
"392166","1018","3.96"
"487734","1018","3.97"
"265606","1018","3.97"
"137831","1018","3.98"
"486634","1018","3.99"
"487724","1018","3.99"
"392693","1018","4.00"
"487492","1018","4.01"
"136946","1018","4.02"
"137588","1018","4.02"
"487901","1018","4.02"
"137593","1018","4.03"
"392048","1018","4.03"
"392231","1018","4.04"
"392353","1018","4.04"
"265481","1018","4.04"
"487613","1018","4.05"
"487923","1018","4.05"
"392684","1018","4.05"
"136909","1018","4.06"
"486772","1018","4.06"
"487933","1018","4.06"
"392696","1018","4.06"
