"genesysId","datasetId","value"
"137985","1018","3.65"
"392350","1018","3.71"
"485821","1018","3.82"
"137831","1018","3.84"
"392351","1018","3.92"
"137983","1018","4.13"
"265257","1018","4.19"
"137913","1018","4.19"
"264905","1018","4.30"
"137991","1018","4.35"
"265319","1018","4.37"
"487913","1018","4.40"
"487387","1018","4.44"
"265106","1018","4.45"
"487831","1018","4.45"
"391890","1018","4.49"
"265182","1018","4.52"
"265258","1018","4.55"
"264179","1018","4.56"
"392353","1018","4.58"
"137593","1018","4.64"
"487919","1018","4.65"
"487724","1018","4.66"
"137971","1018","4.66"
"265011","1018","4.68"
"137986","1018","4.71"
"392256","1018","4.72"
"137826","1018","4.75"
"137989","1018","4.75"
"136810","1018","4.79"
"391824","1018","4.80"
"136018","1018","4.82"
"392257","1018","4.82"
"137906","1018","4.85"
"138304","1018","4.87"
"390230","1018","4.91"
"137992","1018","4.91"
"265294","1018","4.93"
"137592","1018","4.95"
"392683","1018","4.95"
"137425","1018","4.97"
"487901","1018","4.97"
"487492","1018","4.99"
"392248","1018","5.02"
"392349","1018","5.02"
"392370","1018","5.02"
"390323","1018","5.03"
"392356","1018","5.06"
"391891","1018","5.07"
"263905","1018","5.09"
"391261","1018","5.09"
"137583","1018","5.09"
"487721","1018","5.11"
"487818","1018","5.12"
"392286","1018","5.12"
"486766","1018","5.13"
"487914","1018","5.14"
"136724","1018","5.15"
"265645","1018","5.15"
"487829","1018","5.18"
"392253","1018","5.19"
"137978","1018","5.23"
"487295","1018","5.24"
"137827","1018","5.24"
"137896","1018","5.24"
"487821","1018","5.24"
"392164","1018","5.25"
"392251","1018","5.25"
"136028","1018","5.26"
"137424","1018","5.28"
"137590","1018","5.29"
"137824","1018","5.30"
"265303","1018","5.30"
"487637","1018","5.31"
"392245","1018","5.31"
"392354","1018","5.31"
"487923","1018","5.31"
"392250","1018","5.32"
"265625","1018","5.33"
"265232","1018","5.34"
"265624","1018","5.34"
"137905","1018","5.35"
"137993","1018","5.35"
"392166","1018","5.36"
"265235","1018","5.36"
"265249","1018","5.37"
"265320","1018","5.37"
"263351","1018","5.39"
"487902","1018","5.39"
"487904","1018","5.39"
"138305","1018","5.39"
"487292","1018","5.40"
"136713","1018","5.41"
"263722","1018","5.44"
"136946","1018","5.44"
"137982","1018","5.44"
"264859","1018","5.45"
"392672","1018","5.45"
"264756","1018","5.46"
"138314","1018","5.46"
"391823","1018","5.48"
"264909","1018","5.48"
"487291","1018","5.49"
"137977","1018","5.49"
"487412","1018","5.51"
"392155","1018","5.51"
"486774","1018","5.52"
"137980","1018","5.53"
"265313","1018","5.54"
"485729","1018","5.55"
"264665","1018","5.56"
"391730","1018","5.56"
"265095","1018","5.57"
"264767","1018","5.58"
"487941","1018","5.58"
"136756","1018","5.61"
"391739","1018","5.63"
"138005","1018","5.63"
"392694","1018","5.63"
"263855","1018","5.64"
"391268","1018","5.64"
"391126","1018","5.65"
"137415","1018","5.65"
"487333","1018","5.65"
"137464","1018","5.65"
"392058","1018","5.65"
"392153","1018","5.65"
"392339","1018","5.65"
"392341","1018","5.65"
"487885","1018","5.66"
"392355","1018","5.66"
"264415","1018","5.69"
"265622","1018","5.69"
"137417","1018","5.70"
"265253","1018","5.70"
"488222","1018","5.70"
"391019","1018","5.71"
"487939","1018","5.71"
"263897","1018","5.72"
"137892","1018","5.72"
"137465","1018","5.74"
"487787","1018","5.74"
"392229","1018","5.74"
"137882","1018","5.75"
"264202","1018","5.76"
"487300","1018","5.76"
"487384","1018","5.76"
"392661","1018","5.76"
"392342","1018","5.81"
"136541","1018","5.82"
"137453","1018","5.82"
"137904","1018","5.82"
"392344","1018","5.82"
"485862","1018","5.83"
"265234","1018","5.83"
"392169","1018","5.84"
"265327","1018","5.84"
"487917","1018","5.85"
"488206","1018","5.85"
"135991","1018","5.86"
"392436","1018","5.86"
"392693","1018","5.86"
"264117","1018","5.87"
"264921","1018","5.87"
"488223","1018","5.87"
"392674","1018","5.88"
"138297","1018","5.88"
"265286","1018","5.89"
"487615","1018","5.91"
"392222","1018","5.91"
"137911","1018","5.91"
"488190","1018","5.91"
"265623","1018","5.91"
"137987","1018","5.92"
"138145","1018","5.92"
"391187","1018","5.94"
"138002","1018","5.94"
"265626","1018","5.94"
"488212","1018","5.95"
"486743","1018","5.97"
"137591","1018","5.97"
"391900","1018","5.97"
"391777","1018","5.98"
"487933","1018","5.98"
"136785","1018","5.99"
"392288","1018","6.00"
"487896","1018","6.00"
"392352","1018","6.00"
"487935","1018","6.01"
"391061","1018","6.02"
"487924","1018","6.03"
"138313","1018","6.03"
"137421","1018","6.06"
"392054","1018","6.06"
"137727","1018","6.07"
"390366","1018","6.08"
"135892","1018","6.09"
"392676","1018","6.10"
"392334","1018","6.12"
"138296","1018","6.13"
"390615","1018","6.16"
"390888","1018","6.18"
"136870","1018","6.18"
"265078","1018","6.18"
"488236","1018","6.18"
"487727","1018","6.19"
"392239","1018","6.19"
"390357","1018","6.20"
"265254","1018","6.22"
"487934","1018","6.22"
"265177","1018","6.23"
"487733","1018","6.23"
"488207","1018","6.23"
"392241","1018","6.25"
"392244","1018","6.26"
"487628","1018","6.27"
"487723","1018","6.28"
"265314","1018","6.28"
"264918","1018","6.29"
"391124","1018","6.30"
"392231","1018","6.30"
"264174","1018","6.31"
"137813","1018","6.34"
"265251","1018","6.34"
"265104","1018","6.35"
"390379","1018","6.36"
"392242","1018","6.38"
"265332","1018","6.40"
"486731","1018","6.41"
"487827","1018","6.41"
"138317","1018","6.41"
"487867","1018","6.42"
"392048","1018","6.43"
"487734","1018","6.43"
"265255","1018","6.45"
"392682","1018","6.46"
"488208","1018","6.47"
"136909","1018","6.48"
"487562","1018","6.51"
"265091","1018","6.52"
"265312","1018","6.52"
"136027","1018","6.53"
"136878","1018","6.54"
"138315","1018","6.54"
"265188","1018","6.55"
"488224","1018","6.55"
"487622","1018","6.57"
"265331","1018","6.57"
"391125","1018","6.58"
"486726","1018","6.59"
"138159","1018","6.59"
"137815","1018","6.60"
"137887","1018","6.60"
"392240","1018","6.60"
"265176","1018","6.61"
"392154","1018","6.62"
"392697","1018","6.62"
"488211","1018","6.65"
"392673","1018","6.66"
"137936","1018","6.67"
"137912","1018","6.68"
"265648","1018","6.69"
"487729","1018","6.70"
"392368","1018","6.71"
"137588","1018","6.72"
"265644","1018","6.72"
"392677","1018","6.73"
"138316","1018","6.79"
"392161","1018","6.80"
"392378","1018","6.80"
"392685","1018","6.80"
"265631","1018","6.81"
"392289","1018","6.82"
"392249","1018","6.84"
"265366","1018","6.84"
"138306","1018","6.84"
"392696","1018","6.85"
"135992","1018","6.86"
"392369","1018","6.87"
"487850","1018","6.88"
"392330","1018","6.88"
"487286","1018","6.93"
"392695","1018","6.95"
"137832","1018","6.96"
"487725","1018","7.00"
"392230","1018","7.00"
"486764","1018","7.02"
"488227","1018","7.03"
"486668","1018","7.04"
"488084","1018","7.04"
"488210","1018","7.09"
"265606","1018","7.14"
"486772","1018","7.15"
"265647","1018","7.19"
"487824","1018","7.20"
"265187","1018","7.21"
"487613","1018","7.23"
"265633","1018","7.24"
"485850","1018","7.26"
"392374","1018","7.31"
"487897","1018","7.39"
"487735","1018","7.46"
"265646","1018","7.46"
"487823","1018","7.48"
"138307","1018","7.48"
"488226","1018","7.52"
"487828","1018","7.55"
"392158","1018","7.65"
"264920","1018","7.66"
"486625","1018","7.74"
"392323","1018","7.80"
"265181","1018","7.85"
"487916","1018","7.93"
"265642","1018","7.95"
"265481","1018","7.97"
"136576","1018","7.99"
"265619","1018","8.03"
"265175","1018","8.08"
"487732","1018","8.18"
"263395","1018","8.31"
"265632","1018","8.33"
"263892","1018","8.43"
"264062","1018","8.45"
"265643","1018","8.46"
"392692","1018","8.50"
"137910","1018","8.63"
"487938","1018","8.71"
"392684","1018","8.79"
"487825","1018","9.10"
"136898","1018","9.17"
"488225","1018","9.18"
"486414","1018","9.46"
"391228","1018","9.62"
"136826","1018","9.72"
"486634","1018","10.01"
"137838","1018","11.31"
"263891","1018","11.49"
"487738","1018","11.79"
"391226","1018","12.04"
"151991","1018","3.62"
"154002","1018","3.64"
"408328","1018","3.74"
"153997","1018","3.79"
"24069","1018","3.81"
"26038","1018","3.82"
"281331","1018","3.99"
"281329","1018","4.01"
"408326","1018","4.02"
"153995","1018","4.08"
"154006","1018","4.19"
"281259","1018","4.20"
"408236","1018","4.27"
"408325","1018","4.28"
"154004","1018","4.28"
"154005","1018","4.32"
"25988","1018","4.33"
"26118","1018","4.34"
"26063","1018","4.36"
"281260","1018","4.37"
"153910","1018","4.38"
"26157","1018","4.38"
"26065","1018","4.39"
"408237","1018","4.40"
"153931","1018","4.41"
"408206","1018","4.47"
"153933","1018","4.49"
"26152","1018","4.53"
"280882","1018","4.55"
"408235","1018","4.55"
"153932","1018","4.55"
"25979","1018","4.61"
"152655","1018","4.62"
"407191","1018","4.62"
"151992","1018","4.64"
