"genesysId","datasetId","value"
"263891","1018","131.110"
"391226","1018","131.240"
"487738","1018","140.760"
"486634","1018","141.040"
"136826","1018","141.320"
"488225","1018","142.110"
"137838","1018","142.890"
"391228","1018","143.330"
"487938","1018","143.750"
"392684","1018","143.980"
"265643","1018","144.820"
"392692","1018","144.880"
"486414","1018","144.910"
"136898","1018","145.070"
"487825","1018","145.480"
"265632","1018","146.190"
"137910","1018","146.660"
"265642","1018","146.950"
"265619","1018","147.580"
"263892","1018","147.800"
"265481","1018","148.430"
"392323","1018","148.530"
"263395","1018","148.800"
"487897","1018","148.820"
"488226","1018","148.990"
"138307","1018","149.010"
"136576","1018","149.140"
"487916","1018","149.420"
"392374","1018","149.530"
"265606","1018","149.790"
"488210","1018","149.790"
"135992","1018","150.110"
"485850","1018","150.400"
"265633","1018","150.780"
"265646","1018","150.810"
"264062","1018","150.840"
"265175","1018","151.040"
"392330","1018","151.390"
"265366","1018","151.420"
"392682","1018","151.540"
"265647","1018","151.610"
"392695","1018","151.770"
"392685","1018","151.790"
"488227","1018","151.870"
"136027","1018","151.970"
"488211","1018","152.000"
"392696","1018","152.070"
"264920","1018","152.190"
"392158","1018","152.250"
"392378","1018","152.360"
"138316","1018","152.370"
"265648","1018","152.380"
"265181","1018","152.550"
"138306","1018","152.590"
"392677","1018","152.610"
"265631","1018","152.660"
"488224","1018","152.820"
"265644","1018","152.880"
"392697","1018","152.930"
"486625","1018","153.010"
"487732","1018","153.010"
"488208","1018","153.030"
"392676","1018","153.050"
"138315","1018","153.060"
"138159","1018","153.110"
"265312","1018","153.190"
"488084","1018","153.190"
"392368","1018","153.200"
"392289","1018","153.350"
"485862","1018","153.400"
"138296","1018","153.490"
"487824","1018","153.750"
"265331","1018","153.800"
"487823","1018","153.840"
"263897","1018","153.900"
"487735","1018","153.950"
"488212","1018","154.040"
"487867","1018","154.130"
"487828","1018","154.180"
"392673","1018","154.190"
"265332","1018","154.220"
"487613","1018","154.340"
"392288","1018","154.380"
"488236","1018","154.380"
"265626","1018","154.440"
"390357","1018","154.490"
"265314","1018","154.580"
"486668","1018","154.630"
"487934","1018","154.630"
"137936","1018","154.660"
"138297","1018","154.660"
"487286","1018","154.780"
"488207","1018","154.810"
"138317","1018","154.880"
"392352","1018","154.970"
"488190","1018","155.020"
"390366","1018","155.080"
"265623","1018","155.080"
"390379","1018","155.250"
"392334","1018","155.320"
"392369","1018","155.330"
"487935","1018","155.340"
"392161","1018","155.350"
"265313","1018","155.360"
"137832","1018","155.380"
"487725","1018","155.450"
"392693","1018","155.520"
"138313","1018","155.550"
"486772","1018","155.590"
"486764","1018","155.600"
"392230","1018","155.600"
"136878","1018","155.710"
"264174","1018","155.730"
"487850","1018","155.780"
"487924","1018","155.790"
"392436","1018","155.920"
"265625","1018","156.000"
"265327","1018","156.080"
"138305","1018","156.120"
"488206","1018","156.200"
"487939","1018","156.210"
"487896","1018","156.220"
"392674","1018","156.270"
"488222","1018","156.290"
"392661","1018","156.300"
"486726","1018","156.460"
"265286","1018","156.560"
"137815","1018","156.640"
"137588","1018","156.670"
"391125","1018","156.720"
"487933","1018","156.780"
"136909","1018","156.850"
"137887","1018","156.890"
"265255","1018","156.890"
"486731","1018","156.900"
"392240","1018","156.950"
"487904","1018","156.980"
"392339","1018","157.010"
"392242","1018","157.020"
"392341","1018","157.040"
"488223","1018","157.040"
"136870","1018","157.130"
"487917","1018","157.130"
"392355","1018","157.170"
"137912","1018","157.200"
"138314","1018","157.200"
"138145","1018","157.290"
"137987","1018","157.330"
"392694","1018","157.350"
"138002","1018","157.410"
"136756","1018","157.430"
"392048","1018","157.450"
"392239","1018","157.510"
"137977","1018","157.510"
"392672","1018","157.530"
"487941","1018","157.540"
"265091","1018","157.590"
"265320","1018","157.610"
"391124","1018","157.630"
"392344","1018","157.630"
"265624","1018","157.630"
"263351","1018","157.690"
"487622","1018","157.730"
"487885","1018","157.830"
"392244","1018","157.910"
"137993","1018","157.910"
"392342","1018","157.940"
"137982","1018","157.960"
"487723","1018","157.980"
"137813","1018","158.040"
"390615","1018","158.060"
"392354","1018","158.140"
"487562","1018","158.190"
"391777","1018","158.220"
"392249","1018","158.240"
"265078","1018","158.250"
"265645","1018","158.270"
"392286","1018","158.290"
"265104","1018","158.300"
"138005","1018","158.300"
"265176","1018","158.360"
"391823","1018","158.390"
"392154","1018","158.480"
"265187","1018","158.630"
"392241","1018","158.640"
"487734","1018","158.650"
"391187","1018","158.680"
"137980","1018","158.690"
"265622","1018","158.730"
"487729","1018","158.780"
"392349","1018","158.830"
"487914","1018","158.850"
"137421","1018","158.870"
"390888","1018","158.890"
"487902","1018","158.920"
"137978","1018","158.920"
"265251","1018","159.010"
"264918","1018","159.050"
"391900","1018","159.070"
"487901","1018","159.090"
"486743","1018","159.120"
"487628","1018","159.120"
