"genesysId","datasetId","value"
"263891","1018","86.82"
"391226","1018","87.18"
"487738","1018","87.34"
"137838","1018","87.49"
"486634","1018","87.78"
"136826","1018","87.80"
"486414","1018","87.95"
"391228","1018","87.95"
"487825","1018","87.96"
"136898","1018","88.09"
"488225","1018","88.13"
"263892","1018","88.18"
"137910","1018","88.18"
"392684","1018","88.20"
"487938","1018","88.21"
"263395","1018","88.27"
"392692","1018","88.28"
"265643","1018","88.30"
"265632","1018","88.32"
"264062","1018","88.33"
"487732","1018","88.33"
"136576","1018","88.34"
"265619","1018","88.39"
"265481","1018","88.40"
"265175","1018","88.43"
"487916","1018","88.46"
"265642","1018","88.46"
"486625","1018","88.47"
"265181","1018","88.48"
"264920","1018","88.50"
"392323","1018","88.51"
"487828","1018","88.52"
"487823","1018","88.53"
"488226","1018","88.53"
"392158","1018","88.54"
"263897","1018","88.55"
"265646","1018","88.55"
"487735","1018","88.56"
"138307","1018","88.56"
"487897","1018","88.58"
"392374","1018","88.59"
"265633","1018","88.60"
"392230","1018","88.62"
"485850","1018","88.63"
"487613","1018","88.63"
"265647","1018","88.63"
"487824","1018","88.64"
"265187","1018","88.65"
"392330","1018","88.65"
"486772","1018","88.66"
"265606","1018","88.66"
"488084","1018","88.67"
"488227","1018","88.67"
"392249","1018","88.68"
"486764","1018","88.69"
"487850","1018","88.69"
"488210","1018","88.69"
"487725","1018","88.70"
"137832","1018","88.70"
"392369","1018","88.70"
"135992","1018","88.71"
"265631","1018","88.71"
"392685","1018","88.71"
"392696","1018","88.71"
"486668","1018","88.72"
"487286","1018","88.72"
"137588","1018","88.72"
"392161","1018","88.72"
"265366","1018","88.73"
"138316","1018","88.73"
"392378","1018","88.74"
"392677","1018","88.74"
"392695","1018","88.74"
"137912","1018","88.75"
"392289","1018","88.75"
"392368","1018","88.75"
"136027","1018","88.76"
"138306","1018","88.77"
"265644","1018","88.77"
"486726","1018","88.78"
"137815","1018","88.78"
"487729","1018","88.78"
"137887","1018","88.78"
"265255","1018","88.78"
"265188","1018","88.79"
"392240","1018","88.79"
"265331","1018","88.79"
"138159","1018","88.79"
"488211","1018","88.79"
"392242","1018","88.80"
"265332","1018","88.80"
"265648","1018","88.80"
"391125","1018","88.81"
"137936","1018","88.81"
"392673","1018","88.81"
"392682","1018","88.81"
"488224","1018","88.81"
"392697","1018","88.81"
"487734","1018","88.82"
"392239","1018","88.82"
"265251","1018","88.82"
"265312","1018","88.82"
"136756","1018","88.83"
"136878","1018","88.83"
"136909","1018","88.83"
"486731","1018","88.83"
"137813","1018","88.83"
"392154","1018","88.83"
"392244","1018","88.83"
"488208","1018","88.83"
"487562","1018","88.84"
"392048","1018","88.84"
"265091","1018","88.84"
"265176","1018","88.84"
"392241","1018","88.84"
"487827","1018","88.84"
"487867","1018","88.84"
"138315","1018","88.84"
"390379","1018","88.85"
"487622","1018","88.85"
"392231","1018","88.85"
"138317","1018","88.85"
"264174","1018","88.87"
"265104","1018","88.87"
"487723","1018","88.87"
"265254","1018","88.87"
"265314","1018","88.87"
"487934","1018","88.87"
"137421","1018","88.88"
"487733","1018","88.88"
"488207","1018","88.88"
"390357","1018","88.89"
"390615","1018","88.89"
"390888","1018","88.89"
"391124","1018","88.89"
"487628","1018","88.89"
"392676","1018","88.89"
"265078","1018","88.90"
"136870","1018","88.91"
"264918","1018","88.91"
"392334","1018","88.91"
"487935","1018","88.91"
"138296","1018","88.91"
"488236","1018","88.91"
"390366","1018","88.92"
"391061","1018","88.92"
"265177","1018","88.92"
"487727","1018","88.92"
