"genesysId","datasetId","value"
"263891","1018","76.67"
"391226","1018","79.53"
"487738","1018","79.93"
"137838","1018","80.96"
"486634","1018","83.77"
"136826","1018","84.48"
"391228","1018","84.58"
"486414","1018","84.92"
"488225","1018","85.54"
"136898","1018","85.55"
"487825","1018","85.69"
"392684","1018","86.36"
"487938","1018","86.63"
"137910","1018","86.71"
"392692","1018","86.96"
"265643","1018","87.06"
"263892","1018","87.07"
"264062","1018","87.09"
"265632","1018","87.31"
"263395","1018","87.33"
"487732","1018","87.61"
"265175","1018","87.71"
"265619","1018","87.96"
"265642","1018","88.05"
"136576","1018","88.06"
"487916","1018","88.13"
"265481","1018","88.17"
"265181","1018","88.30"
"392323","1018","88.43"
"486625","1018","88.57"
"264920","1018","88.64"
"392158","1018","88.73"
"263897","1018","88.84"
"487828","1018","88.90"
"488226","1018","88.99"
"487823","1018","89.02"
"487735","1018","89.08"
"138307","1018","89.13"
"265646","1018","89.17"
"487897","1018","89.33"
"392374","1018","89.54"
"485850","1018","89.55"
"265633","1018","89.58"
"487613","1018","89.62"
"265187","1018","89.64"
"487824","1018","89.70"
"265606","1018","89.70"
"265647","1018","89.72"
"486772","1018","89.83"
"488210","1018","89.92"
"488227","1018","90.01"
"488084","1018","90.05"
"137832","1018","90.07"
"486668","1018","90.08"
"486764","1018","90.09"
"487725","1018","90.10"
"392230","1018","90.11"
"487286","1018","90.18"
"487850","1018","90.24"
"392695","1018","90.25"
"392249","1018","90.30"
"135992","1018","90.32"
"392330","1018","90.34"
"392369","1018","90.37"
"392696","1018","90.40"
"265366","1018","90.47"
"392685","1018","90.47"
"392289","1018","90.49"
"138306","1018","90.49"
"265631","1018","90.49"
"138316","1018","90.49"
"392161","1018","90.50"
"392378","1018","90.58"
"392677","1018","90.66"
"137588","1018","90.67"
"265644","1018","90.69"
"137912","1018","90.70"
"392368","1018","90.71"
"487729","1018","90.73"
"265648","1018","90.77"
"488211","1018","90.79"
"137936","1018","90.82"
"392697","1018","90.82"
"392154","1018","90.87"
"392673","1018","90.87"
"137815","1018","90.89"
"137887","1018","90.89"
"265176","1018","90.92"
"265188","1018","90.95"
"392240","1018","90.95"
"486726","1018","90.98"
"391125","1018","90.99"
