"genesysId","datasetId","value"
"263891","1018","0.28"
"392685","1018","0.30"
"392672","1018","0.31"
"138304","1018","0.31"
"392683","1018","0.31"
"137985","1018","0.33"
"265631","1018","0.33"
"486743","1018","0.34"
"488207","1018","0.34"
"265622","1018","0.34"
"138305","1018","0.34"
"265633","1018","0.34"
"488227","1018","0.34"
"264179","1018","0.35"
"137826","1018","0.35"
"392344","1018","0.35"
"137980","1018","0.35"
"392354","1018","0.35"
"265327","1018","0.35"
"392368","1018","0.35"
"392369","1018","0.35"
"265624","1018","0.35"
"488222","1018","0.35"
"390323","1018","0.36"
"265303","1018","0.36"
"487914","1018","0.36"
"137983","1018","0.36"
"392353","1018","0.36"
"392356","1018","0.36"
"487923","1018","0.36"
"392370","1018","0.36"
"138005","1018","0.36"
"488084","1018","0.36"
"265625","1018","0.36"
"391187","1018","0.37"
"486731","1018","0.37"
"137588","1018","0.37"
"391890","1018","0.37"
"487622","1018","0.37"
"392289","1018","0.37"
"487885","1018","0.37"
"392334","1018","0.37"
"487913","1018","0.37"
"392351","1018","0.37"
"392355","1018","0.37"
"265320","1018","0.37"
"392674","1018","0.37"
"265623","1018","0.37"
"392676","1018","0.37"
"488226","1018","0.37"
"392694","1018","0.37"
"265645","1018","0.37"
"265646","1018","0.37"
"137453","1018","0.38"
"264905","1018","0.38"
"487615","1018","0.38"
"137727","1018","0.38"
"487732","1018","0.38"
"392229","1018","0.38"
"392350","1018","0.38"
"392352","1018","0.38"
"137987","1018","0.38"
"138002","1018","0.38"
"392436","1018","0.38"
"265481","1018","0.38"
"392661","1018","0.38"
"488206","1018","0.38"
"488223","1018","0.38"
"392696","1018","0.38"
"136028","1018","0.39"
"390615","1018","0.39"
"391019","1018","0.39"
"136724","1018","0.39"
"486625","1018","0.39"
"391124","1018","0.39"
"486634","1018","0.39"
"391739","1018","0.39"
"487292","1018","0.39"
"137592","1018","0.39"
"487492","1018","0.39"
"265011","1018","0.39"
"265091","1018","0.39"
"487628","1018","0.39"
"392054","1018","0.39"
"487787","1018","0.39"
"487902","1018","0.39"
"487934","1018","0.39"
"265332","1018","0.39"
"488212","1018","0.39"
"263351","1018","0.40"
"263897","1018","0.40"
"486726","1018","0.40"
"391268","1018","0.40"
"137417","1018","0.40"
"137421","1018","0.40"
"487291","1018","0.40"
"264767","1018","0.40"
"137464","1018","0.40"
"137465","1018","0.40"
"137590","1018","0.40"
"391891","1018","0.40"
"137813","1018","0.40"
"265182","1018","0.40"
"392161","1018","0.40"
"137831","1018","0.40"
"487733","1018","0.40"
"487735","1018","0.40"
"137936","1018","0.40"
"137978","1018","0.40"
"392339","1018","0.40"
"265319","1018","0.40"
"137991","1018","0.40"
"137993","1018","0.40"
"487941","1018","0.40"
"488190","1018","0.40"
"392677","1018","0.40"
"138297","1018","0.40"
"265632","1018","0.40"
"392693","1018","0.40"
"265647","1018","0.40"
"136018","1018","0.41"
"263892","1018","0.41"
"264117","1018","0.41"
"136810","1018","0.41"
"136826","1018","0.41"
"487384","1018","0.41"
"137583","1018","0.41"
"265095","1018","0.41"
"265104","1018","0.41"
"392153","1018","0.41"
"487723","1018","0.41"
"137824","1018","0.41"
"265181","1018","0.41"
"137838","1018","0.41"
"265234","1018","0.41"
"137982","1018","0.41"
"138159","1018","0.41"
"265626","1018","0.41"
"265642","1018","0.41"
"392692","1018","0.41"
"138317","1018","0.41"
"390230","1018","0.42"
"485850","1018","0.42"
"263722","1018","0.42"
"136785","1018","0.42"
"391125","1018","0.42"
"486764","1018","0.42"
"486766","1018","0.42"
"137591","1018","0.42"
"487637","1018","0.42"
"487721","1018","0.42"
"392155","1018","0.42"
"487725","1018","0.42"
"137827","1018","0.42"
"487738","1018","0.42"
"392253","1018","0.42"
"392286","1018","0.42"
"265286","1018","0.42"
"392330","1018","0.42"
"392341","1018","0.42"
"392342","1018","0.42"
"487917","1018","0.42"
"487919","1018","0.42"
"137986","1018","0.42"
"487933","1018","0.42"
"487935","1018","0.42"
"265366","1018","0.42"
"265619","1018","0.42"
"488211","1018","0.42"
"392684","1018","0.42"
"488224","1018","0.42"
"138313","1018","0.42"
"135892","1018","0.43"
"136027","1018","0.43"
"390379","1018","0.43"
"263855","1018","0.43"
"136541","1018","0.43"
"486414","1018","0.43"
"263905","1018","0.43"
"136713","1018","0.43"
"264062","1018","0.43"
"486668","1018","0.43"
"486772","1018","0.43"
"487333","1018","0.43"
"391824","1018","0.43"
"487387","1018","0.43"
"487412","1018","0.43"
"264909","1018","0.43"
"487562","1018","0.43"
"487613","1018","0.43"
"392048","1018","0.43"
"265187","1018","0.43"
"265249","1018","0.43"
"137905","1018","0.43"
"392248","1018","0.43"
"392249","1018","0.43"
"487831","1018","0.43"
"487867","1018","0.43"
"487896","1018","0.43"
"487897","1018","0.43"
"487901","1018","0.43"
"392349","1018","0.43"
"137989","1018","0.43"
"137992","1018","0.43"
"488208","1018","0.43"
"138296","1018","0.43"
"138306","1018","0.43"
"138316","1018","0.43"
"135992","1018","0.44"
"390357","1018","0.44"
"391061","1018","0.44"
"136946","1018","0.44"
"486774","1018","0.44"
"137415","1018","0.44"
"264756","1018","0.44"
"137424","1018","0.44"
"137425","1018","0.44"
"264859","1018","0.44"
"265177","1018","0.44"
"392154","1018","0.44"
"487724","1018","0.44"
"392158","1018","0.44"
"392164","1018","0.44"
"137882","1018","0.44"
"265232","1018","0.44"
"265253","1018","0.44"
"137906","1018","0.44"
"487827","1018","0.44"
"265294","1018","0.44"
"487939","1018","0.44"
"392673","1018","0.44"
"392682","1018","0.44"
"138307","1018","0.44"
"265643","1018","0.44"
"138314","1018","0.44"
"488236","1018","0.44"
"390888","1018","0.45"
"391126","1018","0.45"
"136909","1018","0.45"
"391261","1018","0.45"
"487300","1018","0.45"
"265176","1018","0.45"
"137815","1018","0.45"
"265188","1018","0.45"
"487734","1018","0.45"
"137832","1018","0.45"
"392222","1018","0.45"
"487818","1018","0.45"
"265644","1018","0.45"
"485862","1018","0.46"
"136576","1018","0.46"
"136870","1018","0.46"
"391228","1018","0.46"
"391730","1018","0.46"
"487295","1018","0.46"
"265078","1018","0.46"
"265106","1018","0.46"
"392169","1018","0.46"
"137896","1018","0.46"
"392241","1018","0.46"
"137912","1018","0.46"
"137977","1018","0.46"
"487924","1018","0.46"
"265331","1018","0.46"
"265606","1018","0.46"
"488225","1018","0.46"
"485821","1018","0.47"
"264918","1018","0.47"
"487727","1018","0.47"
"265235","1018","0.47"
"265251","1018","0.47"
"265255","1018","0.47"
"392251","1018","0.47"
"265258","1018","0.47"
"137971","1018","0.47"
"487938","1018","0.47"
"392697","1018","0.47"
"265648","1018","0.47"
"135991","1018","0.48"
"264665","1018","0.48"
"391777","1018","0.48"
"391823","1018","0.48"
"137593","1018","0.48"
"391900","1018","0.48"
"487729","1018","0.48"
"392242","1018","0.48"
"265257","1018","0.48"
"392257","1018","0.48"
"137913","1018","0.48"
"487904","1018","0.48"
"265314","1018","0.48"
"392378","1018","0.48"
"488210","1018","0.48"
"392695","1018","0.48"
"485729","1018","0.49"
"264174","1018","0.49"
"264415","1018","0.49"
"487286","1018","0.49"
"264920","1018","0.49"
"392058","1018","0.49"
"137887","1018","0.49"
"137892","1018","0.49"
"265254","1018","0.49"
"392245","1018","0.49"
"137911","1018","0.49"
"487916","1018","0.49"
"265313","1018","0.49"
"390366","1018","0.50"
"136756","1018","0.50"
"136878","1018","0.50"
"392239","1018","0.50"
"392240","1018","0.50"
"392323","1018","0.50"
"265312","1018","0.50"
"392166","1018","0.51"
"487828","1018","0.51"
"392250","1018","0.51"
"487829","1018","0.51"
"392256","1018","0.51"
"263395","1018","0.52"
"264202","1018","0.52"
