"genesysId","datasetId","value"
"488227","1018","9.65"
"392685","1018","9.65"
"265633","1018","9.71"
"392229","1018","10.09"
"265011","1018","10.10"
"264179","1018","10.14"
"138304","1018","10.15"
"487733","1018","10.26"
"392683","1018","10.28"
"487827","1018","10.29"
"487622","1018","10.32"
"392334","1018","10.37"
"487923","1018","10.43"
"137453","1018","10.44"
"487885","1018","10.48"
"392253","1018","10.53"
"392356","1018","10.54"
"392672","1018","10.55"
"487615","1018","10.56"
"137727","1018","10.57"
"392354","1018","10.59"
"137831","1018","10.66"
"392370","1018","10.67"
"137987","1018","10.70"
"137985","1018","10.74"
"392249","1018","10.81"
"137906","1018","10.83"
"487628","1018","10.88"
"392350","1018","10.89"
"487492","1018","10.90"
"265249","1018","10.92"
"392248","1018","10.94"
"265631","1018","10.97"
"265646","1018","10.97"
"390323","1018","10.98"
"392289","1018","10.98"
"265645","1018","10.98"
"137936","1018","11.00"
"486625","1018","11.01"
"265104","1018","11.02"
"265091","1018","11.09"
"487613","1018","11.13"
"486726","1018","11.15"
"392054","1018","11.15"
"487913","1018","11.15"
"137983","1018","11.18"
"265320","1018","11.19"
"265319","1018","11.20"
"486743","1018","11.26"
"265234","1018","11.26"
"488223","1018","11.26"
"486731","1018","11.28"
"391124","1018","11.29"
"136027","1018","11.32"
"487637","1018","11.33"
"137980","1018","11.34"
"392368","1018","11.38"
"136018","1018","11.42"
"392353","1018","11.42"
"392369","1018","11.42"
"391019","1018","11.47"
"265625","1018","11.50"
"265624","1018","11.53"
"391890","1018","11.55"
"392696","1018","11.55"
"391125","1018","11.56"
"265481","1018","11.56"
"137913","1018","11.57"
"392161","1018","11.60"
"487917","1018","11.60"
"392694","1018","11.65"
"136785","1018","11.66"
"265622","1018","11.66"
"265232","1018","11.67"
"265253","1018","11.70"
"487941","1018","11.70"
"137912","1018","11.74"
"485850","1018","11.75"
"137592","1018","11.75"
"487387","1018","11.76"
"137905","1018","11.76"
"265095","1018","11.78"
"137590","1018","11.81"
"487735","1018","11.81"
"391268","1018","11.82"
"391891","1018","11.83"
"486764","1018","11.86"
"486772","1018","11.86"
"137993","1018","11.89"
"138005","1018","11.89"
"265332","1018","11.93"
"137583","1018","11.94"
"137826","1018","11.94"
"487725","1018","11.96"
"487831","1018","11.96"
"487933","1018","11.96"
"137882","1018","11.98"
"488222","1018","12.00"
"488207","1018","12.01"
"487787","1018","12.02"
"392351","1018","12.02"
"487924","1018","12.02"
"488084","1018","12.03"
"264905","1018","12.04"
"265632","1018","12.04"
"487724","1018","12.07"
"265182","1018","12.10"
"137989","1018","12.10"
"137588","1018","12.11"
"138305","1018","12.11"
"392344","1018","12.12"
"487919","1018","12.14"
"392674","1018","12.16"
"265642","1018","12.16"
"137978","1018","12.17"
"138002","1018","12.20"
"265257","1018","12.21"
"488206","1018","12.24"
"137832","1018","12.25"
"487734","1018","12.27"
"487934","1018","12.28"
"136810","1018","12.30"
"137982","1018","12.30"
"391824","1018","12.31"
"487902","1018","12.31"
"263722","1018","12.32"
"392245","1018","12.34"
"392676","1018","12.34"
"265078","1018","12.35"
"487292","1018","12.36"
"392048","1018","12.36"
"265106","1018","12.36"
"137991","1018","12.38"
"137827","1018","12.40"
"265303","1018","12.43"
"392355","1018","12.44"
"265623","1018","12.46"
"392352","1018","12.48"
"137813","1018","12.52"
"487818","1018","12.53"
"265258","1018","12.53"
"392693","1018","12.54"
"392153","1018","12.55"
"392692","1018","12.55"
"392677","1018","12.57"
"392349","1018","12.58"
"137986","1018","12.59"
"487821","1018","12.60"
"263891","1018","12.62"
"392339","1018","12.63"
"487935","1018","12.65"
"265235","1018","12.66"
"392242","1018","12.66"
"488226","1018","12.66"
"392222","1018","12.67"
"138159","1018","12.68"
"392661","1018","12.69"
"391187","1018","12.71"
"487384","1018","12.72"
"486766","1018","12.73"
"138297","1018","12.73"
"392251","1018","12.75"
"392256","1018","12.77"
"137824","1018","12.78"
"391126","1018","12.80"
"487914","1018","12.80"
"263897","1018","12.81"
"392436","1018","12.82"
"487901","1018","12.84"
"392257","1018","12.86"
"265255","1018","12.87"
"392330","1018","12.88"
"487562","1018","12.89"
"265327","1018","12.89"
"487723","1018","12.92"
"487732","1018","12.92"
"138313","1018","12.92"
"486634","1018","12.93"
"487721","1018","12.93"
"137971","1018","12.93"
"488190","1018","12.93"
"392341","1018","12.94"
"138317","1018","12.94"
"486668","1018","12.95"
"136028","1018","12.96"
"487829","1018","12.96"
"135892","1018","12.99"
"392169","1018","13.00"
"392164","1018","13.01"
"487729","1018","13.02"
"392158","1018","13.04"
"390357","1018","13.06"
"487727","1018","13.06"
"265254","1018","13.06"
"137992","1018","13.06"
"265286","1018","13.08"
"138307","1018","13.08"
"265251","1018","13.12"
"392155","1018","13.15"
"138306","1018","13.18"
"263905","1018","13.19"
"392166","1018","13.19"
"487904","1018","13.21"
"487939","1018","13.22"
"265647","1018","13.22"
"391739","1018","13.23"
"265181","1018","13.23"
"265177","1018","13.26"
"487823","1018","13.26"
"265643","1018","13.26"
"136713","1018","13.27"
"136724","1018","13.27"
"487828","1018","13.27"
"263855","1018","13.28"
"390366","1018","13.29"
"392240","1018","13.30"
"137896","1018","13.33"
"392286","1018","13.34"
"264117","1018","13.37"
"265314","1018","13.37"
"265294","1018","13.38"
"137911","1018","13.41"
"487897","1018","13.44"
"137591","1018","13.49"
"392154","1018","13.49"
"137904","1018","13.49"
"265626","1018","13.51"
"264859","1018","13.52"
"392250","1018","13.52"
"392378","1018","13.52"
"263351","1018","13.53"
"137892","1018","13.53"
"488212","1018","13.56"
"391261","1018","13.57"
"486774","1018","13.61"
"136541","1018","13.62"
"390230","1018","13.63"
"137425","1018","13.63"
"137464","1018","13.63"
"390615","1018","13.64"
