"genesysId","datasetId","value"
"391226","1018","58.03"
"487738","1018","58.30"
"263891","1018","59.02"
"137838","1018","59.41"
"486414","1018","61.92"
"487825","1018","62.06"
"137910","1018","62.63"
"136826","1018","62.84"
"136898","1018","62.84"
"391228","1018","62.90"
"263892","1018","63.93"
"263395","1018","63.97"
"486634","1018","64.34"
"265175","1018","64.48"
"487850","1018","64.58"
"136576","1018","64.64"
"136756","1018","65.03"
"487824","1018","65.37"
"392244","1018","65.82"
"137904","1018","66.49"
"264921","1018","66.70"
"392374","1018","66.87"
"137815","1018","66.97"
"264665","1018","67.00"
"485729","1018","67.01"
"391900","1018","67.01"
"392231","1018","67.08"
"392230","1018","67.14"
"392239","1018","67.14"
"265251","1018","67.20"
"264415","1018","67.21"
"263897","1018","67.22"
"392241","1018","67.24"
"264174","1018","67.31"
"264918","1018","67.37"
"487828","1018","67.46"
"487938","1018","67.51"
"392697","1018","67.52"
"136909","1018","67.61"
"264062","1018","67.66"
"265188","1018","67.69"
"485821","1018","67.72"
"487333","1018","67.80"
"391061","1018","67.86"
"487286","1018","67.86"
"391777","1018","67.86"
"390888","1018","67.87"
"391823","1018","67.87"
"137911","1018","67.89"
"265255","1018","67.90"
"265254","1018","67.95"
"137813","1018","67.96"
"392682","1018","67.96"
"265187","1018","67.97"
"265619","1018","68.00"
"265644","1018","68.03"
"264920","1018","68.05"
"487823","1018","68.05"
"137887","1018","68.06"
"488210","1018","68.06"
"136541","1018","68.08"
"137415","1018","68.10"
"392245","1018","68.12"
"392250","1018","68.12"
"137892","1018","68.14"
"392058","1018","68.19"
"135991","1018","68.20"
"392288","1018","68.22"
"264202","1018","68.23"
"487821","1018","68.24"
"487295","1018","68.26"
"138315","1018","68.28"
"488225","1018","68.31"
"137465","1018","68.33"
"485862","1018","68.35"
"392222","1018","68.35"
"137977","1018","68.36"
"390615","1018","68.39"
"392240","1018","68.43"
"264756","1018","68.44"
"487300","1018","68.50"
"487727","1018","68.52"
"487829","1018","68.52"
"487412","1018","68.53"
"264767","1018","68.58"
"392251","1018","68.59"
"138316","1018","68.59"
"137417","1018","68.60"
"487721","1018","68.62"
"391730","1018","68.66"
"487732","1018","68.68"
"392673","1018","68.68"
"136870","1018","68.69"
"263905","1018","68.74"
"137421","1018","68.75"
"488208","1018","68.75"
"487562","1018","68.76"
"265312","1018","68.76"
"392166","1018","68.77"
"265648","1018","68.79"
"137896","1018","68.82"
"392684","1018","68.82"
"487818","1018","68.84"
"137425","1018","68.87"
"265314","1018","68.87"
"265606","1018","68.87"
"390230","1018","68.88"
"392330","1018","68.88"
"265177","1018","68.89"
"392155","1018","68.91"
"137424","1018","68.92"
"390366","1018","68.94"
"392695","1018","68.94"
"138145","1018","68.95"
"265078","1018","68.96"
"488224","1018","68.97"
"487729","1018","69.02"
"392256","1018","69.04"
"392693","1018","69.06"
"392158","1018","69.11"
"392242","1018","69.13"
"392257","1018","69.14"
"137464","1018","69.15"
"265294","1018","69.15"
"136946","1018","69.16"
"265235","1018","69.21"
"487387","1018","69.23"
"137593","1018","69.25"
"392154","1018","69.27"
"265647","1018","69.27"
"392169","1018","69.28"
"392342","1018","69.29"
"265643","1018","69.29"
"487723","1018","69.30"
"137591","1018","69.31"
"487939","1018","69.34"
"487291","1018","69.38"
"391739","1018","69.38"
"487734","1018","69.39"
"265313","1018","69.39"
"392164","1018","69.41"
"264859","1018","69.44"
"265331","1018","69.44"
"135992","1018","69.46"
"263855","1018","69.46"
"487384","1018","69.51"
"392323","1018","69.53"
"487916","1018","69.54"
"265258","1018","69.55"
"392378","1018","69.55"
"135892","1018","69.57"
"392048","1018","69.57"
"392286","1018","69.58"
"392677","1018","69.59"
"488236","1018","69.60"
"488190","1018","69.63"
"138296","1018","69.63"
"263722","1018","69.67"
"265176","1018","69.67"
"392249","1018","69.78"
"487831","1018","69.80"
"136878","1018","69.82"
"487292","1018","69.82"
"137905","1018","69.82"
"137824","1018","69.84"
"136027","1018","69.85"
"264909","1018","69.85"
"265106","1018","69.85"
"137588","1018","69.88"
"137992","1018","69.88"
"488211","1018","69.88"
"137989","1018","69.89"
"487897","1018","69.91"
"392692","1018","69.93"
"486772","1018","69.94"
"265181","1018","69.94"
"487613","1018","69.95"
"488212","1018","69.95"
"487896","1018","69.97"
"138313","1018","69.97"
"137882","1018","70.00"
"487867","1018","70.03"
"265249","1018","70.04"
"487787","1018","70.05"
"486774","1018","70.08"
"265232","1018","70.08"
"136713","1018","70.09"
"264117","1018","70.12"
"487735","1018","70.12"
"488223","1018","70.12"
"265253","1018","70.14"
"137912","1018","70.14"
"138306","1018","70.14"
"392153","1018","70.16"
"265366","1018","70.16"
"392674","1018","70.17"
"138307","1018","70.19"
"263351","1018","70.20"
"391126","1018","70.22"
"486625","1018","70.23"
"137832","1018","70.24"
"265234","1018","70.24"
"392248","1018","70.24"
"391261","1018","70.26"
"487935","1018","70.29"
"136785","1018","70.30"
"138317","1018","70.31"
"486764","1018","70.32"
"392339","1018","70.33"
"138159","1018","70.35"
"137971","1018","70.36"
"137913","1018","70.37"
"487725","1018","70.39"
"392349","1018","70.40"
"487934","1018","70.41"
"137590","1018","70.42"
"265626","1018","70.44"
"138314","1018","70.44"
"137592","1018","70.45"
"137827","1018","70.46"
"137991","1018","70.46"
"137986","1018","70.48"
"488222","1018","70.48"
"390357","1018","70.49"
"265642","1018","70.54"
"265095","1018","70.59"
"136724","1018","70.60"
"265257","1018","70.61"
"391125","1018","70.62"
"265481","1018","70.63"
"265632","1018","70.63"
"486726","1018","70.64"
"488226","1018","70.64"
"391268","1018","70.65"
"486766","1018","70.68"
"487901","1018","70.68"
"137982","1018","70.69"
"138297","1018","70.69"
"486731","1018","70.71"
"392355","1018","70.72"
"265646","1018","70.72"
"486668","1018","70.74"
"391824","1018","70.77"
"137826","1018","70.79"
"137906","1018","70.79"
"487637","1018","70.86"
"391187","1018","70.87"
"137583","1018","70.89"
"265182","1018","70.90"
"392161","1018","70.90"
"487933","1018","70.93"
"137993","1018","70.94"
"487827","1018","70.95"
"392676","1018","70.97"
"264905","1018","71.02"
"391891","1018","71.02"
"392661","1018","71.04"
"390379","1018","71.06"
"391890","1018","71.06"
"392341","1018","71.08"
"487902","1018","71.09"
"265623","1018","71.09"
"265091","1018","71.10"
"392344","1018","71.12"
"136810","1018","71.14"
"390323","1018","71.15"
"265332","1018","71.15"
"392054","1018","71.16"
"392253","1018","71.17"
"265327","1018","71.17"
"137987","1018","71.19"
"487724","1018","71.23"
"392352","1018","71.24"
"487919","1018","71.26"
"391124","1018","71.27"
"265104","1018","71.29"
"485850","1018","71.32"
"392694","1018","71.34"
"488206","1018","71.35"
"488207","1018","71.36"
"487628","1018","71.39"
"486743","1018","71.40"
"265303","1018","71.40"
"392351","1018","71.43"
"137727","1018","71.44"
"487904","1018","71.44"
"137978","1018","71.49"
"137831","1018","71.51"
"265625","1018","71.55"
"392368","1018","71.58"
"391019","1018","71.59"
"136028","1018","71.60"
"487924","1018","71.64"
"392289","1018","71.67"
"265622","1018","71.70"
"138002","1018","71.71"
"138305","1018","71.78"
"487941","1018","71.80"
"392229","1018","71.81"
"265320","1018","71.81"
"487917","1018","71.83"
"265631","1018","71.84"
"487733","1018","71.87"
"392436","1018","71.87"
"392696","1018","71.90"
