"genesysId","datasetId","value"
"263891","1018","71.68"
"391226","1018","73.73"
"487738","1018","74.16"
"137838","1018","74.93"
"486634","1018","76.80"
"136826","1018","77.24"
"391228","1018","77.43"
"486414","1018","77.68"
"488225","1018","78.10"
"136898","1018","78.12"
"487825","1018","78.23"
"392684","1018","78.73"
"487938","1018","78.93"
"137910","1018","79.02"
"392692","1018","79.12"
"265643","1018","79.20"
"264062","1018","79.21"
"263892","1018","79.22"
"263395","1018","79.40"
"265632","1018","79.40"
"487732","1018","79.65"
"265175","1018","79.80"
"265619","1018","79.86"
"136576","1018","79.94"
"265481","1018","79.95"
"265642","1018","79.95"
"487916","1018","80.01"
"265181","1018","80.12"
"392323","1018","80.15"
"486625","1018","80.30"
"264920","1018","80.38"
"392158","1018","80.43"
"263897","1018","80.50"
"487828","1018","80.62"
"487823","1018","80.70"
"488226","1018","80.71"
"487735","1018","80.75"
"265646","1018","80.75"
"138307","1018","80.80"
"487897","1018","80.92"
"392374","1018","81.03"
"485850","1018","81.08"
"265633","1018","81.08"
"487613","1018","81.14"
"265606","1018","81.17"
"265647","1018","81.18"
"487824","1018","81.19"
"265187","1018","81.20"
"486772","1018","81.28"
"488210","1018","81.28"
"488084","1018","81.38"
"488227","1018","81.41"
"486764","1018","81.44"
"487725","1018","81.45"
"137832","1018","81.46"
"486668","1018","81.48"
"392230","1018","81.53"
"487850","1018","81.55"
"487286","1018","81.56"
"135992","1018","81.60"
"392695","1018","81.60"
"392249","1018","81.64"
"392369","1018","81.66"
"392330","1018","81.70"
"138316","1018","81.71"
"265366","1018","81.72"
"392289","1018","81.75"
"392685","1018","81.75"
"392378","1018","81.76"
"265631","1018","81.76"
"392696","1018","81.76"
"392161","1018","81.79"
"138306","1018","81.80"
"392677","1018","81.83"
"137588","1018","81.89"
"137912","1018","81.90"
"265644","1018","81.94"
"392368","1018","81.95"
"487729","1018","81.97"
"265648","1018","81.97"
"392697","1018","81.98"
"488211","1018","81.99"
"137936","1018","82.00"
"137887","1018","82.03"
"486726","1018","82.04"
"137815","1018","82.04"
"392673","1018","82.08"
"392154","1018","82.09"
"265188","1018","82.11"
"392240","1018","82.11"
"265331","1018","82.11"
"138159","1018","82.11"
"265176","1018","82.13"
"391125","1018","82.14"
"136878","1018","82.15"
"487562","1018","82.17"
"136027","1018","82.18"
"138315","1018","82.18"
"488224","1018","82.20"
"487622","1018","82.21"
"265091","1018","82.21"
"136909","1018","82.23"
"265312","1018","82.23"
"488208","1018","82.24"
"265255","1018","82.28"
"136756","1018","82.31"
"265332","1018","82.33"
"487867","1018","82.34"
"392682","1018","82.34"
"487734","1018","82.36"
"392242","1018","82.37"
"138317","1018","82.38"
"390379","1018","82.41"
"487827","1018","82.41"
"392048","1018","82.42"
"486731","1018","82.46"
"265104","1018","82.46"
"137813","1018","82.50"
"264918","1018","82.52"
"264174","1018","82.53"
"265251","1018","82.54"
"391124","1018","82.55"
"392231","1018","82.55"
"487723","1018","82.58"
"487628","1018","82.59"
"265254","1018","82.59"
"392244","1018","82.59"
"390615","1018","82.61"
"392241","1018","82.61"
"487733","1018","82.62"
"265314","1018","82.63"
"488207","1018","82.64"
"487934","1018","82.65"
"136870","1018","82.69"
"265177","1018","82.69"
"390357","1018","82.71"
"138296","1018","82.75"
"488236","1018","82.75"
"392676","1018","82.76"
"390888","1018","82.78"
"135892","1018","82.79"
"265078","1018","82.81"
"392239","1018","82.81"
"137421","1018","82.83"
"392334","1018","82.84"
"390366","1018","82.87"
"487727","1018","82.89"
"137727","1018","82.92"
"391061","1018","82.94"
"392054","1018","82.95"
"391777","1018","82.96"
"392288","1018","82.97"
"136785","1018","82.98"
"486743","1018","82.98"
"487935","1018","82.98"
"488212","1018","82.99"
"138313","1018","83.00"
"391187","1018","83.01"
"265626","1018","83.01"
"392352","1018","83.02"
"487924","1018","83.02"
"487896","1018","83.04"
"138002","1018","83.04"
"391900","1018","83.05"
"487933","1018","83.06"
"488190","1018","83.06"
"137591","1018","83.07"
"392222","1018","83.09"
"137987","1018","83.11"
"138297","1018","83.11"
"487615","1018","83.12"
"265623","1018","83.12"
"137911","1018","83.14"
"135991","1018","83.16"
"392674","1018","83.16"
"392436","1018","83.17"
"138145","1018","83.17"
"265286","1018","83.18"
"488206","1018","83.18"
"264117","1018","83.20"
"264202","1018","83.23"
"488223","1018","83.23"
"265234","1018","83.24"
"392693","1018","83.24"
"264921","1018","83.26"
"137453","1018","83.27"
"392342","1018","83.28"
"485862","1018","83.29"
"487300","1018","83.29"
"487917","1018","83.30"
"392661","1018","83.30"
"137904","1018","83.31"
"265327","1018","83.31"
"487787","1018","83.32"
"392229","1018","83.32"
"488222","1018","83.33"
"136541","1018","83.34"
"392344","1018","83.35"
"137465","1018","83.36"
"392169","1018","83.36"
"137415","1018","83.37"
"264415","1018","83.38"
"137417","1018","83.38"
"265253","1018","83.38"
"487939","1018","83.38"
"487384","1018","83.40"
"137892","1018","83.42"
"487885","1018","83.42"
"137882","1018","83.44"
"265622","1018","83.44"
"391019","1018","83.50"
"391739","1018","83.50"
"487333","1018","83.50"
"137464","1018","83.50"
"392355","1018","83.50"
"392058","1018","83.54"
"392339","1018","83.54"
"391126","1018","83.55"
"392153","1018","83.55"
"263855","1018","83.56"
"264767","1018","83.57"
"392694","1018","83.58"
"391730","1018","83.59"
"137977","1018","83.61"
"138005","1018","83.61"
"391823","1018","83.63"
"487941","1018","83.63"
"264665","1018","83.64"
"485729","1018","83.65"
"486774","1018","83.65"
"392341","1018","83.65"
"391268","1018","83.67"
"265313","1018","83.67"
"487291","1018","83.68"
"265095","1018","83.69"
"487412","1018","83.72"
"138314","1018","83.72"
"264756","1018","83.73"
"137980","1018","83.75"
"392155","1018","83.76"
"136946","1018","83.78"
"264859","1018","83.79"
"264909","1018","83.81"
"263722","1018","83.82"
"487292","1018","83.82"
"138305","1018","83.82"
"392672","1018","83.84"
"136713","1018","83.85"
"137982","1018","83.86"
"392250","1018","83.89"
"265235","1018","83.90"
"263351","1018","83.92"
"265625","1018","83.92"
"487902","1018","83.94"
"137993","1018","83.94"
"137824","1018","83.96"
"137827","1018","83.99"
"137905","1018","83.99"
"265232","1018","84.00"
"265249","1018","84.00"
"487904","1018","84.00"
"265320","1018","84.00"
"265624","1018","84.00"
"392245","1018","84.01"
"487295","1018","84.02"
"392166","1018","84.04"
"487923","1018","84.04"
"137424","1018","84.05"
"265303","1018","84.07"
"392251","1018","84.08"
"137896","1018","84.09"
"137590","1018","84.10"
"392354","1018","84.10"
"136028","1018","84.12"
"487637","1018","84.12"
"392164","1018","84.13"
"392253","1018","84.16"
"487821","1018","84.17"
"137978","1018","84.17"
"263905","1018","84.21"
"265645","1018","84.23"
"136724","1018","84.24"
"487829","1018","84.25"
"392286","1018","84.26"
"391261","1018","84.27"
"487914","1018","84.27"
"486766","1018","84.28"
"487721","1018","84.30"
"487818","1018","84.32"
"391891","1018","84.36"
"390323","1018","84.40"
"392248","1018","84.40"
"137583","1018","84.41"
"137425","1018","84.46"
"392349","1018","84.46"
"392356","1018","84.47"
"392370","1018","84.53"
"487492","1018","84.54"
"392257","1018","84.56"
"392683","1018","84.57"
"265294","1018","84.58"
"138304","1018","84.59"
"487901","1018","84.62"
"137992","1018","84.63"
"137592","1018","84.65"
"137906","1018","84.66"
"390230","1018","84.69"
"136810","1018","84.70"
"392256","1018","84.70"
"136018","1018","84.80"
"391824","1018","84.84"
"137989","1018","84.85"
"137986","1018","84.91"
"265258","1018","84.96"
"137826","1018","84.98"
"487919","1018","85.01"
"137593","1018","85.03"
"265011","1018","85.03"
"392353","1018","85.03"
"487724","1018","85.08"
"137971","1018","85.08"
"264179","1018","85.10"
"265182","1018","85.13"
"487831","1018","85.13"
"391890","1018","85.28"
"265106","1018","85.35"
"487913","1018","85.38"
"487387","1018","85.45"
"264905","1018","85.49"
"265319","1018","85.50"
"137913","1018","85.52"
"137991","1018","85.52"
"265257","1018","85.58"
"137983","1018","85.82"
"392351","1018","85.99"
"485821","1018","86.23"
"137831","1018","86.24"
"392350","1018","86.30"
"137985","1018","86.45"
"152639","1018","72.16"
"152642","1018","73.74"
"25996","1018","75.64"
"407223","1018","76.08"
"406870","1018","76.29"
"279890","1018","76.56"
"407057","1018","77.17"
"281640","1018","77.50"
"408059","1018","77.65"
"281620","1018","77.76"
"280239","1018","77.97"
"281073","1018","78.07"
"406349","1018","78.50"
"26479","1018","78.64"
"408673","1018","78.68"
"152951","1018","78.77"
"24870","1018","78.79"
"152810","1018","78.87"
"24769","1018","78.89"
"408636","1018","78.99"
"281630","1018","78.99"
"152079","1018","79.15"
"279902","1018","79.23"
"26147","1018","79.68"
"26121","1018","79.71"
"408656","1018","79.73"
"24740","1018","79.80"
"279324","1018","79.89"
"25653","1018","79.90"
"152853","1018","79.93"
"25087","1018","79.93"
"281623","1018","79.93"
"24169","1018","79.99"
"24930","1018","80.07"
"154307","1018","80.07"
"153522","1018","80.09"
"25975","1018","80.10"
"26456","1018","80.11"
"408664","1018","80.14"
"25901","1018","80.18"
"26481","1018","80.21"
"408654","1018","80.23"
"281279","1018","80.28"
"154305","1018","80.39"
"26109","1018","80.40"
"26482","1018","80.49"
"152123","1018","80.54"
"152270","1018","80.54"
"279357","1018","80.64"
"24741","1018","80.64"
"25403","1018","80.67"
"26150","1018","80.72"
"408668","1018","80.73"
"153177","1018","80.77"
"407899","1018","80.77"
"408657","1018","80.80"
"279330","1018","80.83"
"152814","1018","80.85"
"279599","1018","80.87"
"280110","1018","80.91"
"24968","1018","80.95"
"25624","1018","80.95"
"408667","1018","80.96"
"152846","1018","80.97"
"153983","1018","80.98"
"408675","1018","81.02"
"280233","1018","81.06"
"26487","1018","81.10"
"407224","1018","81.12"
"408666","1018","81.12"
"408233","1018","81.19"
"408476","1018","81.20"
"153989","1018","81.21"
"408150","1018","81.22"
"26486","1018","81.22"
"154171","1018","81.24"
"280232","1018","81.30"
"408178","1018","81.32"
"408655","1018","81.33"
"154316","1018","81.33"
