"genesysId","datasetId","value"
"263308","1038","Resistant"
"263309","1038","Resistant"
"135992","1038","Resistant"
"263310","1038","Resistant"
"485824","1038","Resistant"
"485825","1038","Resistant"
"485826","1038","Resistant"
"263311","1038","Resistant"
"485827","1038","Resistant"
"485828","1038","Resistant"
"135993","1038","Resistant"
"263312","1038","Resistant"
"485829","1038","Resistant"
"263314","1038","Resistant"
"390324","1038","Resistant"
"390325","1038","Resistant"
"135994","1038","Resistant"
"263315","1038","Resistant"
"390326","1038","Resistant"
"135995","1038","Resistant"
"263316","1038","Resistant"
"485830","1038","Resistant"
"263317","1038","Resistant"
"135996","1038","Resistant"
"263318","1038","Resistant"
"485831","1038","Resistant"
"485832","1038","Resistant"
"485833","1038","Resistant"
"263319","1038","Resistant"
"263320","1038","Resistant"
"390328","1038","Resistant"
"135998","1038","Resistant"
"485834","1038","Resistant"
"390329","1038","Resistant"
"390330","1038","Resistant"
"390331","1038","Resistant"
"135999","1038","Resistant"
"390332","1038","Resistant"
"263321","1038","Resistant"
"390333","1038","Resistant"
"390334","1038","Resistant"
"136000","1038","Resistant"
"390335","1038","Resistant"
"136001","1038","Resistant"
"263322","1038","Resistant"
"136002","1038","Resistant"
"263323","1038","Resistant"
"263324","1038","Resistant"
"390336","1038","Resistant"
"485837","1038","Resistant"
"390337","1038","Resistant"
"136004","1038","Resistant"
"263325","1038","Resistant"
"136005","1038","Resistant"
"390339","1038","Resistant"
"390340","1038","Resistant"
"136006","1038","Resistant"
"390341","1038","Resistant"
"136008","1038","Resistant"
"263326","1038","Resistant"
"485838","1038","Resistant"
"136009","1038","Resistant"
"263327","1038","Resistant"
"263328","1038","Resistant"
"390342","1038","Resistant"
"263329","1038","Resistant"
"390343","1038","Resistant"
"136011","1038","Resistant"
"390344","1038","Resistant"
"263330","1038","Resistant"
"390345","1038","Resistant"
"136012","1038","Resistant"
"485839","1038","Resistant"
"136013","1038","Resistant"
"485840","1038","Resistant"
"263331","1038","Resistant"
"390347","1038","Resistant"
"485841","1038","Resistant"
"263332","1038","Resistant"
"485842","1038","Resistant"
"263333","1038","Resistant"
"485843","1038","Resistant"
"390349","1038","Resistant"
"390350","1038","Resistant"
"263334","1038","Resistant"
"136015","1038","Resistant"
"263335","1038","Resistant"
