"genesysId","datasetId","value"
"263308","1038","0"
"263310","1038","0"
"485824","1038","0"
"263311","1038","0"
"485827","1038","0"
"485828","1038","0"
"135993","1038","0"
"263312","1038","0"
"263314","1038","0"
"390324","1038","0"
"390325","1038","0"
"263315","1038","0"
"390326","1038","0"
"135995","1038","0"
"263316","1038","0"
"485830","1038","0"
"263317","1038","0"
"135996","1038","0"
"263318","1038","0"
"485831","1038","0"
"485832","1038","0"
"390328","1038","0"
"135998","1038","0"
"390329","1038","0"
"390331","1038","0"
"135999","1038","0"
"390332","1038","0"
"390333","1038","0"
"390334","1038","0"
"136000","1038","0"
"136002","1038","0"
"263324","1038","0"
"485837","1038","0"
"485838","1038","0"
"263327","1038","0"
"263328","1038","0"
"390342","1038","0"
"263329","1038","0"
"390343","1038","0"
"136011","1038","0"
"390344","1038","0"
"136013","1038","0"
"485840","1038","0"
"390347","1038","0"
"485841","1038","0"
"263332","1038","0"
"390351","1038","0"
"485844","1038","0"
"390357","1038","0"
"390358","1038","0"
"136018","1038","0"
"485850","1038","0"
"485851","1038","0"
"136019","1038","0"
"390359","1038","0"
"485852","1038","0"
"263342","1038","0"
"263343","1038","0"
"390363","1038","0"
"390364","1038","0"
"485855","1038","0"
"390366","1038","0"
"390369","1038","0"
"263346","1038","0"
"390370","1038","0"
"263347","1038","0"
"390371","1038","0"
"263349","1038","0"
"485859","1038","0"
"485860","1038","0"
"485862","1038","0"
"136027","1038","0"
"390375","1038","0"
"136028","1038","0"
"485863","1038","0"
"263351","1038","0"
"263352","1038","0"
"390378","1038","0"
"390379","1038","0"
"485825","1038","1"
"135994","1038","1"
"485834","1038","1"
"263321","1038","1"
"390335","1038","1"
"136001","1038","1"
"263322","1038","1"
"263323","1038","1"
"136004","1038","1"
"263325","1038","1"
"136005","1038","1"
"390339","1038","1"
"390340","1038","1"
"136006","1038","1"
"390341","1038","1"
"263326","1038","1"
"136009","1038","1"
"485843","1038","1"
"390350","1038","1"
"136015","1038","1"
"263335","1038","1"
"136016","1038","1"
"263337","1038","1"
"263338","1038","1"
"263339","1038","1"
"390353","1038","1"
"390354","1038","1"
"485848","1038","1"
"136020","1038","1"
"263344","1038","1"
"485854","1038","1"
"390365","1038","1"
"390367","1038","1"
"390368","1038","1"
"136022","1038","1"
"485857","1038","1"
"390372","1038","1"
"263348","1038","1"
"485858","1038","1"
"136023","1038","1"
"390373","1038","1"
"390376","1038","1"
"390377","1038","1"
"263353","1038","1"
"263309","1038","2"
"135992","1038","2"
"485826","1038","2"
"485829","1038","2"
"485833","1038","2"
"263319","1038","2"
"263320","1038","2"
"390330","1038","2"
"390336","1038","2"
"390337","1038","2"
"136008","1038","2"
"263330","1038","2"
"390345","1038","2"
"136012","1038","2"
"485839","1038","2"
"263331","1038","2"
"485842","1038","2"
"263333","1038","2"
"390349","1038","2"
"263334","1038","2"
"136017","1038","2"
"390352","1038","2"
"263336","1038","2"
"485846","1038","2"
"390355","1038","2"
"263340","1038","2"
