"genesysId","datasetId","value"
"263308","1038","Erect"
"263309","1038","Erect"
"135992","1038","Erect"
"263310","1038","Erect"
"485824","1038","Erect"
"263311","1038","Erect"
"485827","1038","Erect"
"485828","1038","Erect"
"263312","1038","Erect"
"485829","1038","Erect"
"263314","1038","Erect"
"390325","1038","Erect"
"263315","1038","Erect"
"390326","1038","Erect"
"135995","1038","Erect"
"263316","1038","Erect"
"263317","1038","Erect"
"263320","1038","Erect"
"390328","1038","Erect"
"135998","1038","Erect"
"485834","1038","Erect"
"390329","1038","Erect"
"390331","1038","Erect"
"135999","1038","Erect"
"390332","1038","Erect"
"263321","1038","Erect"
"390333","1038","Erect"
"390334","1038","Erect"
"136000","1038","Erect"
"390335","1038","Erect"
"263322","1038","Erect"
"263324","1038","Erect"
"485837","1038","Erect"
"390345","1038","Erect"
"136012","1038","Erect"
"485839","1038","Erect"
"136013","1038","Erect"
"485840","1038","Erect"
"390347","1038","Erect"
"485842","1038","Erect"
"263333","1038","Erect"
"485846","1038","Erect"
"390354","1038","Erect"
"390355","1038","Erect"
"485848","1038","Erect"
"390357","1038","Erect"
"390358","1038","Erect"
"136018","1038","Erect"
"485850","1038","Erect"
"485851","1038","Erect"
"263340","1038","Erect"
"390359","1038","Erect"
"136020","1038","Erect"
"485852","1038","Erect"
"263342","1038","Erect"
"263343","1038","Erect"
"390364","1038","Erect"
"263344","1038","Erect"
"485854","1038","Erect"
"390366","1038","Erect"
"263346","1038","Erect"
"390371","1038","Erect"
"263348","1038","Erect"
"136023","1038","Erect"
"485860","1038","Erect"
"390373","1038","Erect"
"485862","1038","Erect"
"136027","1038","Erect"
"390375","1038","Erect"
"390376","1038","Erect"
"136028","1038","Erect"
"390377","1038","Erect"
"485863","1038","Erect"
"263351","1038","Erect"
"263352","1038","Erect"
"263353","1038","Erect"
"390378","1038","Erect"
"390379","1038","Erect"
"485825","1038","Drooping"
"485826","1038","Drooping"
"135993","1038","Drooping"
"390324","1038","Drooping"
"135994","1038","Drooping"
"485830","1038","Drooping"
"135996","1038","Drooping"
"263318","1038","Drooping"
"485831","1038","Drooping"
"485832","1038","Drooping"
"485833","1038","Drooping"
"263319","1038","Drooping"
"390330","1038","Drooping"
"136001","1038","Drooping"
"136002","1038","Drooping"
"263323","1038","Drooping"
"390336","1038","Drooping"
