"genesysId","instCode","acceNumb","genus"
"8327","USA016","PI 585334","Sorghum"
"8328","USA016","PI 585367","Sorghum"
"8329","USA016","PI 585402","Sorghum"
"8331","USA016","PI 585538","Sorghum"
"8332","USA016","PI 585547","Sorghum"
"8333","USA016","PI 585596","Sorghum"
"8334","USA016","PI 585620","Sorghum"
"8335","USA016","PI 585660","Sorghum"
"8336","USA016","PI 585744","Sorghum"
"8338","USA016","PI 585809","Sorghum"
"8339","USA016","PI 585819","Sorghum"
"8340","USA016","PI 585827","Sorghum"
"8341","USA016","PI 585996","Sorghum"
"8342","USA016","PI 585998","Sorghum"
"8343","USA016","PI 586018","Sorghum"
"8344","USA016","PI 586026","Sorghum"
"8345","USA016","PI 586040","Sorghum"
"8347","USA016","PI 586056","Sorghum"
"8348","USA016","PI 586087","Sorghum"
"8349","USA016","PI 586101","Sorghum"
"8350","USA016","PI 586126","Sorghum"
"8351","USA016","PI 586163","Sorghum"
"8352","USA016","PI 586187","Sorghum"
"8353","USA016","PI 586216","Sorghum"
"8354","USA016","PI 586354","Sorghum"
"8355","USA016","PI 586400","Sorghum"
"8356","USA016","PI 586433","Sorghum"
"8357","USA016","PI 586528","Sorghum"
"24169","USA016","PI 585315","Sorghum"
"24170","USA016","PI 585332","Sorghum"
"24172","USA016","PI 585363","Sorghum"
"24174","USA016","PI 585424","Sorghum"
"24175","USA016","PI 585535","Sorghum"
"24176","USA016","PI 585551","Sorghum"
"24177","USA016","PI 585577","Sorghum"
"24178","USA016","PI 585607","Sorghum"
"24179","USA016","PI 585643","Sorghum"
"24180","USA016","PI 585659","Sorghum"
"24181","USA016","PI 585663","Sorghum"
"24182","USA016","PI 585689","Sorghum"
"24183","USA016","PI 585760","Sorghum"
"24185","USA016","PI 585783","Sorghum"
"24186","USA016","PI 585889","Sorghum"
"24187","USA016","PI 585902","Sorghum"
"24188","USA016","PI 585909","Sorghum"
"24189","USA016","PI 585939","Sorghum"
"24190","USA016","PI 585957","Sorghum"
"24191","USA016","PI 585990","Sorghum"
"24192","USA016","PI 586027","Sorghum"
"24193","USA016","PI 586060","Sorghum"
"24196","USA016","PI 586131","Sorghum"
"24198","USA016","PI 586236","Sorghum"
"24200","USA016","PI 586262","Sorghum"
"24201","USA016","PI 586289","Sorghum"
"24202","USA016","PI 586347","Sorghum"
"24203","USA016","PI 586378","Sorghum"
"24204","USA016","PI 586399","Sorghum"
"24205","USA016","PI 586458","Sorghum"
"24206","USA016","PI 586508","Sorghum"
"40251","USA016","PI 585417","Sorghum"
"40252","USA016","PI 585453","Sorghum"
"40253","USA016","PI 585455","Sorghum"
"40254","USA016","PI 585464","Sorghum"
"40255","USA016","PI 585473","Sorghum"
"40256","USA016","PI 585515","Sorghum"
"40257","USA016","PI 585522","Sorghum"
"40259","USA016","PI 585579","Sorghum"
"40260","USA016","PI 585605","Sorghum"
"40261","USA016","PI 585675","Sorghum"
"40262","USA016","PI 585684","Sorghum"
"40264","USA016","PI 585697","Sorghum"
"40265","USA016","PI 585738","Sorghum"
"40266","USA016","PI 585758","Sorghum"
