"genesysId","datasetId","value"
"485830","1038","Completely corneous"
"263325","1038","Completely corneous"
"390341","1038","Completely corneous"
"263328","1038","Completely corneous"
"390343","1038","Completely corneous"
"136024","1038","Completely corneous"
"136025","1038","Completely corneous"
"485861","1038","Completely corneous"
"263350","1038","Completely corneous"
"390374","1038","Completely corneous"
"136026","1038","Completely corneous"
"390379","1038","Completely corneous"
"135996","1038","Almost corneous"
"263318","1038","Almost corneous"
"136002","1038","Almost corneous"
"390336","1038","Almost corneous"
"136004","1038","Almost corneous"
"390339","1038","Almost corneous"
"390340","1038","Almost corneous"
"136006","1038","Almost corneous"
"263326","1038","Almost corneous"
"485838","1038","Almost corneous"
"136009","1038","Almost corneous"
"263327","1038","Almost corneous"
"390342","1038","Almost corneous"
"263329","1038","Almost corneous"
"136011","1038","Almost corneous"
"390345","1038","Almost corneous"
"263336","1038","Almost corneous"
"263338","1038","Almost corneous"
"263339","1038","Almost corneous"
"263347","1038","Almost corneous"
"263308","1038","Partly corneous"
"263309","1038","Partly corneous"
"135992","1038","Partly corneous"
"263310","1038","Partly corneous"
"485824","1038","Partly corneous"
"485825","1038","Partly corneous"
"485826","1038","Partly corneous"
"263311","1038","Partly corneous"
"485827","1038","Partly corneous"
"485828","1038","Partly corneous"
"135993","1038","Partly corneous"
"263312","1038","Partly corneous"
"485829","1038","Partly corneous"
"263314","1038","Partly corneous"
"390324","1038","Partly corneous"
"390325","1038","Partly corneous"
"135994","1038","Partly corneous"
"263315","1038","Partly corneous"
"135995","1038","Partly corneous"
"263316","1038","Partly corneous"
"485831","1038","Partly corneous"
"485832","1038","Partly corneous"
"485833","1038","Partly corneous"
"263319","1038","Partly corneous"
"390328","1038","Partly corneous"
"135998","1038","Partly corneous"
"390329","1038","Partly corneous"
"390330","1038","Partly corneous"
"390335","1038","Partly corneous"
"136001","1038","Partly corneous"
"263322","1038","Partly corneous"
"263323","1038","Partly corneous"
"263324","1038","Partly corneous"
"485837","1038","Partly corneous"
"390337","1038","Partly corneous"
"136005","1038","Partly corneous"
"136008","1038","Partly corneous"
"390344","1038","Partly corneous"
"263330","1038","Partly corneous"
"136012","1038","Partly corneous"
"485839","1038","Partly corneous"
"136013","1038","Partly corneous"
"485840","1038","Partly corneous"
"263331","1038","Partly corneous"
"390347","1038","Partly corneous"
"485841","1038","Partly corneous"
"263332","1038","Partly corneous"
"485842","1038","Partly corneous"
"263333","1038","Partly corneous"
"485843","1038","Partly corneous"
"390349","1038","Partly corneous"
"390350","1038","Partly corneous"
"263334","1038","Partly corneous"
"136015","1038","Partly corneous"
"263335","1038","Partly corneous"
"136016","1038","Partly corneous"
"136017","1038","Partly corneous"
"390351","1038","Partly corneous"
"485844","1038","Partly corneous"
"390352","1038","Partly corneous"
"485846","1038","Partly corneous"
"263337","1038","Partly corneous"
"390353","1038","Partly corneous"
"390354","1038","Partly corneous"
"390355","1038","Partly corneous"
"485848","1038","Partly corneous"
"390357","1038","Partly corneous"
"390358","1038","Partly corneous"
"136018","1038","Partly corneous"
"485850","1038","Partly corneous"
"485851","1038","Partly corneous"
"136019","1038","Partly corneous"
"263340","1038","Partly corneous"
"390359","1038","Partly corneous"
"390361","1038","Partly corneous"
"390363","1038","Partly corneous"
"263344","1038","Partly corneous"
"390365","1038","Partly corneous"
"485855","1038","Partly corneous"
"390366","1038","Partly corneous"
"390367","1038","Partly corneous"
"390368","1038","Partly corneous"
"390369","1038","Partly corneous"
"136021","1038","Partly corneous"
"390370","1038","Partly corneous"
"136022","1038","Partly corneous"
"485857","1038","Partly corneous"
"390372","1038","Partly corneous"
"263349","1038","Partly corneous"
"485858","1038","Partly corneous"
"136023","1038","Partly corneous"
"485859","1038","Partly corneous"
"485862","1038","Partly corneous"
"136027","1038","Partly corneous"
"390375","1038","Partly corneous"
"390376","1038","Partly corneous"
"136028","1038","Partly corneous"
"390377","1038","Partly corneous"
"485863","1038","Partly corneous"
"263351","1038","Partly corneous"
"263352","1038","Partly corneous"
"263353","1038","Partly corneous"
"390378","1038","Partly corneous"
"390326","1038","Almost starchy"
"390331","1038","Almost starchy"
"390360","1038","Almost starchy"
"136020","1038","Almost starchy"
"485852","1038","Almost starchy"
"263343","1038","Almost starchy"
"263346","1038","Almost starchy"
"263348","1038","Almost starchy"
"485860","1038","Almost starchy"
"263317","1038","Completely starchy"
"263320","1038","Completely starchy"
"485834","1038","Completely starchy"
"135999","1038","Completely starchy"
"390332","1038","Completely starchy"
"263321","1038","Completely starchy"
"390333","1038","Completely starchy"
"390334","1038","Completely starchy"
"136000","1038","Completely starchy"
"263342","1038","Completely starchy"
"390364","1038","Completely starchy"
"485854","1038","Completely starchy"
"390371","1038","Completely starchy"
"390373","1038","Completely starchy"
"152083","1038","Completely corneous"
"152089","1038","Completely corneous"
"152091","1038","Completely corneous"
"24183","1038","Completely corneous"
"279341","1038","Completely corneous"
"24185","1038","Completely corneous"
"24190","1038","Completely corneous"
"406306","1038","Completely corneous"
"152104","1038","Completely corneous"
"24191","1038","Completely corneous"
"279352","1038","Completely corneous"
"279371","1038","Completely corneous"
"152121","1038","Completely corneous"
"152122","1038","Completely corneous"
"279377","1038","Completely corneous"
"152084","1038","Almost corneous"
"24182","1038","Almost corneous"
"152092","1038","Almost corneous"
"152093","1038","Almost corneous"
"152098","1038","Almost corneous"
"279348","1038","Almost corneous"
"24189","1038","Almost corneous"
"406308","1038","Almost corneous"
"279351","1038","Almost corneous"
"152105","1038","Almost corneous"
"152117","1038","Almost corneous"
"152125","1038","Almost corneous"
"152077","1038","Partly corneous"
"279323","1038","Partly corneous"
"152078","1038","Partly corneous"
"152079","1038","Partly corneous"
"24169","1038","Partly corneous"
"152080","1038","Partly corneous"
"279324","1038","Partly corneous"
"24170","1038","Partly corneous"
"279326","1038","Partly corneous"
"152081","1038","Partly corneous"
"24172","1038","Partly corneous"
"152082","1038","Partly corneous"
"406288","1038","Partly corneous"
"406289","1038","Partly corneous"
"279328","1038","Partly corneous"
"406290","1038","Partly corneous"
"24174","1038","Partly corneous"
"279329","1038","Partly corneous"
"279330","1038","Partly corneous"
"279331","1038","Partly corneous"
"406291","1038","Partly corneous"
"279332","1038","Partly corneous"
"406292","1038","Partly corneous"
"152086","1038","Partly corneous"
"279333","1038","Partly corneous"
"152087","1038","Partly corneous"
"279334","1038","Partly corneous"
"406295","1038","Partly corneous"
"24179","1038","Partly corneous"
"279336","1038","Partly corneous"
"24180","1038","Partly corneous"
"24181","1038","Partly corneous"
"279337","1038","Partly corneous"
"279338","1038","Partly corneous"
"279339","1038","Partly corneous"
"406297","1038","Partly corneous"
"279340","1038","Partly corneous"
"406301","1038","Partly corneous"
"406302","1038","Partly corneous"
"406303","1038","Partly corneous"
"152094","1038","Partly corneous"
"152095","1038","Partly corneous"
"152096","1038","Partly corneous"
"152097","1038","Partly corneous"
"152100","1038","Partly corneous"
"24186","1038","Partly corneous"
"279346","1038","Partly corneous"
"152101","1038","Partly corneous"
"24187","1038","Partly corneous"
"279347","1038","Partly corneous"
"279349","1038","Partly corneous"
"279350","1038","Partly corneous"
"406307","1038","Partly corneous"
"152102","1038","Partly corneous"
"152103","1038","Partly corneous"
"406309","1038","Partly corneous"
"406310","1038","Partly corneous"
"279353","1038","Partly corneous"
"279354","1038","Partly corneous"
"279355","1038","Partly corneous"
"279356","1038","Partly corneous"
"24192","1038","Partly corneous"
"152107","1038","Partly corneous"
"152108","1038","Partly corneous"
"406311","1038","Partly corneous"
"24193","1038","Partly corneous"
"279357","1038","Partly corneous"
"406313","1038","Partly corneous"
