"genesysId","datasetId","value"
"263308","1038","Non-waxy"
"263309","1038","Non-waxy"
"135992","1038","Non-waxy"
"263310","1038","Non-waxy"
"485824","1038","Non-waxy"
"485825","1038","Non-waxy"
"485826","1038","Non-waxy"
"263311","1038","Non-waxy"
"485827","1038","Non-waxy"
"485828","1038","Non-waxy"
"135993","1038","Non-waxy"
"263312","1038","Non-waxy"
"485829","1038","Non-waxy"
"263314","1038","Non-waxy"
"390324","1038","Non-waxy"
"390325","1038","Non-waxy"
"135994","1038","Non-waxy"
"263315","1038","Non-waxy"
"390326","1038","Non-waxy"
"135995","1038","Non-waxy"
"263316","1038","Non-waxy"
"485830","1038","Non-waxy"
"263317","1038","Non-waxy"
"135996","1038","Non-waxy"
"263318","1038","Non-waxy"
"485831","1038","Non-waxy"
"485832","1038","Non-waxy"
"485833","1038","Non-waxy"
"263319","1038","Non-waxy"
"263320","1038","Non-waxy"
"390328","1038","Non-waxy"
"135998","1038","Non-waxy"
"485834","1038","Non-waxy"
"390329","1038","Non-waxy"
"390330","1038","Non-waxy"
"390331","1038","Non-waxy"
"135999","1038","Non-waxy"
"390332","1038","Non-waxy"
"263321","1038","Non-waxy"
"390333","1038","Non-waxy"
"390334","1038","Non-waxy"
"136000","1038","Non-waxy"
"390335","1038","Non-waxy"
"136001","1038","Non-waxy"
"263322","1038","Non-waxy"
"136002","1038","Non-waxy"
"263323","1038","Non-waxy"
"263324","1038","Non-waxy"
"390336","1038","Non-waxy"
"485837","1038","Non-waxy"
"390337","1038","Non-waxy"
"136004","1038","Non-waxy"
"263325","1038","Non-waxy"
"136005","1038","Non-waxy"
"390339","1038","Non-waxy"
"390340","1038","Non-waxy"
"136006","1038","Non-waxy"
"390341","1038","Non-waxy"
"136008","1038","Non-waxy"
"263326","1038","Non-waxy"
"485838","1038","Non-waxy"
"136009","1038","Non-waxy"
"263327","1038","Non-waxy"
"263328","1038","Non-waxy"
"390342","1038","Non-waxy"
"263329","1038","Non-waxy"
"390343","1038","Non-waxy"
"136011","1038","Non-waxy"
"390344","1038","Non-waxy"
"263330","1038","Non-waxy"
"390345","1038","Non-waxy"
"136012","1038","Non-waxy"
"485839","1038","Non-waxy"
"136013","1038","Non-waxy"
"485840","1038","Non-waxy"
"263331","1038","Non-waxy"
"390347","1038","Non-waxy"
