"genesysId","datasetId","value"
"485824","1038","0"
"263311","1038","0"
"485827","1038","0"
"263316","1038","0"
"390328","1038","0"
"390330","1038","0"
"135999","1038","0"
"136000","1038","0"
"263324","1038","0"
"390357","1038","0"
"136024","1038","0"
"485863","1038","0"
"390347","1038","1"
"390352","1038","2"
"263309","1038","4"
"485828","1038","4"
"485844","1038","4"
"390377","1038","4"
"485841","1038","5"
"136017","1038","5"
"263339","1038","5"
"485851","1038","5"
"135994","1038","6"
"390333","1038","6"
"136013","1038","6"
"485855","1038","6"
"485850","1038","7"
"390332","1038","8"
"263351","1038","8"
"136026","1038","9"
"390378","1038","9"
"135993","1038","10"
"263315","1038","10"
"135995","1038","10"
"263318","1038","10"
"263319","1038","10"
"136015","1038","10"
"390351","1038","10"
"390354","1038","10"
"390365","1038","10"
"390366","1038","10"
"485859","1038","10"
"485858","1038","11"
"136025","1038","11"
"390376","1038","11"
"485825","1038","12"
"485826","1038","12"
"263314","1038","12"
"263317","1038","12"
"485832","1038","12"
"485833","1038","12"
"390335","1038","12"
"485843","1038","12"
"263337","1038","12"
"136018","1038","12"
"390334","1038","13"
"136006","1038","13"
"263327","1038","13"
"390349","1038","13"
"263344","1038","13"
"263321","1038","14"
"485857","1038","14"
"390374","1038","14"
"136028","1038","14"
"485837","1038","15"
"485838","1038","15"
"390353","1038","15"
"390358","1038","15"
"485852","1038","15"
"263343","1038","15"
"390373","1038","15"
"485861","1038","15"
"485862","1038","15"
"263353","1038","15"
"485829","1038","16"
"263325","1038","16"
"263334","1038","16"
"263335","1038","16"
"136020","1038","16"
"390368","1038","16"
"390370","1038","16"
"263350","1038","16"
"263352","1038","16"
"263308","1038","17"
"390341","1038","17"
"485839","1038","17"
"390350","1038","17"
"263336","1038","17"
"263338","1038","17"
"390371","1038","17"
"485860","1038","17"
"136027","1038","17"
"390326","1038","18"
"263333","1038","18"
"390369","1038","18"
"390363","1038","19"
"390364","1038","19"
"263310","1038","20"
"263312","1038","20"
"390324","1038","20"
"485831","1038","20"
"485834","1038","20"
"390329","1038","20"
