"genesysId","datasetId","value"
"263309","1038","Purple"
"135992","1038","Purple"
"485824","1038","Purple"
"263311","1038","Purple"
"485827","1038","Purple"
"485828","1038","Purple"
"135993","1038","Purple"
"263312","1038","Purple"
"135994","1038","Purple"
"263315","1038","Purple"
"135995","1038","Purple"
"263316","1038","Purple"
"263318","1038","Purple"
"485831","1038","Purple"
"485832","1038","Purple"
"485833","1038","Purple"
"263319","1038","Purple"
"390330","1038","Purple"
"135999","1038","Purple"
"390332","1038","Purple"
"263321","1038","Purple"
"390333","1038","Purple"
"390334","1038","Purple"
"136000","1038","Purple"
"390335","1038","Purple"
"136001","1038","Purple"
"136002","1038","Purple"
"263323","1038","Purple"
"263324","1038","Purple"
"485838","1038","Purple"
"390342","1038","Purple"
"263329","1038","Purple"
"136011","1038","Purple"
"263330","1038","Purple"
"136012","1038","Purple"
"485839","1038","Purple"
"485840","1038","Purple"
"485841","1038","Purple"
"485842","1038","Purple"
"485843","1038","Purple"
"390349","1038","Purple"
"263334","1038","Purple"
"263335","1038","Purple"
"136016","1038","Purple"
"390351","1038","Purple"
"485846","1038","Purple"
"485850","1038","Purple"
"263340","1038","Purple"
"390359","1038","Purple"
"263342","1038","Purple"
"263344","1038","Purple"
"485855","1038","Purple"
"390366","1038","Purple"
"390367","1038","Purple"
"390369","1038","Purple"
"390372","1038","Purple"
"390373","1038","Purple"
"136024","1038","Purple"
"485861","1038","Purple"
"136026","1038","Purple"
"390375","1038","Purple"
"263308","1038","Red"
"390326","1038","Red"
"485830","1038","Red"
"390337","1038","Red"
"263325","1038","Red"
"136013","1038","Red"
"390350","1038","Red"
"390352","1038","Red"
"390358","1038","Red"
"136018","1038","Red"
"136019","1038","Red"
"263310","1038","Tan"
"485825","1038","Tan"
"485826","1038","Tan"
"485837","1038","Tan"
"390339","1038","Tan"
"263327","1038","Tan"
"136025","1038","Tan"
"263350","1038","Tan"
"390325","1038","Black"
"263317","1038","Black"
"135996","1038","Black"
"263322","1038","Black"
"390336","1038","Black"
"136005","1038","Black"
"390340","1038","Black"
"136006","1038","Black"
"390341","1038","Black"
"263328","1038","Black"
"390343","1038","Black"
"390344","1038","Black"
"390345","1038","Black"
"263331","1038","Black"
"390347","1038","Black"
"263332","1038","Black"
"263333","1038","Black"
"136015","1038","Black"
"136017","1038","Black"
"485844","1038","Black"
"263336","1038","Black"
"263338","1038","Black"
"263339","1038","Black"
"390353","1038","Black"
"390355","1038","Black"
"485848","1038","Black"
"390357","1038","Black"
"485851","1038","Black"
"390360","1038","Black"
"136020","1038","Black"
"390361","1038","Black"
"485852","1038","Black"
"263343","1038","Black"
"390363","1038","Black"
"390364","1038","Black"
"485854","1038","Black"
"390365","1038","Black"
"390368","1038","Black"
"136021","1038","Black"
"263346","1038","Black"
"390370","1038","Black"
"263347","1038","Black"
"136022","1038","Black"
