"genesysId","datasetId","value"
"263308","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263309","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135992","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263310","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485824","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485826","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263311","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485827","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485828","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135993","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485829","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390324","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390325","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135994","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263315","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390326","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135995","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263316","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485830","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263317","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135996","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263318","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485832","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485833","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263320","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390328","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135998","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485834","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390329","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390330","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390331","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"135999","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390332","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263321","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390333","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390334","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136000","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390335","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136001","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263322","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136002","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263323","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263324","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390336","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485837","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390337","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136004","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263325","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136005","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390339","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390340","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136006","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390341","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136008","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263326","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485838","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136009","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263327","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263328","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390342","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263329","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390343","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136011","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390344","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263330","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390345","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136012","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485839","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136013","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485840","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263331","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390347","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485841","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263332","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485842","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263333","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485843","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390349","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390350","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263334","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136015","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263335","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136016","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136017","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390351","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485844","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390352","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263336","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485846","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263337","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263338","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263339","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390353","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390354","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390355","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485848","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390358","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136018","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485850","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485851","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136019","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263340","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390359","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390360","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"136020","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"390361","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"485852","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263342","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
"263343","1038"," (1.5) (1.0 = Very uniform, 5.0 = Not uniform)"
