"genesysId","datasetId","value"
"136028","1038","Juicy"
"390326","1038","Intermediate"
"390358","1038","Intermediate"
"136018","1038","Intermediate"
"390377","1038","Intermediate"
"263308","1038","Dry"
"263309","1038","Dry"
"135992","1038","Dry"
"263310","1038","Dry"
"485824","1038","Dry"
"485825","1038","Dry"
"485826","1038","Dry"
"263311","1038","Dry"
"485827","1038","Dry"
"485828","1038","Dry"
"135993","1038","Dry"
"263312","1038","Dry"
"485829","1038","Dry"
"263314","1038","Dry"
"390324","1038","Dry"
"390325","1038","Dry"
"135994","1038","Dry"
"263315","1038","Dry"
"135995","1038","Dry"
"263316","1038","Dry"
"485830","1038","Dry"
"263317","1038","Dry"
"135996","1038","Dry"
"263318","1038","Dry"
"485831","1038","Dry"
"485832","1038","Dry"
"485833","1038","Dry"
"263319","1038","Dry"
"263320","1038","Dry"
"390328","1038","Dry"
"135998","1038","Dry"
"485834","1038","Dry"
"390329","1038","Dry"
"390330","1038","Dry"
"390331","1038","Dry"
"135999","1038","Dry"
"390332","1038","Dry"
"263321","1038","Dry"
"390333","1038","Dry"
"390334","1038","Dry"
"136000","1038","Dry"
"390335","1038","Dry"
"136001","1038","Dry"
"263322","1038","Dry"
"136002","1038","Dry"
"263323","1038","Dry"
"263324","1038","Dry"
"390336","1038","Dry"
"485837","1038","Dry"
"390337","1038","Dry"
"136004","1038","Dry"
"263325","1038","Dry"
"136005","1038","Dry"
"390339","1038","Dry"
"390340","1038","Dry"
"136006","1038","Dry"
"390341","1038","Dry"
"136008","1038","Dry"
"263326","1038","Dry"
"485838","1038","Dry"
"136009","1038","Dry"
"263327","1038","Dry"
"263328","1038","Dry"
"390342","1038","Dry"
"263329","1038","Dry"
"390343","1038","Dry"
"136011","1038","Dry"
"390344","1038","Dry"
"263330","1038","Dry"
"390345","1038","Dry"
"136012","1038","Dry"
"485839","1038","Dry"
"136013","1038","Dry"
"485840","1038","Dry"
"263331","1038","Dry"
"390347","1038","Dry"
"485841","1038","Dry"
"263332","1038","Dry"
"485842","1038","Dry"
"263333","1038","Dry"
"485843","1038","Dry"
"390349","1038","Dry"
"390350","1038","Dry"
"263334","1038","Dry"
"136015","1038","Dry"
"263335","1038","Dry"
"136016","1038","Dry"
"136017","1038","Dry"
"390351","1038","Dry"
"485844","1038","Dry"
"390352","1038","Dry"
"263336","1038","Dry"
"485846","1038","Dry"
"263337","1038","Dry"
"263338","1038","Dry"
"263339","1038","Dry"
"390353","1038","Dry"
"390354","1038","Dry"
"390355","1038","Dry"
"485848","1038","Dry"
"390357","1038","Dry"
"485850","1038","Dry"
"485851","1038","Dry"
"136019","1038","Dry"
"263340","1038","Dry"
"390359","1038","Dry"
"390360","1038","Dry"
"136020","1038","Dry"
"390361","1038","Dry"
"485852","1038","Dry"
"263342","1038","Dry"
"263343","1038","Dry"
"390363","1038","Dry"
"390364","1038","Dry"
"263344","1038","Dry"
"485854","1038","Dry"
"390365","1038","Dry"
"485855","1038","Dry"
"390366","1038","Dry"
"390367","1038","Dry"
"390368","1038","Dry"
"390369","1038","Dry"
"136021","1038","Dry"
"263346","1038","Dry"
"390370","1038","Dry"
"263347","1038","Dry"
"136022","1038","Dry"
"485857","1038","Dry"
