"genesysId","datasetId","value"
"485825","1038","Involuted"
"485826","1038","Involuted"
"263311","1038","Involuted"
"135993","1038","Involuted"
"263312","1038","Involuted"
"485829","1038","Involuted"
"390324","1038","Involuted"
"390325","1038","Involuted"
"135994","1038","Involuted"
"263315","1038","Involuted"
"390326","1038","Involuted"
"263316","1038","Involuted"
"485830","1038","Involuted"
"263317","1038","Involuted"
"135996","1038","Involuted"
"263318","1038","Involuted"
"485831","1038","Involuted"
"485832","1038","Involuted"
"485833","1038","Involuted"
"263319","1038","Involuted"
"390330","1038","Involuted"
"136001","1038","Involuted"
"263322","1038","Involuted"
"136002","1038","Involuted"
"263323","1038","Involuted"
"390336","1038","Involuted"
"390337","1038","Involuted"
"136004","1038","Involuted"
"263325","1038","Involuted"
"136005","1038","Involuted"
"390339","1038","Involuted"
"390340","1038","Involuted"
"136006","1038","Involuted"
"390341","1038","Involuted"
"136008","1038","Involuted"
"263326","1038","Involuted"
"485838","1038","Involuted"
"136009","1038","Involuted"
"263327","1038","Involuted"
"263328","1038","Involuted"
"390342","1038","Involuted"
"263329","1038","Involuted"
"390343","1038","Involuted"
"136011","1038","Involuted"
"390344","1038","Involuted"
"263330","1038","Involuted"
"263331","1038","Involuted"
"485841","1038","Involuted"
"263332","1038","Involuted"
"485842","1038","Involuted"
"263333","1038","Involuted"
"485843","1038","Involuted"
"390349","1038","Involuted"
"390350","1038","Involuted"
"263334","1038","Involuted"
"136015","1038","Involuted"
"263335","1038","Involuted"
"136016","1038","Involuted"
"136017","1038","Involuted"
"390351","1038","Involuted"
"485844","1038","Involuted"
"390352","1038","Involuted"
"263336","1038","Involuted"
"485846","1038","Involuted"
"263337","1038","Involuted"
"263338","1038","Involuted"
"263339","1038","Involuted"
"390353","1038","Involuted"
"390354","1038","Involuted"
"390355","1038","Involuted"
"485848","1038","Involuted"
"485851","1038","Involuted"
"136019","1038","Involuted"
"390359","1038","Involuted"
"390360","1038","Involuted"
"390361","1038","Involuted"
"485852","1038","Involuted"
"263342","1038","Involuted"
"263343","1038","Involuted"
"390363","1038","Involuted"
"390364","1038","Involuted"
"485854","1038","Involuted"
"390365","1038","Involuted"
"485855","1038","Involuted"
"390367","1038","Involuted"
"390368","1038","Involuted"
"390369","1038","Involuted"
"136021","1038","Involuted"
"390370","1038","Involuted"
"263347","1038","Involuted"
"136022","1038","Involuted"
"485857","1038","Involuted"
"390371","1038","Involuted"
"390372","1038","Involuted"
"263348","1038","Involuted"
"263349","1038","Involuted"
"485858","1038","Involuted"
"136023","1038","Involuted"
"485859","1038","Involuted"
"485860","1038","Involuted"
"136024","1038","Involuted"
"136025","1038","Involuted"
"485861","1038","Involuted"
"263350","1038","Involuted"
"390374","1038","Involuted"
"136026","1038","Involuted"
"136027","1038","Involuted"
"263344","1038","25% kernel covered"
"390366","1038","25% kernel covered"
"390373","1038","25% kernel covered"
"390378","1038","25% kernel covered"
"485824","1038","50% kernel covered"
"263314","1038","50% kernel covered"
"390331","1038","50% kernel covered"
"135999","1038","50% kernel covered"
"390332","1038","50% kernel covered"
"263321","1038","50% kernel covered"
"390333","1038","50% kernel covered"
"390334","1038","50% kernel covered"
"136000","1038","50% kernel covered"
"136018","1038","50% kernel covered"
"485850","1038","50% kernel covered"
"136028","1038","50% kernel covered"
"263308","1038","75% kernel covered"
"263309","1038","75% kernel covered"
"135992","1038","75% kernel covered"
"263310","1038","75% kernel covered"
"485827","1038","75% kernel covered"
"485828","1038","75% kernel covered"
"135995","1038","75% kernel covered"
"263320","1038","75% kernel covered"
"390335","1038","75% kernel covered"
"263324","1038","75% kernel covered"
"390345","1038","75% kernel covered"
"136012","1038","75% kernel covered"
"485839","1038","75% kernel covered"
"136013","1038","75% kernel covered"
"485840","1038","75% kernel covered"
"390347","1038","75% kernel covered"
"390357","1038","75% kernel covered"
"390358","1038","75% kernel covered"
"263340","1038","75% kernel covered"
"136020","1038","75% kernel covered"
"263346","1038","75% kernel covered"
"485862","1038","75% kernel covered"
"390375","1038","75% kernel covered"
"390376","1038","75% kernel covered"
"390377","1038","75% kernel covered"
"485863","1038","75% kernel covered"
"263351","1038","75% kernel covered"
"263352","1038","75% kernel covered"
"263353","1038","75% kernel covered"
"390379","1038","75% kernel covered"
"390328","1038","Kernel fully covered"
"135998","1038","Kernel fully covered"
"485834","1038","Kernel fully covered"
"390329","1038","Kernel fully covered"
"485837","1038","Kernel fully covered"
"152079","1038","Involuted"
"406289","1038","Involuted"
"279328","1038","Involuted"
"406290","1038","Involuted"
"152083","1038","Involuted"
"406295","1038","Involuted"
"24179","1038","Involuted"
