"genesysId","datasetId","value"
"263308","1038","Plump"
"263309","1038","Plump"
"135992","1038","Plump"
"263310","1038","Plump"
"485824","1038","Plump"
"485825","1038","Plump"
"485826","1038","Plump"
"263311","1038","Plump"
"485827","1038","Plump"
"485828","1038","Plump"
"135993","1038","Plump"
"263312","1038","Plump"
"485829","1038","Plump"
"263314","1038","Plump"
"390324","1038","Plump"
"390325","1038","Plump"
"135994","1038","Plump"
"263315","1038","Plump"
"390326","1038","Plump"
"135995","1038","Plump"
"263316","1038","Plump"
"485830","1038","Plump"
"263317","1038","Plump"
"135996","1038","Plump"
"263318","1038","Plump"
"485831","1038","Plump"
"485832","1038","Plump"
"485833","1038","Plump"
"263319","1038","Plump"
"263320","1038","Plump"
"390328","1038","Plump"
"135998","1038","Plump"
"485834","1038","Plump"
"390329","1038","Plump"
"390330","1038","Plump"
"390331","1038","Plump"
"135999","1038","Plump"
"390332","1038","Plump"
"263321","1038","Plump"
"390333","1038","Plump"
"390334","1038","Plump"
"136000","1038","Plump"
"390335","1038","Plump"
"136001","1038","Plump"
"263322","1038","Plump"
"136002","1038","Plump"
"263323","1038","Plump"
"263324","1038","Plump"
"390336","1038","Plump"
"485837","1038","Plump"
"390337","1038","Plump"
"136004","1038","Plump"
"263325","1038","Plump"
"136005","1038","Plump"
"390339","1038","Plump"
"390340","1038","Plump"
"136006","1038","Plump"
"390341","1038","Plump"
"136008","1038","Plump"
"263326","1038","Plump"
"485838","1038","Plump"
"136009","1038","Plump"
"263327","1038","Plump"
"263328","1038","Plump"
"390342","1038","Plump"
"263329","1038","Plump"
"390343","1038","Plump"
"136011","1038","Plump"
"390344","1038","Plump"
"263330","1038","Plump"
"390345","1038","Plump"
"136012","1038","Plump"
"485839","1038","Plump"
"136013","1038","Plump"
"485840","1038","Plump"
"263331","1038","Plump"
"390347","1038","Plump"
"485841","1038","Plump"
"263332","1038","Plump"
"485842","1038","Plump"
"263333","1038","Plump"
"485843","1038","Plump"
"390349","1038","Plump"
"390350","1038","Plump"
"263334","1038","Plump"
"136015","1038","Plump"
"263335","1038","Plump"
"136016","1038","Plump"
"136017","1038","Plump"
"390351","1038","Plump"
"485844","1038","Plump"
"390352","1038","Plump"
"263336","1038","Plump"
"485846","1038","Plump"
"263337","1038","Plump"
"263338","1038","Plump"
"263339","1038","Plump"
"390353","1038","Plump"
"390354","1038","Plump"
"390355","1038","Plump"
"485848","1038","Plump"
"390357","1038","Plump"
"390358","1038","Plump"
"136018","1038","Plump"
"485850","1038","Plump"
"485851","1038","Plump"
"136019","1038","Plump"
