"genesysId","datasetId","value"
"263310","1038","Round"
"485824","1038","Round"
"485825","1038","Round"
"263311","1038","Round"
"485828","1038","Round"
"135993","1038","Round"
"263312","1038","Round"
"485829","1038","Round"
"390324","1038","Round"
"135994","1038","Round"
"263315","1038","Round"
"390326","1038","Round"
"135995","1038","Round"
"263316","1038","Round"
"485830","1038","Round"
"263317","1038","Round"
"263319","1038","Round"
"263320","1038","Round"
"135999","1038","Round"
"390333","1038","Round"
"390334","1038","Round"
"136000","1038","Round"
"263324","1038","Round"
"485837","1038","Round"
"390344","1038","Round"
"485839","1038","Round"
"136013","1038","Round"
"390347","1038","Round"
"263332","1038","Round"
"263333","1038","Round"
"390350","1038","Round"
"390354","1038","Round"
"390358","1038","Round"
"485851","1038","Round"
"263340","1038","Round"
"390360","1038","Round"
"485852","1038","Round"
"263342","1038","Round"
"263343","1038","Round"
"390364","1038","Round"
"485854","1038","Round"
"390366","1038","Round"
"390368","1038","Round"
"263349","1038","Round"
"485860","1038","Round"
"390373","1038","Round"
"390375","1038","Round"
"390376","1038","Round"
"485863","1038","Round"
"263352","1038","Round"
"390378","1038","Round"
"263308","1038","Oval"
"135992","1038","Oval"
"485826","1038","Oval"
"485827","1038","Oval"
"263314","1038","Oval"
"390325","1038","Oval"
"135996","1038","Oval"
"263318","1038","Oval"
"485831","1038","Oval"
"485832","1038","Oval"
"485833","1038","Oval"
"390328","1038","Oval"
"135998","1038","Oval"
"485834","1038","Oval"
"390330","1038","Oval"
"390331","1038","Oval"
"390332","1038","Oval"
"263321","1038","Oval"
"390335","1038","Oval"
"136001","1038","Oval"
"263322","1038","Oval"
"136002","1038","Oval"
"263323","1038","Oval"
"390336","1038","Oval"
"390337","1038","Oval"
"136004","1038","Oval"
"263325","1038","Oval"
"136005","1038","Oval"
"390339","1038","Oval"
"390340","1038","Oval"
"136006","1038","Oval"
"390341","1038","Oval"
"136008","1038","Oval"
"263326","1038","Oval"
"485838","1038","Oval"
"136009","1038","Oval"
"263327","1038","Oval"
"263328","1038","Oval"
"390342","1038","Oval"
"263329","1038","Oval"
"390343","1038","Oval"
"136011","1038","Oval"
"263330","1038","Oval"
"390345","1038","Oval"
"136012","1038","Oval"
"263331","1038","Oval"
"485841","1038","Oval"
"485842","1038","Oval"
"485843","1038","Oval"
"390349","1038","Oval"
"263334","1038","Oval"
"136015","1038","Oval"
"263335","1038","Oval"
"136016","1038","Oval"
"136017","1038","Oval"
"390351","1038","Oval"
"485844","1038","Oval"
"390352","1038","Oval"
"263336","1038","Oval"
"485846","1038","Oval"
"263337","1038","Oval"
"263338","1038","Oval"
"263339","1038","Oval"
"390353","1038","Oval"
"390355","1038","Oval"
"485848","1038","Oval"
"390357","1038","Oval"
"136018","1038","Oval"
"485850","1038","Oval"
"136019","1038","Oval"
"390359","1038","Oval"
"136020","1038","Oval"
"390361","1038","Oval"
"390363","1038","Oval"
"263344","1038","Oval"
"390365","1038","Oval"
"485855","1038","Oval"
"390367","1038","Oval"
"390369","1038","Oval"
"263346","1038","Oval"
"390370","1038","Oval"
"263347","1038","Oval"
"136022","1038","Oval"
"485857","1038","Oval"
"390371","1038","Oval"
"390372","1038","Oval"
"263348","1038","Oval"
"485858","1038","Oval"
"136023","1038","Oval"
"485859","1038","Oval"
"136024","1038","Oval"
"136025","1038","Oval"
"485861","1038","Oval"
"263350","1038","Oval"
"390374","1038","Oval"
"136026","1038","Oval"
"136027","1038","Oval"
"136028","1038","Oval"
"390377","1038","Oval"
"263351","1038","Oval"
"263353","1038","Oval"
"390379","1038","Oval"
"263309","1038","Variable"
"390329","1038","Variable"
"485840","1038","Variable"
"136021","1038","Variable"
"485862","1038","Variable"
"24170","1038","Round"
"279325","1038","Round"
"279326","1038","Round"
"24172","1038","Round"
"152082","1038","Round"
"406288","1038","Round"
"406289","1038","Round"
"279328","1038","Round"
"406290","1038","Round"
"24174","1038","Round"
"279331","1038","Round"
"279332","1038","Round"
"24175","1038","Round"
"24177","1038","Round"
"279335","1038","Round"
"24178","1038","Round"
"406296","1038","Round"
"279336","1038","Round"
"24180","1038","Round"
"279338","1038","Round"
"152095","1038","Round"
"24188","1038","Round"
"24190","1038","Round"
"152106","1038","Round"
"24192","1038","Round"
"152108","1038","Round"
"279359","1038","Round"
"279360","1038","Round"
"152114","1038","Round"
"152118","1038","Round"
"24200","1038","Round"
"24202","1038","Round"
"24203","1038","Round"
"406322","1038","Round"
"279368","1038","Round"
"279369","1038","Round"
"279370","1038","Round"
"24204","1038","Round"
"279373","1038","Round"
"279374","1038","Round"
"24205","1038","Round"
"279376","1038","Round"
"406323","1038","Round"
"407613","1038","Round"
"152077","1038","Oval"
"279323","1038","Oval"
"152078","1038","Oval"
"152079","1038","Oval"
"24169","1038","Oval"
"152080","1038","Oval"
"279324","1038","Oval"
"406286","1038","Oval"
"152081","1038","Oval"
"152083","1038","Oval"
"152084","1038","Oval"
"279329","1038","Oval"
"279330","1038","Oval"
"406291","1038","Oval"
"152085","1038","Oval"
"152086","1038","Oval"
"406293","1038","Oval"
"279333","1038","Oval"
"24176","1038","Oval"
"152087","1038","Oval"
"279334","1038","Oval"
"406295","1038","Oval"
"24179","1038","Oval"
"24181","1038","Oval"
"279337","1038","Oval"
"279339","1038","Oval"
"406297","1038","Oval"
"24182","1038","Oval"
"279340","1038","Oval"
"152089","1038","Oval"
"152091","1038","Oval"
"152092","1038","Oval"
"24183","1038","Oval"
"406301","1038","Oval"
"279341","1038","Oval"
"24185","1038","Oval"
"152093","1038","Oval"
"406302","1038","Oval"
"406303","1038","Oval"
"152094","1038","Oval"
"152096","1038","Oval"
"152097","1038","Oval"
"152098","1038","Oval"
"152100","1038","Oval"
"24186","1038","Oval"
"279346","1038","Oval"
"152101","1038","Oval"
"24187","1038","Oval"
"279347","1038","Oval"
"279348","1038","Oval"
"24189","1038","Oval"
"279349","1038","Oval"
"279350","1038","Oval"
"406306","1038","Oval"
"406307","1038","Oval"
"152102","1038","Oval"
"152103","1038","Oval"
"406308","1038","Oval"
"152104","1038","Oval"
"279351","1038","Oval"
"24191","1038","Oval"
"279352","1038","Oval"
"152105","1038","Oval"
"406309","1038","Oval"
"406310","1038","Oval"
"279353","1038","Oval"
"279354","1038","Oval"
"279355","1038","Oval"
"279356","1038","Oval"
"152107","1038","Oval"
"406311","1038","Oval"
"24193","1038","Oval"
"279357","1038","Oval"
"406313","1038","Oval"
"406314","1038","Oval"
"152110","1038","Oval"
"24196","1038","Oval"
"152111","1038","Oval"
"279361","1038","Oval"
"152112","1038","Oval"
