"genesysId","datasetId","value"
"263308","1038","Thick"
"263309","1038","Thick"
"135992","1038","Thick"
"263311","1038","Thick"
"485827","1038","Thick"
"135993","1038","Thick"
"263312","1038","Thick"
"485829","1038","Thick"
"135994","1038","Thick"
"390326","1038","Thick"
"135995","1038","Thick"
"263316","1038","Thick"
"485830","1038","Thick"
"135996","1038","Thick"
"263318","1038","Thick"
"485831","1038","Thick"
"390330","1038","Thick"
"390331","1038","Thick"
"390333","1038","Thick"
"390335","1038","Thick"
"263322","1038","Thick"
"263324","1038","Thick"
"390336","1038","Thick"
"485837","1038","Thick"
"136005","1038","Thick"
"390339","1038","Thick"
"390340","1038","Thick"
"136006","1038","Thick"
"390341","1038","Thick"
"390343","1038","Thick"
"263330","1038","Thick"
"390345","1038","Thick"
"136012","1038","Thick"
"485839","1038","Thick"
"485840","1038","Thick"
"485841","1038","Thick"
"263332","1038","Thick"
"263333","1038","Thick"
"390350","1038","Thick"
"136017","1038","Thick"
"263336","1038","Thick"
"485846","1038","Thick"
"390354","1038","Thick"
"390355","1038","Thick"
"485848","1038","Thick"
"390357","1038","Thick"
"390358","1038","Thick"
"485850","1038","Thick"
"136019","1038","Thick"
"263340","1038","Thick"
"390359","1038","Thick"
"390360","1038","Thick"
"136020","1038","Thick"
"485852","1038","Thick"
"390363","1038","Thick"
"263344","1038","Thick"
"390366","1038","Thick"
"390368","1038","Thick"
"390370","1038","Thick"
"263347","1038","Thick"
"136022","1038","Thick"
"485857","1038","Thick"
"390371","1038","Thick"
"263348","1038","Thick"
"263349","1038","Thick"
"485858","1038","Thick"
"136023","1038","Thick"
"485859","1038","Thick"
"485860","1038","Thick"
"390373","1038","Thick"
"136024","1038","Thick"
"136025","1038","Thick"
"485861","1038","Thick"
"390374","1038","Thick"
"136026","1038","Thick"
"485862","1038","Thick"
"136027","1038","Thick"
"390375","1038","Thick"
"390376","1038","Thick"
"136028","1038","Thick"
"390377","1038","Thick"
"263351","1038","Thick"
"263353","1038","Thick"
"390378","1038","Thick"
"390379","1038","Thick"
"263310","1038","Thin"
"485824","1038","Thin"
"485825","1038","Thin"
"485826","1038","Thin"
"485828","1038","Thin"
"390324","1038","Thin"
"390325","1038","Thin"
"263315","1038","Thin"
"263317","1038","Thin"
"485833","1038","Thin"
"263319","1038","Thin"
"263320","1038","Thin"
"390328","1038","Thin"
"135998","1038","Thin"
"485834","1038","Thin"
"390329","1038","Thin"
"135999","1038","Thin"
"390332","1038","Thin"
"263321","1038","Thin"
"390334","1038","Thin"
"136000","1038","Thin"
"136001","1038","Thin"
"136002","1038","Thin"
"263323","1038","Thin"
"390337","1038","Thin"
"136004","1038","Thin"
"263325","1038","Thin"
"136008","1038","Thin"
"263326","1038","Thin"
"485838","1038","Thin"
"136009","1038","Thin"
"263327","1038","Thin"
"263328","1038","Thin"
"390342","1038","Thin"
"263329","1038","Thin"
"136011","1038","Thin"
"390344","1038","Thin"
"136013","1038","Thin"
"263331","1038","Thin"
"390347","1038","Thin"
"485842","1038","Thin"
"485843","1038","Thin"
"390349","1038","Thin"
"263334","1038","Thin"
"136015","1038","Thin"
"263335","1038","Thin"
"136016","1038","Thin"
"390351","1038","Thin"
"485844","1038","Thin"
"390352","1038","Thin"
"263337","1038","Thin"
"263338","1038","Thin"
"263339","1038","Thin"
"390353","1038","Thin"
"136018","1038","Thin"
"485851","1038","Thin"
"390361","1038","Thin"
"263342","1038","Thin"
"263343","1038","Thin"
"390364","1038","Thin"
"485854","1038","Thin"
"390365","1038","Thin"
"485855","1038","Thin"
"390367","1038","Thin"
"390369","1038","Thin"
"136021","1038","Thin"
"263346","1038","Thin"
"390372","1038","Thin"
"263350","1038","Thin"
"485863","1038","Thin"
"263352","1038","Thin"
"263314","1038","Segregating"
"485832","1038","Segregating"
"152077","1038","Thick"
"279323","1038","Thick"
"152078","1038","Thick"
"24169","1038","Thick"
"279324","1038","Thick"
"24170","1038","Thick"
"279325","1038","Thick"
"406286","1038","Thick"
"152081","1038","Thick"
"406290","1038","Thick"
"152083","1038","Thick"
"279330","1038","Thick"
"24175","1038","Thick"
"279333","1038","Thick"
"24176","1038","Thick"
"152087","1038","Thick"
"279334","1038","Thick"
"406295","1038","Thick"
"24179","1038","Thick"
"279336","1038","Thick"
"24180","1038","Thick"
"24181","1038","Thick"
"279337","1038","Thick"
"279338","1038","Thick"
"279339","1038","Thick"
"406297","1038","Thick"
"152089","1038","Thick"
"152091","1038","Thick"
"406301","1038","Thick"
"279341","1038","Thick"
"152093","1038","Thick"
