"genesysId","datasetId","value"
"263308","1038","Colorless"
"263309","1038","Colorless"
"135992","1038","Colorless"
"263310","1038","Colorless"
"485824","1038","Colorless"
"485825","1038","Colorless"
"485826","1038","Colorless"
"263311","1038","Colorless"
"485827","1038","Colorless"
"485828","1038","Colorless"
"135993","1038","Colorless"
"263312","1038","Colorless"
"485829","1038","Colorless"
"263314","1038","Colorless"
"390324","1038","Colorless"
"390325","1038","Colorless"
"135994","1038","Colorless"
"263315","1038","Colorless"
"390326","1038","Colorless"
"135995","1038","Colorless"
"263316","1038","Colorless"
"485830","1038","Colorless"
"263317","1038","Colorless"
"135996","1038","Colorless"
"263318","1038","Colorless"
"485831","1038","Colorless"
"485832","1038","Colorless"
"485833","1038","Colorless"
"263319","1038","Colorless"
"263320","1038","Colorless"
"390328","1038","Colorless"
"135998","1038","Colorless"
"485834","1038","Colorless"
"390329","1038","Colorless"
"390330","1038","Colorless"
"390331","1038","Colorless"
"135999","1038","Colorless"
"390332","1038","Colorless"
"263321","1038","Colorless"
"390333","1038","Colorless"
"390334","1038","Colorless"
"136000","1038","Colorless"
"390335","1038","Colorless"
"136001","1038","Colorless"
"263322","1038","Colorless"
"136002","1038","Colorless"
"263323","1038","Colorless"
"263324","1038","Colorless"
"390336","1038","Colorless"
"485837","1038","Colorless"
"390337","1038","Colorless"
"136004","1038","Colorless"
"263325","1038","Colorless"
"136005","1038","Colorless"
"390339","1038","Colorless"
"390340","1038","Colorless"
"136006","1038","Colorless"
"390341","1038","Colorless"
"136008","1038","Colorless"
"263326","1038","Colorless"
"485838","1038","Colorless"
"136009","1038","Colorless"
"263327","1038","Colorless"
"263328","1038","Colorless"
"390342","1038","Colorless"
"263329","1038","Colorless"
"390343","1038","Colorless"
"136011","1038","Colorless"
"390344","1038","Colorless"
"263330","1038","Colorless"
"390345","1038","Colorless"
"136012","1038","Colorless"
"485839","1038","Colorless"
"136013","1038","Colorless"
"485840","1038","Colorless"
"263331","1038","Colorless"
"390347","1038","Colorless"
"485841","1038","Colorless"
"263332","1038","Colorless"
"485842","1038","Colorless"
"263333","1038","Colorless"
"485843","1038","Colorless"
"390349","1038","Colorless"
"390350","1038","Colorless"
"263334","1038","Colorless"
"136015","1038","Colorless"
"263335","1038","Colorless"
"136016","1038","Colorless"
"136017","1038","Colorless"
"390351","1038","Colorless"
"485844","1038","Colorless"
"390352","1038","Colorless"
"263336","1038","Colorless"
"485846","1038","Colorless"
"263337","1038","Colorless"
"263338","1038","Colorless"
"263339","1038","Colorless"
"390353","1038","Colorless"
"390354","1038","Colorless"
"390355","1038","Colorless"
"485848","1038","Colorless"
"390357","1038","Colorless"
"390358","1038","Colorless"
"136018","1038","Colorless"
"485850","1038","Colorless"
"485851","1038","Colorless"
"136019","1038","Colorless"
"263340","1038","Colorless"
"390359","1038","Colorless"
"390360","1038","Colorless"
"136020","1038","Colorless"
"390361","1038","Colorless"
"485852","1038","Colorless"
"263342","1038","Colorless"
"263343","1038","Colorless"
"390363","1038","Colorless"
"390364","1038","Colorless"
"263344","1038","Colorless"
"485854","1038","Colorless"
"390365","1038","Colorless"
"485855","1038","Colorless"
"390366","1038","Colorless"
"390367","1038","Colorless"
"390368","1038","Colorless"
"390369","1038","Colorless"
"136021","1038","Colorless"
"263346","1038","Colorless"
"390370","1038","Colorless"
"263347","1038","Colorless"
"136022","1038","Colorless"
"485857","1038","Colorless"
"390371","1038","Colorless"
"390372","1038","Colorless"
"263348","1038","Colorless"
"263349","1038","Colorless"
"485858","1038","Colorless"
"136023","1038","Colorless"
"485859","1038","Colorless"
"485860","1038","Colorless"
"390373","1038","Colorless"
"136024","1038","Colorless"
"136025","1038","Colorless"
"485861","1038","Colorless"
"263350","1038","Colorless"
"390374","1038","Colorless"
"136026","1038","Colorless"
"485862","1038","Colorless"
"136027","1038","Colorless"
"390375","1038","Colorless"
"390376","1038","Colorless"
"390377","1038","Colorless"
"485863","1038","Colorless"
"263351","1038","Colorless"
"263352","1038","Colorless"
"263353","1038","Colorless"
"390378","1038","Colorless"
"390379","1038","Colorless"
"136028","1038","Green"
"152077","1038","Colorless"
"279323","1038","Colorless"
"152078","1038","Colorless"
"152079","1038","Colorless"
"24169","1038","Colorless"
"152080","1038","Colorless"
"279324","1038","Colorless"
"24170","1038","Colorless"
"279325","1038","Colorless"
"406286","1038","Colorless"
"279326","1038","Colorless"
"152081","1038","Colorless"
"24172","1038","Colorless"
"152082","1038","Colorless"
"406288","1038","Colorless"
"406289","1038","Colorless"
"279328","1038","Colorless"
"406290","1038","Colorless"
"24174","1038","Colorless"
"152083","1038","Colorless"
"152084","1038","Colorless"
"279329","1038","Colorless"
"279330","1038","Colorless"
"279331","1038","Colorless"
"406291","1038","Colorless"
"279332","1038","Colorless"
"406292","1038","Colorless"
