"genesysId","datasetId","value"
"263308","1038","Yes"
"263309","1038","Yes"
"263310","1038","Yes"
"485824","1038","Yes"
"485825","1038","Yes"
"485826","1038","Yes"
"485827","1038","Yes"
"135993","1038","Yes"
"263312","1038","Yes"
"263314","1038","Yes"
"390324","1038","Yes"
"390325","1038","Yes"
"135994","1038","Yes"
"263315","1038","Yes"
"390326","1038","Yes"
"135995","1038","Yes"
"263316","1038","Yes"
"485830","1038","Yes"
"263317","1038","Yes"
"135996","1038","Yes"
"263318","1038","Yes"
"485831","1038","Yes"
"485832","1038","Yes"
"485833","1038","Yes"
"263319","1038","Yes"
"263320","1038","Yes"
"390328","1038","Yes"
"390329","1038","Yes"
"390330","1038","Yes"
"390331","1038","Yes"
"135999","1038","Yes"
"390332","1038","Yes"
"390334","1038","Yes"
"390335","1038","Yes"
"136001","1038","Yes"
"263322","1038","Yes"
"136002","1038","Yes"
"263323","1038","Yes"
"263324","1038","Yes"
"390336","1038","Yes"
"485837","1038","Yes"
"390337","1038","Yes"
"263325","1038","Yes"
"136005","1038","Yes"
"390339","1038","Yes"
"390340","1038","Yes"
"136006","1038","Yes"
"390341","1038","Yes"
"263326","1038","Yes"
"485838","1038","Yes"
"136009","1038","Yes"
"263327","1038","Yes"
"263328","1038","Yes"
"390342","1038","Yes"
"263329","1038","Yes"
"390343","1038","Yes"
"390344","1038","Yes"
"263330","1038","Yes"
"390345","1038","Yes"
"136012","1038","Yes"
"485839","1038","Yes"
"136013","1038","Yes"
"485840","1038","Yes"
"263331","1038","Yes"
"485841","1038","Yes"
"263332","1038","Yes"
"485842","1038","Yes"
"263333","1038","Yes"
"485843","1038","Yes"
"390349","1038","Yes"
"390350","1038","Yes"
"263334","1038","Yes"
"136015","1038","Yes"
"263335","1038","Yes"
"136016","1038","Yes"
"485844","1038","Yes"
"390352","1038","Yes"
"263336","1038","Yes"
"485846","1038","Yes"
"263337","1038","Yes"
"263338","1038","Yes"
"263339","1038","Yes"
"390353","1038","Yes"
"390354","1038","Yes"
"390355","1038","Yes"
"485848","1038","Yes"
"390358","1038","Yes"
"485851","1038","Yes"
"136019","1038","Yes"
"263340","1038","Yes"
"390359","1038","Yes"
"136020","1038","Yes"
"390361","1038","Yes"
"390363","1038","Yes"
"390364","1038","Yes"
"390365","1038","Yes"
"390366","1038","Yes"
"390367","1038","Yes"
"390368","1038","Yes"
"136021","1038","Yes"
"263346","1038","Yes"
"390370","1038","Yes"
"263347","1038","Yes"
"136022","1038","Yes"
"485857","1038","Yes"
"390372","1038","Yes"
"263348","1038","Yes"
"263349","1038","Yes"
"136023","1038","Yes"
"136024","1038","Yes"
"136025","1038","Yes"
"485861","1038","Yes"
"263350","1038","Yes"
"390374","1038","Yes"
"136026","1038","Yes"
"485862","1038","Yes"
