"genesysId","datasetId","value"
"263309","1038","Compact"
"390335","1038","Compact"
"263308","1038","Semi-compact"
"263310","1038","Semi-compact"
"263324","1038","Semi-compact"
"390354","1038","Semi-compact"
"390357","1038","Semi-compact"
"390358","1038","Semi-compact"
"136018","1038","Semi-compact"
"485850","1038","Semi-compact"
"263343","1038","Semi-compact"
"263344","1038","Semi-compact"
"485860","1038","Semi-compact"
"485862","1038","Semi-compact"
"135992","1038","Semi-loose"
"485824","1038","Semi-loose"
"263311","1038","Semi-loose"
"485827","1038","Semi-loose"
"485828","1038","Semi-loose"
"263312","1038","Semi-loose"
"485829","1038","Semi-loose"
"263315","1038","Semi-loose"
"390326","1038","Semi-loose"
"263316","1038","Semi-loose"
"263317","1038","Semi-loose"
"263320","1038","Semi-loose"
"135999","1038","Semi-loose"
"263321","1038","Semi-loose"
"390333","1038","Semi-loose"
"390334","1038","Semi-loose"
"136000","1038","Semi-loose"
"263322","1038","Semi-loose"
"485837","1038","Semi-loose"
"136012","1038","Semi-loose"
"485839","1038","Semi-loose"
"136013","1038","Semi-loose"
"485840","1038","Semi-loose"
"390347","1038","Semi-loose"
"485842","1038","Semi-loose"
"263333","1038","Semi-loose"
"485846","1038","Semi-loose"
"390355","1038","Semi-loose"
"485848","1038","Semi-loose"
"485851","1038","Semi-loose"
"263340","1038","Semi-loose"
"390359","1038","Semi-loose"
"136020","1038","Semi-loose"
"485852","1038","Semi-loose"
"263342","1038","Semi-loose"
"390364","1038","Semi-loose"
"485854","1038","Semi-loose"
"390366","1038","Semi-loose"
"263346","1038","Semi-loose"
"390371","1038","Semi-loose"
"263348","1038","Semi-loose"
"136023","1038","Semi-loose"
"390373","1038","Semi-loose"
"136027","1038","Semi-loose"
"390375","1038","Semi-loose"
"390376","1038","Semi-loose"
"136028","1038","Semi-loose"
"390377","1038","Semi-loose"
"485863","1038","Semi-loose"
"263351","1038","Semi-loose"
"263352","1038","Semi-loose"
"263353","1038","Semi-loose"
"390378","1038","Semi-loose"
"390379","1038","Semi-loose"
"485825","1038","Loose"
"485826","1038","Loose"
"135993","1038","Loose"
"390324","1038","Loose"
"390325","1038","Loose"
"135994","1038","Loose"
"135995","1038","Loose"
"485830","1038","Loose"
"135996","1038","Loose"
"263318","1038","Loose"
"485831","1038","Loose"
"485832","1038","Loose"
"485833","1038","Loose"
"263319","1038","Loose"
"390328","1038","Loose"
"135998","1038","Loose"
"485834","1038","Loose"
"390329","1038","Loose"
"390330","1038","Loose"
"390331","1038","Loose"
"390332","1038","Loose"
"136001","1038","Loose"
"136002","1038","Loose"
"263323","1038","Loose"
"390336","1038","Loose"
"390337","1038","Loose"
"136004","1038","Loose"
"263325","1038","Loose"
"136005","1038","Loose"
"390339","1038","Loose"
"390340","1038","Loose"
"136006","1038","Loose"
"390341","1038","Loose"
"136008","1038","Loose"
"263326","1038","Loose"
"485838","1038","Loose"
"136009","1038","Loose"
"263327","1038","Loose"
"263328","1038","Loose"
"390342","1038","Loose"
"263329","1038","Loose"
"390343","1038","Loose"
"136011","1038","Loose"
"390344","1038","Loose"
"263330","1038","Loose"
"390345","1038","Loose"
"263331","1038","Loose"
"485841","1038","Loose"
"263332","1038","Loose"
"485843","1038","Loose"
"390349","1038","Loose"
"390350","1038","Loose"
"263334","1038","Loose"
"136015","1038","Loose"
"263335","1038","Loose"
"136016","1038","Loose"
"136017","1038","Loose"
"390351","1038","Loose"
"485844","1038","Loose"
"390352","1038","Loose"
"263336","1038","Loose"
"263337","1038","Loose"
"263338","1038","Loose"
"263339","1038","Loose"
"390353","1038","Loose"
"136019","1038","Loose"
"390360","1038","Loose"
"390361","1038","Loose"
"390363","1038","Loose"
"390365","1038","Loose"
"485855","1038","Loose"
"390367","1038","Loose"
"390368","1038","Loose"
"390369","1038","Loose"
"136021","1038","Loose"
"390370","1038","Loose"
"263347","1038","Loose"
"136022","1038","Loose"
"485857","1038","Loose"
"390372","1038","Loose"
"263349","1038","Loose"
"485858","1038","Loose"
"485859","1038","Loose"
"136024","1038","Loose"
"136025","1038","Loose"
"485861","1038","Loose"
"263350","1038","Loose"
"390374","1038","Loose"
"136026","1038","Loose"
"263314","1038","Mixed"
"279330","1038","Compact"
"279332","1038","Compact"
"406292","1038","Compact"
"152106","1038","Compact"
"24203","1038","Compact"
"279370","1038","Compact"
"152080","1038","Semi-compact"
"24170","1038","Semi-compact"
"279325","1038","Semi-compact"
"406286","1038","Semi-compact"
"279326","1038","Semi-compact"
"152081","1038","Semi-compact"
"24172","1038","Semi-compact"
"152082","1038","Semi-compact"
"24174","1038","Semi-compact"
"279331","1038","Semi-compact"
"24175","1038","Semi-compact"
