"genesysId","datasetId","value"
"485825","1038","Lax"
"485826","1038","Lax"
"135993","1038","Lax"
"390324","1038","Lax"
"390325","1038","Lax"
"135994","1038","Lax"
"485830","1038","Lax"
"135996","1038","Lax"
"263318","1038","Lax"
"485831","1038","Lax"
"485832","1038","Lax"
"485833","1038","Lax"
"263319","1038","Lax"
"390330","1038","Lax"
"136001","1038","Lax"
"136002","1038","Lax"
"263323","1038","Lax"
"390336","1038","Lax"
"390337","1038","Lax"
"136004","1038","Lax"
"263325","1038","Lax"
"136005","1038","Lax"
"390339","1038","Lax"
"390340","1038","Lax"
"136006","1038","Lax"
"390341","1038","Lax"
"136008","1038","Lax"
"263326","1038","Lax"
"485838","1038","Lax"
"136009","1038","Lax"
"263327","1038","Lax"
"263328","1038","Lax"
"390342","1038","Lax"
"263329","1038","Lax"
"390343","1038","Lax"
"136011","1038","Lax"
"390344","1038","Lax"
"263330","1038","Lax"
"263331","1038","Lax"
"485841","1038","Lax"
"263332","1038","Lax"
"485843","1038","Lax"
"390349","1038","Lax"
"390350","1038","Lax"
"263334","1038","Lax"
"136015","1038","Lax"
"263335","1038","Lax"
"136016","1038","Lax"
"136017","1038","Lax"
"390351","1038","Lax"
"485844","1038","Lax"
"390352","1038","Lax"
"263336","1038","Lax"
"485846","1038","Lax"
"263337","1038","Lax"
"263338","1038","Lax"
"263339","1038","Lax"
"390353","1038","Lax"
"136019","1038","Lax"
"390360","1038","Lax"
"390361","1038","Lax"
"390363","1038","Lax"
"390365","1038","Lax"
"485855","1038","Lax"
"390367","1038","Lax"
"390368","1038","Lax"
"390369","1038","Lax"
"136021","1038","Lax"
"390370","1038","Lax"
"263347","1038","Lax"
"136022","1038","Lax"
"485857","1038","Lax"
"390372","1038","Lax"
"263348","1038","Lax"
"263349","1038","Lax"
"485858","1038","Lax"
"485859","1038","Lax"
"136024","1038","Lax"
"136025","1038","Lax"
"485861","1038","Lax"
"263350","1038","Lax"
"390374","1038","Lax"
"136026","1038","Lax"
"263308","1038","Oval"
"263309","1038","Oval"
"390334","1038","Oval"
"390335","1038","Oval"
"263324","1038","Oval"
"390347","1038","Oval"
"390358","1038","Oval"
"136018","1038","Oval"
"263344","1038","Oval"
"485860","1038","Oval"
"485862","1038","Oval"
"263352","1038","Oval"
"135992","1038","Elliptical"
"263310","1038","Elliptical"
"485824","1038","Elliptical"
"263311","1038","Elliptical"
"485827","1038","Elliptical"
"485828","1038","Elliptical"
"263312","1038","Elliptical"
"485829","1038","Elliptical"
"263315","1038","Elliptical"
"390326","1038","Elliptical"
"135995","1038","Elliptical"
"263316","1038","Elliptical"
"263317","1038","Elliptical"
"263320","1038","Elliptical"
"390328","1038","Elliptical"
"135998","1038","Elliptical"
"485834","1038","Elliptical"
"390329","1038","Elliptical"
"390331","1038","Elliptical"
"135999","1038","Elliptical"
"390332","1038","Elliptical"
"263321","1038","Elliptical"
"390333","1038","Elliptical"
"136000","1038","Elliptical"
"263322","1038","Elliptical"
"485837","1038","Elliptical"
"390345","1038","Elliptical"
"136012","1038","Elliptical"
"485839","1038","Elliptical"
"136013","1038","Elliptical"
"485840","1038","Elliptical"
"485842","1038","Elliptical"
"263333","1038","Elliptical"
"390354","1038","Elliptical"
"390355","1038","Elliptical"
"485848","1038","Elliptical"
"390357","1038","Elliptical"
"485850","1038","Elliptical"
"485851","1038","Elliptical"
"263340","1038","Elliptical"
"390359","1038","Elliptical"
"136020","1038","Elliptical"
"485852","1038","Elliptical"
"263342","1038","Elliptical"
"263343","1038","Elliptical"
"390364","1038","Elliptical"
"485854","1038","Elliptical"
"390366","1038","Elliptical"
"263346","1038","Elliptical"
"390371","1038","Elliptical"
"136023","1038","Elliptical"
"390373","1038","Elliptical"
"136027","1038","Elliptical"
"390375","1038","Elliptical"
"390376","1038","Elliptical"
"136028","1038","Elliptical"
"390377","1038","Elliptical"
"485863","1038","Elliptical"
"263351","1038","Elliptical"
"263353","1038","Elliptical"
"390378","1038","Elliptical"
"390379","1038","Elliptical"
"406289","1038","Lax"
"279328","1038","Lax"
"406290","1038","Lax"
"152083","1038","Lax"
"152084","1038","Lax"
"406295","1038","Lax"
"24179","1038","Lax"
"279336","1038","Lax"
"24181","1038","Lax"
"279338","1038","Lax"
"406297","1038","Lax"
"24182","1038","Lax"
"279340","1038","Lax"
"152089","1038","Lax"
"152091","1038","Lax"
"152092","1038","Lax"
"24183","1038","Lax"
"406301","1038","Lax"
"279341","1038","Lax"
"24185","1038","Lax"
"152093","1038","Lax"
"406302","1038","Lax"
"406303","1038","Lax"
"152094","1038","Lax"
"152095","1038","Lax"
"152096","1038","Lax"
"152098","1038","Lax"
"152100","1038","Lax"
"24186","1038","Lax"
"279346","1038","Lax"
"152101","1038","Lax"
"279347","1038","Lax"
"279348","1038","Lax"
"24189","1038","Lax"
"279349","1038","Lax"
"279350","1038","Lax"
"24190","1038","Lax"
"406306","1038","Lax"
"406307","1038","Lax"
"152102","1038","Lax"
"152103","1038","Lax"
"406308","1038","Lax"
"152104","1038","Lax"
"279351","1038","Lax"
"24191","1038","Lax"
"279352","1038","Lax"
"152105","1038","Lax"
"406309","1038","Lax"
"406310","1038","Lax"
"279353","1038","Lax"
"279354","1038","Lax"
"279355","1038","Lax"
"279356","1038","Lax"
"152107","1038","Lax"
"152108","1038","Lax"
"406311","1038","Lax"
"279359","1038","Lax"
"152110","1038","Lax"
"24196","1038","Lax"
"152111","1038","Lax"
"279360","1038","Lax"
"279361","1038","Lax"
"152112","1038","Lax"
"279362","1038","Lax"
"152113","1038","Lax"
"279363","1038","Lax"
"152115","1038","Lax"
"152117","1038","Lax"
"24198","1038","Lax"
"152118","1038","Lax"
"24200","1038","Lax"
"152119","1038","Lax"
"279365","1038","Lax"
"24201","1038","Lax"
"406318","1038","Lax"
"279366","1038","Lax"
"279371","1038","Lax"
"152121","1038","Lax"
"152122","1038","Lax"
"281462","1038","Lax"
"279331","1038","Oval"
"279332","1038","Oval"
"406292","1038","Oval"
"24175","1038","Oval"
"24188","1038","Oval"
"152106","1038","Oval"
"24192","1038","Oval"
"24193","1038","Oval"
"406313","1038","Oval"
"152116","1038","Oval"
"24203","1038","Oval"
"406322","1038","Oval"
"279368","1038","Oval"
"279369","1038","Oval"
"279370","1038","Oval"
"24204","1038","Oval"
"279376","1038","Oval"
"406323","1038","Oval"
"152077","1038","Elliptical"
"279323","1038","Elliptical"
"152078","1038","Elliptical"
"152079","1038","Elliptical"
"24169","1038","Elliptical"
"152080","1038","Elliptical"
"279324","1038","Elliptical"
"24170","1038","Elliptical"
"279325","1038","Elliptical"
"406286","1038","Elliptical"
"279326","1038","Elliptical"
"152081","1038","Elliptical"
"24172","1038","Elliptical"
"152082","1038","Elliptical"
"406288","1038","Elliptical"
"24174","1038","Elliptical"
"279329","1038","Elliptical"
"279330","1038","Elliptical"
"406291","1038","Elliptical"
"152085","1038","Elliptical"
"152086","1038","Elliptical"
"406293","1038","Elliptical"
"279333","1038","Elliptical"
"24176","1038","Elliptical"
"152087","1038","Elliptical"
"279335","1038","Elliptical"
"24178","1038","Elliptical"
"406296","1038","Elliptical"
"24180","1038","Elliptical"
"279337","1038","Elliptical"
"279339","1038","Elliptical"
"152097","1038","Elliptical"
"24187","1038","Elliptical"
"279357","1038","Elliptical"
"406314","1038","Elliptical"
"406316","1038","Elliptical"
"152109","1038","Elliptical"
"152114","1038","Elliptical"
"279364","1038","Elliptical"
"406319","1038","Elliptical"
"24202","1038","Elliptical"
"406321","1038","Elliptical"
"279367","1038","Elliptical"
"279373","1038","Elliptical"
"152123","1038","Elliptical"
"279374","1038","Elliptical"
"24205","1038","Elliptical"
"279375","1038","Elliptical"
"24206","1038","Elliptical"
"152124","1038","Elliptical"
"152125","1038","Elliptical"
"279377","1038","Elliptical"
"153336","1038","Elliptical"
"407613","1038","Elliptical"
"279334","1038","Sprankletop"
"40251","1038","Lax"
"167906","1038","Lax"
"40253","1038","Lax"
"40254","1038","Lax"
"40255","1038","Lax"
"40261","1038","Lax"
"167910","1038","Lax"
"40262","1038","Lax"
"40264","1038","Lax"
"311084","1038","Lax"
"295188","1038","Lax"
"311085","1038","Lax"
"167912","1038","Lax"
"40265","1038","Lax"
"311086","1038","Lax"
"40266","1038","Lax"
"311087","1038","Lax"
"295189","1038","Lax"
"311088","1038","Lax"
"295190","1038","Lax"
"311089","1038","Lax"
"295191","1038","Lax"
"40267","1038","Lax"
"295192","1038","Lax"
"167917","1038","Lax"
"167918","1038","Lax"
"311094","1038","Lax"
"295193","1038","Lax"
"167919","1038","Lax"
"295194","1038","Lax"
"295195","1038","Lax"
"40270","1038","Lax"
"295196","1038","Lax"
"311095","1038","Lax"
"40271","1038","Lax"
"167920","1038","Lax"
"295197","1038","Lax"
"167921","1038","Lax"
"295198","1038","Lax"
"311099","1038","Lax"
"311103","1038","Lax"
"40274","1038","Lax"
"167923","1038","Lax"
"40276","1038","Lax"
"311104","1038","Lax"
