"genesysId","datasetId","value"
"136005","1038","Purple"
"485844","1038","Purple"
"263336","1038","Purple"
"390355","1038","Purple"
"485848","1038","Purple"
"136020","1038","Purple"
"485852","1038","Purple"
"263342","1038","Purple"
"263343","1038","Purple"
"390364","1038","Purple"
"485854","1038","Purple"
"485855","1038","Purple"
"390368","1038","Purple"
"390369","1038","Purple"
"390371","1038","Purple"
"390372","1038","Purple"
"263349","1038","Purple"
"485858","1038","Purple"
"136023","1038","Purple"
"136024","1038","Purple"
"390374","1038","Purple"
"485862","1038","Purple"
"390375","1038","Purple"
"390376","1038","Purple"
"136028","1038","Purple"
"263353","1038","Purple"
"263308","1038","Red"
"485825","1038","Red"
"485830","1038","Red"
"390350","1038","Red"
"263335","1038","Red"
"390352","1038","Red"
"263337","1038","Red"
"390357","1038","Red"
"390358","1038","Red"
"136018","1038","Red"
"136019","1038","Red"
"390363","1038","Red"
"263344","1038","Red"
"390370","1038","Red"
"485857","1038","Red"
"263350","1038","Red"
"390377","1038","Red"
"263351","1038","Red"
"390379","1038","Red"
"135992","1038","Purple-red"
"263310","1038","Purple-red"
"485824","1038","Purple-red"
"263311","1038","Purple-red"
"485828","1038","Purple-red"
"263312","1038","Purple-red"
"263314","1038","Purple-red"
"390324","1038","Purple-red"
"390325","1038","Purple-red"
"135994","1038","Purple-red"
"263315","1038","Purple-red"
"135995","1038","Purple-red"
"263316","1038","Purple-red"
"263317","1038","Purple-red"
"135996","1038","Purple-red"
"263318","1038","Purple-red"
"390329","1038","Purple-red"
"390330","1038","Purple-red"
"390331","1038","Purple-red"
"390332","1038","Purple-red"
"263321","1038","Purple-red"
"390334","1038","Purple-red"
"136000","1038","Purple-red"
"390335","1038","Purple-red"
"263322","1038","Purple-red"
"263324","1038","Purple-red"
"390336","1038","Purple-red"
"390340","1038","Purple-red"
"390341","1038","Purple-red"
"136009","1038","Purple-red"
"390342","1038","Purple-red"
"263329","1038","Purple-red"
"390343","1038","Purple-red"
"136011","1038","Purple-red"
"390344","1038","Purple-red"
"263330","1038","Purple-red"
"136012","1038","Purple-red"
"485839","1038","Purple-red"
"485840","1038","Purple-red"
"263331","1038","Purple-red"
"390347","1038","Purple-red"
"485841","1038","Purple-red"
"263332","1038","Purple-red"
"263333","1038","Purple-red"
"390349","1038","Purple-red"
"136015","1038","Purple-red"
"136016","1038","Purple-red"
"136017","1038","Purple-red"
"390351","1038","Purple-red"
"485846","1038","Purple-red"
"263338","1038","Purple-red"
"263339","1038","Purple-red"
"390353","1038","Purple-red"
"390354","1038","Purple-red"
"485850","1038","Purple-red"
"485851","1038","Purple-red"
"390359","1038","Purple-red"
"390360","1038","Purple-red"
"390361","1038","Purple-red"
"390366","1038","Purple-red"
"390367","1038","Purple-red"
"263346","1038","Purple-red"
"263348","1038","Purple-red"
"485860","1038","Purple-red"
"136025","1038","Purple-red"
"485861","1038","Purple-red"
"136026","1038","Purple-red"
"136027","1038","Purple-red"
"485863","1038","Purple-red"
"263309","1038","Red-purple"
"485826","1038","Red-purple"
"485827","1038","Red-purple"
"135993","1038","Red-purple"
"485829","1038","Red-purple"
"390326","1038","Red-purple"
"485831","1038","Red-purple"
"485832","1038","Red-purple"
"485833","1038","Red-purple"
"263319","1038","Red-purple"
"263320","1038","Red-purple"
"390328","1038","Red-purple"
"135998","1038","Red-purple"
"485834","1038","Red-purple"
"135999","1038","Red-purple"
"390333","1038","Red-purple"
"136001","1038","Red-purple"
"136002","1038","Red-purple"
"263323","1038","Red-purple"
"485837","1038","Red-purple"
"390337","1038","Red-purple"
"136004","1038","Red-purple"
"263325","1038","Red-purple"
"390339","1038","Red-purple"
"136006","1038","Red-purple"
"136008","1038","Red-purple"
"263326","1038","Red-purple"
"485838","1038","Red-purple"
"263327","1038","Red-purple"
"263328","1038","Red-purple"
"390345","1038","Red-purple"
"136013","1038","Red-purple"
"485842","1038","Red-purple"
"485843","1038","Red-purple"
"263334","1038","Red-purple"
"263340","1038","Red-purple"
"390365","1038","Red-purple"
"136021","1038","Red-purple"
"263347","1038","Red-purple"
"136022","1038","Red-purple"
"485859","1038","Red-purple"
"390373","1038","Red-purple"
"263352","1038","Red-purple"
"390378","1038","Red-purple"
"24170","1038","Purple"
"279329","1038","Purple"
"24188","1038","Purple"
"279349","1038","Purple"
"24192","1038","Purple"
"152108","1038","Purple"
"406311","1038","Purple"
"24193","1038","Purple"
"279357","1038","Purple"
"406316","1038","Purple"
"24196","1038","Purple"
"279360","1038","Purple"
"152114","1038","Purple"
"279364","1038","Purple"
"152116","1038","Purple"
"152117","1038","Purple"
"152118","1038","Purple"
"152119","1038","Purple"
"279365","1038","Purple"
"406321","1038","Purple"
"279367","1038","Purple"
"279373","1038","Purple"
"279374","1038","Purple"
"24205","1038","Purple"
"279375","1038","Purple"
"152077","1038","Red"
"279323","1038","Red"
"152078","1038","Red"
"24169","1038","Red"
"152083","1038","Red"
"24187","1038","Red"
"279347","1038","Red"
"279348","1038","Red"
"406306","1038","Red"
"406307","1038","Red"
"152102","1038","Red"
"152103","1038","Red"
"406308","1038","Red"
"152104","1038","Red"
"279353","1038","Red"
"279354","1038","Red"
"279355","1038","Red"
"279356","1038","Red"
"152106","1038","Red"
"152107","1038","Red"
"152109","1038","Red"
"279361","1038","Red"
"152113","1038","Red"
"279363","1038","Red"
"152115","1038","Red"
"406322","1038","Red"
"279370","1038","Red"
"24204","1038","Red"
"279371","1038","Red"
"152121","1038","Red"
"152122","1038","Red"
"279376","1038","Red"
"406323","1038","Red"
"152124","1038","Red"
"279377","1038","Red"
"152112","1038","Tan"
"152079","1038","Purple-red"
"279324","1038","Purple-red"
"279325","1038","Purple-red"
"279326","1038","Purple-red"
"152081","1038","Purple-red"
"24172","1038","Purple-red"
"279328","1038","Purple-red"
"24174","1038","Purple-red"
"279330","1038","Purple-red"
"279331","1038","Purple-red"
"406291","1038","Purple-red"
"279332","1038","Purple-red"
"406292","1038","Purple-red"
"152085","1038","Purple-red"
"152086","1038","Purple-red"
"24175","1038","Purple-red"
"24176","1038","Purple-red"
"152087","1038","Purple-red"
"279334","1038","Purple-red"
"406295","1038","Purple-red"
"279335","1038","Purple-red"
"24178","1038","Purple-red"
"279336","1038","Purple-red"
"24180","1038","Purple-red"
"279337","1038","Purple-red"
"279338","1038","Purple-red"
"279339","1038","Purple-red"
"406297","1038","Purple-red"
"152091","1038","Purple-red"
"152092","1038","Purple-red"
"279341","1038","Purple-red"
"152093","1038","Purple-red"
"406302","1038","Purple-red"
"406303","1038","Purple-red"
"152094","1038","Purple-red"
"152095","1038","Purple-red"
"152100","1038","Purple-red"
"24186","1038","Purple-red"
"279346","1038","Purple-red"
"152101","1038","Purple-red"
"24190","1038","Purple-red"
"279351","1038","Purple-red"
"24191","1038","Purple-red"
"279352","1038","Purple-red"
"406309","1038","Purple-red"
"406310","1038","Purple-red"
"406313","1038","Purple-red"
"152111","1038","Purple-red"
"279362","1038","Purple-red"
"24198","1038","Purple-red"
"406319","1038","Purple-red"
"279366","1038","Purple-red"
"24202","1038","Purple-red"
"24203","1038","Purple-red"
"279369","1038","Purple-red"
"152123","1038","Purple-red"
"24206","1038","Purple-red"
"153336","1038","Purple-red"
"407613","1038","Purple-red"
"281462","1038","Purple-red"
"152080","1038","Red-purple"
"406286","1038","Red-purple"
"406288","1038","Red-purple"
"406289","1038","Red-purple"
"406290","1038","Red-purple"
"152084","1038","Red-purple"
"406293","1038","Red-purple"
"279333","1038","Red-purple"
"24177","1038","Red-purple"
"406296","1038","Red-purple"
"24179","1038","Red-purple"
"24181","1038","Red-purple"
"24182","1038","Red-purple"
"279340","1038","Red-purple"
"152089","1038","Red-purple"
"24183","1038","Red-purple"
"406301","1038","Red-purple"
"24185","1038","Red-purple"
"152096","1038","Red-purple"
"152097","1038","Red-purple"
"152098","1038","Red-purple"
"24189","1038","Red-purple"
