"genesysId","datasetId","value"
"135999","1038","Resistant"
"136001","1038","Resistant"
"263327","1038","Resistant"
"263310","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390332","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263321","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390333","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390334","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136000","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390339","1038"," (1.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485824","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485825","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263311","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485830","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485831","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390328","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"135998","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485834","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390331","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390337","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390340","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485838","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263332","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390350","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485848","1038"," (2.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485827","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263312","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485829","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390325","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390330","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263326","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263328","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390342","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136012","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263335","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136021","1038"," (2.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263309","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263314","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390324","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263316","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263320","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390329","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263322","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390336","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263329","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390345","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263331","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485841","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390351","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485846","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263346","1038"," (3.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263308","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485826","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485828","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"135994","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263315","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390326","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"135995","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485832","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263319","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136004","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136006","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390343","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485839","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485842","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263333","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390349","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136017","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263338","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485851","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136019","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263353","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390378","1038"," (3.5) (1.0 = Resistant, 5.0 = Susceptible)"
"135993","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"135996","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263318","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485833","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136002","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263323","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485837","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263325","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136005","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390341","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136008","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136009","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263330","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136013","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485840","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390347","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485843","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263334","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136015","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136016","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390352","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263336","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263337","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263339","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390353","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390355","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390358","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136018","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263340","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390363","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390364","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390365","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390367","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390368","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390369","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390370","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263347","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485857","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390372","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263349","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485858","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136024","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136025","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485861","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"263350","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390374","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"136026","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390377","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"485863","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"390379","1038"," (4.0) (1.0 = Resistant, 5.0 = Susceptible)"
"135992","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263317","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390335","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"263324","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"136011","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"390344","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
"485844","1038"," (4.5) (1.0 = Resistant, 5.0 = Susceptible)"
