"genesysId","datasetId","value"
"263308","1038","Single"
"135992","1038","Single"
"263310","1038","Single"
"485824","1038","Single"
"485825","1038","Single"
"485826","1038","Single"
"263311","1038","Single"
"485827","1038","Single"
"485828","1038","Single"
"135993","1038","Single"
"263312","1038","Single"
"485829","1038","Single"
"263314","1038","Single"
"390324","1038","Single"
"390325","1038","Single"
"135994","1038","Single"
"263315","1038","Single"
"390326","1038","Single"
"135995","1038","Single"
"263316","1038","Single"
"485830","1038","Single"
"263317","1038","Single"
"135996","1038","Single"
"263318","1038","Single"
"485831","1038","Single"
"485832","1038","Single"
"485833","1038","Single"
"263319","1038","Single"
"263320","1038","Single"
"390328","1038","Single"
"135998","1038","Single"
"485834","1038","Single"
"390329","1038","Single"
"390330","1038","Single"
"390331","1038","Single"
"135999","1038","Single"
"390332","1038","Single"
"263321","1038","Single"
"390333","1038","Single"
"390334","1038","Single"
"136000","1038","Single"
"390335","1038","Single"
"136001","1038","Single"
"263322","1038","Single"
"136002","1038","Single"
"263323","1038","Single"
"263324","1038","Single"
"390336","1038","Single"
"485837","1038","Single"
"390337","1038","Single"
"136004","1038","Single"
"263325","1038","Single"
"136005","1038","Single"
"390339","1038","Single"
"390340","1038","Single"
"136006","1038","Single"
"390341","1038","Single"
"136008","1038","Single"
"263326","1038","Single"
"485838","1038","Single"
"136009","1038","Single"
"263327","1038","Single"
"263328","1038","Single"
"390342","1038","Single"
"263329","1038","Single"
"390343","1038","Single"
"136011","1038","Single"
"390344","1038","Single"
"263330","1038","Single"
"390345","1038","Single"
"136012","1038","Single"
"485839","1038","Single"
"136013","1038","Single"
"485840","1038","Single"
"263331","1038","Single"
"390347","1038","Single"
"485841","1038","Single"
"263332","1038","Single"
"485842","1038","Single"
"263333","1038","Single"
"485843","1038","Single"
"390349","1038","Single"
"390350","1038","Single"
"263334","1038","Single"
"136015","1038","Single"
"263335","1038","Single"
"136016","1038","Single"
"136017","1038","Single"
"390351","1038","Single"
"485844","1038","Single"
"390352","1038","Single"
"263336","1038","Single"
"485846","1038","Single"
"263337","1038","Single"
"263338","1038","Single"
"263339","1038","Single"
"390353","1038","Single"
"390354","1038","Single"
"390355","1038","Single"
"485848","1038","Single"
"390357","1038","Single"
"390358","1038","Single"
"136018","1038","Single"
"485850","1038","Single"
"485851","1038","Single"
"136019","1038","Single"
"263340","1038","Single"
"390359","1038","Single"
"390360","1038","Single"
"136020","1038","Single"
"390361","1038","Single"
"485852","1038","Single"
"263342","1038","Single"
"263343","1038","Single"
"390363","1038","Single"
"390364","1038","Single"
"263344","1038","Single"
"485854","1038","Single"
"390365","1038","Single"
"485855","1038","Single"
"390366","1038","Single"
"390367","1038","Single"
"390368","1038","Single"
"390369","1038","Single"
"136021","1038","Single"
"263346","1038","Single"
"390370","1038","Single"
"263347","1038","Single"
"136022","1038","Single"
"485857","1038","Single"
"390371","1038","Single"
"390372","1038","Single"
"263348","1038","Single"
"263349","1038","Single"
"485858","1038","Single"
"136023","1038","Single"
"485859","1038","Single"
"485860","1038","Single"
"390373","1038","Single"
"136024","1038","Single"
"136025","1038","Single"
"485861","1038","Single"
"263350","1038","Single"
"390374","1038","Single"
"136026","1038","Single"
"485862","1038","Single"
"136027","1038","Single"
"390375","1038","Single"
"390376","1038","Single"
"136028","1038","Single"
"390377","1038","Single"
"485863","1038","Single"
"263351","1038","Single"
"263352","1038","Single"
"263353","1038","Single"
"390378","1038","Single"
"390379","1038","Single"
"263309","1038","Twin"
"152077","1038","Single"
"279323","1038","Single"
"152078","1038","Single"
"152079","1038","Single"
"24169","1038","Single"
"152080","1038","Single"
"279324","1038","Single"
"24170","1038","Single"
"279325","1038","Single"
"406286","1038","Single"
"279326","1038","Single"
"152081","1038","Single"
"24172","1038","Single"
"152082","1038","Single"
"406288","1038","Single"
"406289","1038","Single"
"279328","1038","Single"
"406290","1038","Single"
"24174","1038","Single"
"152083","1038","Single"
"152084","1038","Single"
"279329","1038","Single"
"279330","1038","Single"
"279331","1038","Single"
"406291","1038","Single"
"279332","1038","Single"
"406292","1038","Single"
"152085","1038","Single"
"152086","1038","Single"
"24175","1038","Single"
"406293","1038","Single"
"279333","1038","Single"
"24176","1038","Single"
"152087","1038","Single"
"279334","1038","Single"
"406295","1038","Single"
"24177","1038","Single"
"279335","1038","Single"
"24178","1038","Single"
"406296","1038","Single"
"24179","1038","Single"
"279336","1038","Single"
"24180","1038","Single"
"24181","1038","Single"
"279337","1038","Single"
"279338","1038","Single"
"279339","1038","Single"
"406297","1038","Single"
"24182","1038","Single"
"279340","1038","Single"
"152089","1038","Single"
"152091","1038","Single"
"152092","1038","Single"
"24183","1038","Single"
"406301","1038","Single"
"279341","1038","Single"
"24185","1038","Single"
"152093","1038","Single"
