"genesysId","datasetId","value"
"263308","1038","Non"
"263309","1038","Non"
"135992","1038","Non"
"263310","1038","Non"
"485824","1038","Non"
"485825","1038","Non"
"485826","1038","Non"
"263311","1038","Non"
"485827","1038","Non"
"485828","1038","Non"
"135993","1038","Non"
"263312","1038","Non"
"485829","1038","Non"
"263314","1038","Non"
"390324","1038","Non"
"390325","1038","Non"
"135994","1038","Non"
"263315","1038","Non"
"390326","1038","Non"
"135995","1038","Non"
"263316","1038","Non"
"485830","1038","Non"
"263317","1038","Non"
"135996","1038","Non"
"263318","1038","Non"
"485831","1038","Non"
"485832","1038","Non"
"485833","1038","Non"
"263319","1038","Non"
"263320","1038","Non"
"390328","1038","Non"
"135998","1038","Non"
"485834","1038","Non"
"390329","1038","Non"
"390330","1038","Non"
"390331","1038","Non"
"135999","1038","Non"
"390332","1038","Non"
"263321","1038","Non"
"390333","1038","Non"
"390334","1038","Non"
"136000","1038","Non"
"390335","1038","Non"
"136001","1038","Non"
"263322","1038","Non"
"136002","1038","Non"
"263323","1038","Non"
"263324","1038","Non"
"390336","1038","Non"
"485837","1038","Non"
"390337","1038","Non"
"136004","1038","Non"
"263325","1038","Non"
"136005","1038","Non"
"390340","1038","Non"
"136006","1038","Non"
"390341","1038","Non"
"136008","1038","Non"
"263326","1038","Non"
"485838","1038","Non"
"136009","1038","Non"
"263327","1038","Non"
"263328","1038","Non"
"390342","1038","Non"
"263329","1038","Non"
"390343","1038","Non"
"136011","1038","Non"
"390344","1038","Non"
"263330","1038","Non"
"390345","1038","Non"
"136012","1038","Non"
"485839","1038","Non"
"136013","1038","Non"
"485840","1038","Non"
"263331","1038","Non"
"390347","1038","Non"
"485841","1038","Non"
"263332","1038","Non"
"485842","1038","Non"
"263333","1038","Non"
"485843","1038","Non"
"390349","1038","Non"
"390350","1038","Non"
"263334","1038","Non"
"136015","1038","Non"
"263335","1038","Non"
"136016","1038","Non"
"136017","1038","Non"
"390351","1038","Non"
"485844","1038","Non"
"390352","1038","Non"
"263336","1038","Non"
"485846","1038","Non"
"263337","1038","Non"
"263338","1038","Non"
"263339","1038","Non"
"390353","1038","Non"
"390354","1038","Non"
"390355","1038","Non"
"485848","1038","Non"
"390357","1038","Non"
"390358","1038","Non"
"136018","1038","Non"
"485850","1038","Non"
"485851","1038","Non"
"136019","1038","Non"
"263340","1038","Non"
"390359","1038","Non"
"390360","1038","Non"
"136020","1038","Non"
"390361","1038","Non"
"485852","1038","Non"
"263342","1038","Non"
"263343","1038","Non"
"390363","1038","Non"
"390364","1038","Non"
"263344","1038","Non"
"485854","1038","Non"
"390365","1038","Non"
"485855","1038","Non"
"390366","1038","Non"
"390367","1038","Non"
"390368","1038","Non"
"390369","1038","Non"
"136021","1038","Non"
"263346","1038","Non"
"390370","1038","Non"
"263347","1038","Non"
"136022","1038","Non"
"485857","1038","Non"
"390371","1038","Non"
"390372","1038","Non"
"263348","1038","Non"
"263349","1038","Non"
"485858","1038","Non"
"136023","1038","Non"
"485859","1038","Non"
"485860","1038","Non"
"390373","1038","Non"
"136024","1038","Non"
"136025","1038","Non"
"485861","1038","Non"
"263350","1038","Non"
"390374","1038","Non"
"136026","1038","Non"
"485862","1038","Non"
"136027","1038","Non"
"390375","1038","Non"
"390376","1038","Non"
"136028","1038","Non"
"390377","1038","Non"
"485863","1038","Non"
"263351","1038","Non"
"263352","1038","Non"
"263353","1038","Non"
"390378","1038","Non"
"390379","1038","Non"
"390339","1038","Moderate"
"152077","1038","Non"
"279323","1038","Non"
"152078","1038","Non"
"152079","1038","Non"
"24169","1038","Non"
"152080","1038","Non"
"279324","1038","Non"
"24170","1038","Non"
"279325","1038","Non"
"406286","1038","Non"
"279326","1038","Non"
"152081","1038","Non"
"24172","1038","Non"
"152082","1038","Non"
"406288","1038","Non"
"406289","1038","Non"
"279328","1038","Non"
"406290","1038","Non"
"24174","1038","Non"
"152083","1038","Non"
"152084","1038","Non"
"279329","1038","Non"
"279330","1038","Non"
"279331","1038","Non"
"406291","1038","Non"
"279332","1038","Non"
"406292","1038","Non"
"152085","1038","Non"
"152086","1038","Non"
"24175","1038","Non"
"406293","1038","Non"
"279333","1038","Non"
"24176","1038","Non"
"152087","1038","Non"
"279334","1038","Non"
"406295","1038","Non"
"24177","1038","Non"
"279335","1038","Non"
"406296","1038","Non"
"24179","1038","Non"
"279336","1038","Non"
"24180","1038","Non"
"24181","1038","Non"
"279337","1038","Non"
"279338","1038","Non"
"279339","1038","Non"
"406297","1038","Non"
"24182","1038","Non"
"279340","1038","Non"
"152089","1038","Non"
"152091","1038","Non"
"152092","1038","Non"
"24183","1038","Non"
"406301","1038","Non"
"279341","1038","Non"
"24185","1038","Non"
"152093","1038","Non"
"406302","1038","Non"
"406303","1038","Non"
"152094","1038","Non"
"152095","1038","Non"
"152096","1038","Non"
"152097","1038","Non"
"152098","1038","Non"
"152100","1038","Non"
"24186","1038","Non"
"279346","1038","Non"
"152101","1038","Non"
"24187","1038","Non"
"24188","1038","Non"
"279347","1038","Non"
"279348","1038","Non"
"24189","1038","Non"
"279349","1038","Non"
"279350","1038","Non"
"24190","1038","Non"
"406306","1038","Non"
"406307","1038","Non"
"152102","1038","Non"
"152103","1038","Non"
"406308","1038","Non"
"152104","1038","Non"
"279351","1038","Non"
"24191","1038","Non"
"279352","1038","Non"
"152105","1038","Non"
"406309","1038","Non"
"406310","1038","Non"
"279353","1038","Non"
"279354","1038","Non"
"279355","1038","Non"
"279356","1038","Non"
"152106","1038","Non"
"24192","1038","Non"
"152107","1038","Non"
"152108","1038","Non"
"406311","1038","Non"
"24193","1038","Non"
"279357","1038","Non"
