"genesysId","datasetId","value"
"135992","1038","Yes"
"390326","1038","Yes"
"263317","1038","Yes"
"263320","1038","Yes"
"390328","1038","Yes"
"135998","1038","Yes"
"485834","1038","Yes"
"390331","1038","Yes"
"135999","1038","Yes"
"390332","1038","Yes"
"263321","1038","Yes"
"390333","1038","Yes"
"390334","1038","Yes"
"136000","1038","Yes"
"390335","1038","Yes"
"390344","1038","Yes"
"485850","1038","Yes"
"390359","1038","Yes"
"485852","1038","Yes"
"263342","1038","Yes"
"263343","1038","Yes"
"390364","1038","Yes"
"263344","1038","Yes"
"263346","1038","Yes"
"390371","1038","Yes"
"263348","1038","Yes"
"136023","1038","Yes"
"485860","1038","Yes"
"390373","1038","Yes"
"136027","1038","Yes"
"390377","1038","Yes"
"390379","1038","Yes"
"263308","1038","No"
"263309","1038","No"
"263310","1038","No"
"485824","1038","No"
"485825","1038","No"
"485826","1038","No"
"263311","1038","No"
"485827","1038","No"
"485828","1038","No"
"135993","1038","No"
"263312","1038","No"
"485829","1038","No"
"390324","1038","No"
"390325","1038","No"
"135994","1038","No"
"263315","1038","No"
"135995","1038","No"
"263316","1038","No"
"485830","1038","No"
"135996","1038","No"
"263318","1038","No"
"485831","1038","No"
"485832","1038","No"
"485833","1038","No"
"263319","1038","No"
"390329","1038","No"
"390330","1038","No"
"136001","1038","No"
"263322","1038","No"
"136002","1038","No"
"263323","1038","No"
"263324","1038","No"
"390336","1038","No"
"485837","1038","No"
"390337","1038","No"
"136004","1038","No"
"263325","1038","No"
"136005","1038","No"
"390339","1038","No"
"390340","1038","No"
"136006","1038","No"
"390341","1038","No"
"136008","1038","No"
"263326","1038","No"
"485838","1038","No"
"136009","1038","No"
"263327","1038","No"
"263328","1038","No"
"390342","1038","No"
"263329","1038","No"
"390343","1038","No"
"136011","1038","No"
"263330","1038","No"
"390345","1038","No"
"136012","1038","No"
"485839","1038","No"
"136013","1038","No"
"485840","1038","No"
"263331","1038","No"
"390347","1038","No"
"485841","1038","No"
"263332","1038","No"
"485842","1038","No"
"263333","1038","No"
"485843","1038","No"
"390349","1038","No"
"390350","1038","No"
"263334","1038","No"
"136015","1038","No"
"263335","1038","No"
"136016","1038","No"
"136017","1038","No"
"390351","1038","No"
"485844","1038","No"
"390352","1038","No"
"263336","1038","No"
"485846","1038","No"
"263337","1038","No"
"263338","1038","No"
"263339","1038","No"
"390353","1038","No"
"390354","1038","No"
"390355","1038","No"
"485848","1038","No"
"390357","1038","No"
"390358","1038","No"
"136018","1038","No"
"485851","1038","No"
"136019","1038","No"
"263340","1038","No"
"390360","1038","No"
"136020","1038","No"
"390361","1038","No"
"390363","1038","No"
"485854","1038","No"
"390365","1038","No"
"485855","1038","No"
"390366","1038","No"
"390367","1038","No"
"390368","1038","No"
"390369","1038","No"
"136021","1038","No"
"390370","1038","No"
"263347","1038","No"
"136022","1038","No"
"485857","1038","No"
"390372","1038","No"
"263349","1038","No"
"485858","1038","No"
"485859","1038","No"
"136024","1038","No"
"136025","1038","No"
"485861","1038","No"
"263350","1038","No"
"390374","1038","No"
"136026","1038","No"
"485862","1038","No"
"390375","1038","No"
"390376","1038","No"
"136028","1038","No"
"485863","1038","No"
"263351","1038","No"
"263352","1038","No"
"263353","1038","No"
"390378","1038","No"
"152079","1038","Yes"
"24169","1038","Yes"
"279324","1038","Yes"
"279325","1038","Yes"
"279329","1038","Yes"
"279331","1038","Yes"
"406291","1038","Yes"
"152085","1038","Yes"
"152086","1038","Yes"
"24175","1038","Yes"
"406293","1038","Yes"
"279333","1038","Yes"
"24176","1038","Yes"
"279334","1038","Yes"
"24177","1038","Yes"
"279335","1038","Yes"
"24178","1038","Yes"
"406296","1038","Yes"
"24179","1038","Yes"
"152094","1038","Yes"
"24188","1038","Yes"
"152106","1038","Yes"
"24192","1038","Yes"
"24193","1038","Yes"
"279357","1038","Yes"
"279360","1038","Yes"
"152114","1038","Yes"
"279364","1038","Yes"
"24202","1038","Yes"
"406321","1038","Yes"
"279367","1038","Yes"
"24203","1038","Yes"
"406322","1038","Yes"
"279368","1038","Yes"
"279369","1038","Yes"
"279370","1038","Yes"
"24204","1038","Yes"
"279373","1038","Yes"
"152123","1038","Yes"
"279374","1038","Yes"
"279375","1038","Yes"
"24206","1038","Yes"
"152124","1038","Yes"
"152077","1038","No"
"279323","1038","No"
"152078","1038","No"
"152080","1038","No"
"24170","1038","No"
"406286","1038","No"
"279326","1038","No"
"152081","1038","No"
"24172","1038","No"
"152082","1038","No"
"406288","1038","No"
"406289","1038","No"
"279328","1038","No"
"406290","1038","No"
"24174","1038","No"
"152083","1038","No"
"152084","1038","No"
"279330","1038","No"
"279332","1038","No"
"406292","1038","No"
"152087","1038","No"
"406295","1038","No"
"279336","1038","No"
"24180","1038","No"
"24181","1038","No"
"279337","1038","No"
"279338","1038","No"
"279339","1038","No"
"406297","1038","No"
"24182","1038","No"
"279340","1038","No"
"152089","1038","No"
"152091","1038","No"
"152092","1038","No"
"24183","1038","No"
"406301","1038","No"
"279341","1038","No"
"24185","1038","No"
"152093","1038","No"
"406302","1038","No"
"406303","1038","No"
"152095","1038","No"
"152096","1038","No"
"152097","1038","No"
"152098","1038","No"
"152100","1038","No"
"24186","1038","No"
"279346","1038","No"
"152101","1038","No"
"24187","1038","No"
